nconst,character,screentime,image
nm0438501,Babulal Vakharia,5600,https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0000821,Dattatraya Vakharia,5340,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm5434905,Dhiru,5169,https://m.media-amazon.com/images/M/MV5BNjU4NzQzMjkxNV5BMl5BanBnXkFtZTgwMTU2NjkzNTM@._V1_.jpg
nm9953158,Hasmukh,2581,https://ia.media-imdb.com/images/I/71U6b9esafL.png
nm4872666,House Maid,2488,
nm4432942,Compounder,1370,https://ia.media-imdb.com/images/I/81ff4djPZJL.png
nm9953160,Doctor,1263,https://ia.media-imdb.com/images/I/81n5eBJgW8L.png
nm9953163,Restaurant Manager,1009,https://ia.media-imdb.com/images/I/71PtglbNbLL.png
nm5131331,Rickshaw wala,887,
nm2805868,Amol (Babulal's Son),858,https://ia.media-imdb.com/images/I/71KJ1YIgs7L.png
nm9953161,Customer Medical Shop,808,https://ia.media-imdb.com/images/I/71fQ1ZzhVuL.png
nm9953162,Customer Medical Shop,808,https://ia.media-imdb.com/images/I/71fQ1ZzhVuL.png
