nconst,character,screentime,image
nm5136123,Rifleman Jaswant Singh Rawat,7039,https://images-na.ssl-images-amazon.com/images/I/61o7vPKW1uL.png
nm10318510,Noora,3980,https://images-na.ssl-images-amazon.com/images/I/61ChYW8RISL.png
nm10318505,Hawaldar CM Singh,3790,https://images-na.ssl-images-amazon.com/images/I/51ZbMoA715L.png
nm10318507,Rifleman Jeet Singh,3777,https://images-na.ssl-images-amazon.com/images/I/61puPRq03JL.png
nm10330733,Rifleman Gopal Singh Gusain,3714,https://images-na.ssl-images-amazon.com/images/I/714cbVpHktL.png
nm0788918,Col. SN Tandon,3352,https://m.media-amazon.com/images/M/MV5BNGNlZGM3YTMtOTc2Yi00YzVmLWFkMDAtYTQ3NTBjMDBiNTM2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10318509,Rifleman Darbaan Singh,3276,https://images-na.ssl-images-amazon.com/images/I/61M0JEaHyaL.png
nm3966365,Rifleman Trilok Singh Negi,3276,https://images-na.ssl-images-amazon.com/images/I/61JAI1wauBL.png
nm10318506,Company Commander Sher Singh,3109,https://images-na.ssl-images-amazon.com/images/I/61KB6iihMeL.png
nm1320935,Leela Rawat,2455,https://m.media-amazon.com/images/M/MV5BODMwOGI5OGQtM2MwYi00ZjM5LTliMjAtMTgzNWMyZGJjMjM0XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm0768297,Shri Guman Rawat,2395,https://m.media-amazon.com/images/M/MV5BZGY2MjkyMzgtNTJiZS00MGM5LTg2YWMtNTUxY2IwYzMzZTVhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10330734,Rifleman Leela Singh Rawat,2035,https://images-na.ssl-images-amazon.com/images/I/61j9Q+iqcrL.png
nm9001172,Young Jaswant Singh Rawat,1089,https://images-na.ssl-images-amazon.com/images/I/610co5xCmNL.png
