nconst,character,screentime,image
nm0451148,Amar,7660,https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_.jpg
nm0006795,Prem,7285,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm0849199,Raveena,6001,https://m.media-amazon.com/images/M/MV5BNzk5MDExNDI4N15BMl5BanBnXkFtZTgwNTAxMTIzOTE@._V1_.jpg
nm0451864,Robert,5356,https://m.media-amazon.com/images/M/MV5BMTgyNDE2M2ItOGYxZi00ZmFiLTkxMjAtMDZjODg2NWRlYzI5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0712546,Teja,5312,https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_.jpg
nm0006433,Karisma,4998,https://m.media-amazon.com/images/M/MV5BMzY4NTkxMzc3OF5BMl5BanBnXkFtZTgwMTc1MzY3OTE@._V1_.jpg
nm1185344,Bhalla,4852,https://m.media-amazon.com/images/M/MV5BMmQyNDI4M2MtOTFlZS00NDlmLWI2ZmMtYTZmMWUzZjQ2NGQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451242,Anand Akela,3843,https://m.media-amazon.com/images/M/MV5BNjg1MDZhNjktZmUwMi00ZmY3LWE0MDAtYTUxOTc0Zjg4M2M1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0007106,Crime Master Gogo,1727,https://m.media-amazon.com/images/M/MV5BMTY2MDE1MTQ2N15BMl5BanBnXkFtZTgwNTk2OTczOTE@._V1_.jpg
nm0415556,Bankeylal Bhopali,969,https://m.media-amazon.com/images/M/MV5BNGMyMjhlMjAtMjhiMi00ZmFjLTk1MDEtZDY0NjU0N2YzNjY0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0665370,Sevaram,759,https://m.media-amazon.com/images/M/MV5BMTk2NzA4Nzg5OF5BMl5BanBnXkFtZTgwMDYxOTI0MjE@._V1_.jpg
nm0061224,Babulal,611,https://images-na.ssl-images-amazon.com/images/I/71qD2qT58IL.png
nm0894340,Murli Manohar,531,https://m.media-amazon.com/images/M/MV5BOTFiMDc5MzktNmYyNC00MjJhLWI5YmItN2E2MjhlNWRmN2I5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0080179,Man who went to collect money from Bankeylal,492,https://ia.media-imdb.com/images/I/81v9Bz5-QuL.png
nm0004487,Juhi Chawla,460,https://m.media-amazon.com/images/M/MV5BMWYyYzhkYjItNDAyMi00ZTdhLWFjZGItM2M4ZGZjYjY5NjZhXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm0576454,Johnny,456,https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0332871,Govinda,338,https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_.jpg
nm0848308,Inspector,314,https://m.media-amazon.com/images/M/MV5BOGUwMjMxNjgtOTVjOC00ZmQ0LTg2MzctZWVjNDM4NTJhYzU1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1131001,Bhole,285,https://ia.media-imdb.com/images/I/81DX4z5RYNL.png
