nconst,character,screentime,image
nm6327552,Preeti,5750,https://ia.media-imdb.com/images/I/71-0qPplv7L.png
nm0592799,Mr. Yashwant Batra,5568,https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_.jpg
nm3935977,Mrs. Kiran Batra,4856,https://m.media-amazon.com/images/M/MV5BODZmMzM2ZDctYjMyZS00MjhhLWI2ZDEtM2I2OGEwMjlhYmMwXkEyXkFqcGdeQXVyNzYzNjQ2MTE@._V1_.jpg
nm3823216,Jugunu,4276,https://m.media-amazon.com/images/M/MV5BMTJjZTU1M2EtNmZmYS00NzEzLTg2MWYtMWU0OTk2NGMxODg4XkEyXkFqcGdeQXVyNTUxNjIyOTQ@._V1_.jpg
nm2690647,Feroz,2520,https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2240044,Batti,2494,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4966089,Ravi,1866,https://ia.media-imdb.com/images/I/71bxKfd3asL.png
nm9957561,Ravi's Mother,1095,https://ia.media-imdb.com/images/I/61fKn2MbtzL.png
nm9012452,Manish shukla,797,https://ia.media-imdb.com/images/I/61r4Ldo1YdL.png
nm9811069,Suman,639,https://ia.media-imdb.com/images/I/71dTnah0mHL.png
nm5697547,Bua,554,https://ia.media-imdb.com/images/I/61vJLTqDRmL.png
nm4675084,Mr.Mehra,298,https://m.media-amazon.com/images/M/MV5BNDUzNjc4MDAtYWY3NS00NDgzLWExZjYtNmY1Y2ZhODBmOTA2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
