nconst,character,screentime,image
nm4362492,Arjun Patiala,5649,https://m.media-amazon.com/images/M/MV5BMTU5ODg1NzQwM15BMl5BanBnXkFtZTgwMDU4ODEzOTE@._V1_.jpg
nm5607349,Onida Singh,5238,https://m.media-amazon.com/images/M/MV5BNzUxZjBkOTgtMTM2Yi00ODU5LWI1NDctZDI5MWVhNTA4MzhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0747172,Amarjeet Singh Gill,4269,https://m.media-amazon.com/images/M/MV5BMjQzMjEyMDY1Nl5BMl5BanBnXkFtZTgwNTM3OTczOTE@._V1_.jpg
nm5305841,Ritu Randhawa,3972,https://m.media-amazon.com/images/M/MV5BMjA0NzExMjA5OV5BMl5BanBnXkFtZTgwODc0NzA3MTE@._V1_.jpg
nm1260157,Prapti Makkad,2701,https://m.media-amazon.com/images/M/MV5BOGY4MTU4ZDctYjE1Yi00ODU3LTg4Y2UtZGM2MzI2Zjc0NzVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm4269474,Sakool,2112,https://m.media-amazon.com/images/M/MV5BODcyY2JlZTktYTU4ZS00MGY1LTgyY2MtODA4NWUyZDBlNjc5L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0154218,Bhatia ji,1712,https://images-na.ssl-images-amazon.com/images/I/71lP9Of-2CL.png
nm6845075,Editor,1594,https://m.media-amazon.com/images/M/MV5BMzMxODlmNDQtNDU4Yy00ODJhLWIxYWEtNGVlOGFhZDIzZGM4XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm2690647,Producer,1511,https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4045010,Director,1505,https://m.media-amazon.com/images/M/MV5BZWMyNzgyYjYtNDBmMy00YTc1LTkzNzYtMDBkOThlZGYyNzE5XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1937760,Arjun Father,1489,https://m.media-amazon.com/images/M/MV5BMWViNzcwMWItYjNkNS00MjkwLThiN2MtMTg3NjJmY2RiM2EyXkEyXkFqcGdeQXVyMTUwMjE4NDY@._V1_.jpg
nm11210236,Dilbaug Singh,1094,https://images-na.ssl-images-amazon.com/images/I/61S+0EkalDL.png
nm3966365,Anda,914,https://images-na.ssl-images-amazon.com/images/I/61SxSa8D1rL.png
nm8206919,Baldev Rana,650,https://images-na.ssl-images-amazon.com/images/I/61cfZml-0KL.png
nm10976993,Onida Sister1,520,https://images-na.ssl-images-amazon.com/images/I/61SJqwmy6GL.png
nm10976994,Onida Sister2,520,https://images-na.ssl-images-amazon.com/images/I/61SJqwmy6GL.png
nm10976995,Onida Sister3,520,https://images-na.ssl-images-amazon.com/images/I/61SJqwmy6GL.png
nm9859067,Onida Mother,520,https://images-na.ssl-images-amazon.com/images/I/61qT451988L.png
nm1293381,Baby Narula,393,https://m.media-amazon.com/images/M/MV5BMTM2Mzc1MDYxOV5BMl5BanBnXkFtZTcwMzc1MDQ4Nw@@._V1_.jpg
nm7707369,Sukhi Bajwa,94,https://m.media-amazon.com/images/M/MV5BZDI2NDM1YWItMmQwYS00OGMyLThlYzktZDI0ZWFmOWNjN2IxXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm6998032,Arjun's Coach,20,https://images-na.ssl-images-amazon.com/images/I/71xUgW-BEOL.png
