nconst,character,screentime,image
nm1372788,Karan S. Kapoor,7940,https://m.media-amazon.com/images/M/MV5BMjc5NTM5NjUyMV5BMl5BanBnXkFtZTgwMDEwMzU1OTE@._V1_.jpg
nm3087728,Bulbul Singh,6738,https://m.media-amazon.com/images/M/MV5BNGM5YmYwNjUtNzQyYS00OGY0LTljZDAtMDNiMjhiOTFiMzRiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1983888,Chandu 'Papad',6581,https://m.media-amazon.com/images/M/MV5BMTU5ODc4NzMwMF5BMl5BanBnXkFtZTgwOTA3NzE0OTE@._V1_.jpg
nm2738962,Tanzing 'Zing',5551,https://m.media-amazon.com/images/M/MV5BODIwYmRhOGYtYmJjNy00MjE0LWJkODQtZGIxN2RkZjA1YjVhXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm0539497,Jazz,3149,https://m.media-amazon.com/images/M/MV5BNDlkYzllMDktZDk5OC00NWM5LTgzM2ItMmYxYTM4ZmMwODQ4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1185265,Maya S. Kapoor,2012,https://m.media-amazon.com/images/M/MV5BOTIyNjA1YWUtMTQxNC00MjRmLTg4NzEtODdhMTUwMWM5YzViXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451600,Sajjan Kapoor,1896,https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_.jpg
nm3857508,Linda,1606,https://m.media-amazon.com/images/M/MV5BODQwODIzZmUtMDI2MC00YzUyLWJjMGYtYmI5Yjg1YmU0YTY5XkEyXkFqcGdeQXVyMzU4ODAwMTU@._V1_.jpg
nm0451239,Archie,1103,https://images-na.ssl-images-amazon.com/images/I/81xzU08JYCL.png
nm3197404,Anu S. Kapoor,866,https://m.media-amazon.com/images/M/MV5BMTRlYTI4ZjUtMDVhOS00ZGRhLTg2NTQtN2JjMWExM2ViZDNjXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm2531567,Pammi,631,https://m.media-amazon.com/images/M/MV5BMTYxMzYxMzUxM15BMl5BanBnXkFtZTgwODUzMDM0MzE@._V1_.jpg
nm3481929,Waitress,497,https://images-na.ssl-images-amazon.com/images/I/81GFC0eN98L.png
nm2082577,Lawyer Avinash,341,https://m.media-amazon.com/images/M/MV5BMTg4OTk5Njg3M15BMl5BanBnXkFtZTgwODg0MzgxMDI@._V1_.jpg
nm4535968,Stock Broker,229,https://m.media-amazon.com/images/M/MV5BNWM5MDhlNzMtOWQ0ZC00OGU4LTk5YzItZmY3YmJmMjJjY2Y1XkEyXkFqcGdeQXVyMTI4NzQ4OTI@._V1_.jpg
nm2908875,Wife in Casino,228,https://m.media-amazon.com/images/M/MV5BM2Q4YjA4ZjMtOWU2NC00MTA2LTlmODEtMjc0OWVjM2E0ZmMyXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm3239613,Skateboarder,196,https://images-na.ssl-images-amazon.com/images/I/81IFz+rxxXL.png
nm3559440,Skateboarder,196,https://m.media-amazon.com/images/M/MV5BYjU3MmMwNGUtYjg3NS00YTNkLWI2MTItNTQyMmI3N2NlNjkyXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm2772946,Police Officer,178,https://m.media-amazon.com/images/M/MV5BYTJlZjc4MWQtY2I3MS00ZGRhLWI2YWMtODY4Yzk5ODQ3NmRiXkEyXkFqcGdeQXVyMTY3NDE2NTM@._V1_.jpg
nm3650948,Police Officer,178,https://images-na.ssl-images-amazon.com/images/I/719LIrr7nzL.png
nm1749163,Gambler at casino,168,
nm2322544,Man with camera,165,https://m.media-amazon.com/images/M/MV5BMjAyNDYxODUzOF5BMl5BanBnXkFtZTcwNjg1MDQwMg@@._V1_.jpg
nm3674697,Video Store Girlfriend,116,https://m.media-amazon.com/images/M/MV5BMTQyODEzMjgzM15BMl5BanBnXkFtZTgwMjM3NDc2MjE@._V1_.jpg
