nconst,character,screentime,image
nm7372970,Shahida,8369,https://m.media-amazon.com/images/M/MV5BMzhlOTM3YmItOWMzMi00NDllLTgwMTQtMzI4NjhhNTJlMjIyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0006795,Bajrangi Bhaijaan,7920,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm1596350,Chand Nawab,3616,https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_.jpg
nm0004626,Rasika,3463,https://m.media-amazon.com/images/M/MV5BMjAyNjM4NTAwN15BMl5BanBnXkFtZTcwNDkxNzQzNg@@._V1_.jpg
nm0768296,Dayanand,2137,https://m.media-amazon.com/images/M/MV5BMTgwNzc3MTI3M15BMl5BanBnXkFtZTcwNTU0NTcyMQ@@._V1_.jpg
nm0788903,Hamid Khan,2006,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm7478179,Saraswati,2002,https://m.media-amazon.com/images/M/MV5BNjJmNTI0NWQtYzIzNS00OGRiLWE3NWItMjlhMjEyYWRjNTM2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2016476,Shahida's Mother Razia,1962,https://m.media-amazon.com/images/M/MV5BNzc5NGE0ODMtODM4MS00NjRlLTg3NTAtMGE4NjAzMzJjNDc3L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9171688,Chandnawab's Cameraman,1847,https://ia.media-imdb.com/images/I/81BDnJhsczL.png
nm8350839,Deepu,1479,https://ia.media-imdb.com/images/I/616Rxieup3L.png
nm3547329,Fat Man Cop (Pakistani Police Officer),1271,https://ia.media-imdb.com/images/I/71xuheRO59L.png
nm6661769,Shahida's Father Rauf,1087,https://ia.media-imdb.com/images/I/81BpSmbQJ4L.png
nm1594666,Diwakar chaturvedi salman father,944,https://m.media-amazon.com/images/M/MV5BMTkyMTE4MDYtMDIyNC00OGY1LWIxYTgtYThjYWNlY2MyZmYwL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9171655,Little Pawan,944,https://ia.media-imdb.com/images/I/818JyhUggBL.png
nm0004626/trivia,nt0170235,914,
nm0006795/trivia,nt0175575,912,
nm9171657,Pehelwan,910,https://ia.media-imdb.com/images/I/91MbQuK9yUL.png
nm9171658,Pehelwan,910,https://ia.media-imdb.com/images/I/91MbQuK9yUL.png
nm9171659,Pehelwan,910,https://ia.media-imdb.com/images/I/817bbQiBMOL.png
nm9171660,Pehelwan,910,https://ia.media-imdb.com/images/I/91MbQuK9yUL.png
nm9171661,Pehelwan,910,https://ia.media-imdb.com/images/I/91MbQuK9yUL.png
nm9171662,Pehelwan,910,https://ia.media-imdb.com/images/I/711qVvUgj1L.png
nm9171663,Pehelwan,910,https://ia.media-imdb.com/images/I/817bbQiBMOL.png
nm6909983,Young Pawan,859,https://ia.media-imdb.com/images/I/71an14yzPRL.png
nm9171656,Bus Conductor (India),711,https://ia.media-imdb.com/images/I/61X-e5PNthL.png
nm8013346,Border Agent,701,https://ia.media-imdb.com/images/I/81yPmMBdYeL.png
nm9171649,Villager,659,https://ia.media-imdb.com/images/I/91j6Q5ncOAL.png
nm9171650,Villager,659,https://ia.media-imdb.com/images/I/91j6Q5ncOAL.png
nm9171651,Villager,659,https://ia.media-imdb.com/images/I/91j6Q5ncOAL.png
nm4443385,Travel Agent,655,https://m.media-amazon.com/images/M/MV5BNjMxYTEwNTYtYzYxNi00ZmI0LTk2ZjEtYmZlZjgxYmUzYTA4XkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm9171706,Officer At Border (Climax),614,https://ia.media-imdb.com/images/I/91QJWn4m0eL.png
nm6998032,Shamsher Ali,545,https://ia.media-imdb.com/images/I/71KlpMqzmKL.png
nm7943212,Man Talking To Shamsher Ali,545,https://ia.media-imdb.com/images/I/61Qhq9jbQ9L.png
nm5514899,Bus Conductor (Pakistan),502,https://ia.media-imdb.com/images/I/71DfIInLq-L.png
nm9113077,Fauji At Border,494,https://ia.media-imdb.com/images/I/61H8hab+LfL.png
nm5010331,Woman On Train,488,https://ia.media-imdb.com/images/I/71x-RShYXJL.png
nm9171702,Bus Driver At Dargah,472,https://ia.media-imdb.com/images/I/713WAlDgyeL.png
nm0700875,Maulana Sahab,425,https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_.jpg
nm4430842,Hassan (Pakistani Cop),424,https://ia.media-imdb.com/images/I/71iYBVg8VLL.png
nm9171676,Waiter,386,https://ia.media-imdb.com/images/I/81TNmKsxB6L.png
nm0451152,Special Appearance,383,https://m.media-amazon.com/images/M/MV5BNmJlOTI0Y2ItZjU2Yy00MDM0LTlhZWMtMTNkYjQyNzIxM2E5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5535147,Shopkeeper At Bangle Shop,376,https://ia.media-imdb.com/images/I/817h+R-UTSL.png
nm9001166,Visa Officer,344,https://ia.media-imdb.com/images/I/71NdICK6BKL.png
nm3870124,Waqar (Pakistani Cop),332,https://ia.media-imdb.com/images/I/71nJBXQ-6nL.png
nm0044339,Old Man (Fake Father in Law),324,https://ia.media-imdb.com/images/I/81CvLjTN-cL.png
nm9171653,Fat Man Sleeping In Train,302,https://ia.media-imdb.com/images/I/712cl4W6FrL.png
nm4193741,Kurukshetra Cop,291,https://ia.media-imdb.com/images/I/81Cp6STv2iL.png
nm2520617,Senior ISI Officer,277,https://ia.media-imdb.com/images/I/81DSCLdKrRL.png
nm9093959,Junior ISI Officer,277,https://ia.media-imdb.com/images/I/81W3jkfdU6L.png
nm9171704,Junior ISI Officer,277,https://ia.media-imdb.com/images/I/81MhigpFdpL.png
nm4556340,Old Lady in Brothel,256,https://ia.media-imdb.com/images/I/611GMf1UBfL.png
nm9171681,Brothel Girl 1,249,https://ia.media-imdb.com/images/I/71vv1jf5SFL.png
nm9171685,Dhaba Manager (Chawra),227,https://ia.media-imdb.com/images/I/81AazDcNqXL.png
nm9171683,Brothel Girl,225,https://ia.media-imdb.com/images/I/817jKHSgK-L.png
nm9171682,Brothel Girl,210,https://ia.media-imdb.com/images/I/81idnA79KML.png
nm9171679,Waiter,186,https://ia.media-imdb.com/images/I/81J+kKziwVL.png
nm7805704,Groom's Father,171,https://ia.media-imdb.com/images/I/91Ji0CcUqcL.png
nm0456096,Groom's Mother,169,https://ia.media-imdb.com/images/I/810dowdkgaL.png
nm9171673,Groom,166,https://ia.media-imdb.com/images/I/711LVljlhZL.png
nm3919952,Huriyat TV Journalist,113,https://ia.media-imdb.com/images/I/81LU9mX5m7L.png
nm7916018,NDTV Reporter,105,https://ia.media-imdb.com/images/I/81UXYj6KrvL.png
nm9171705,Female Reporter,105,https://ia.media-imdb.com/images/I/81UXYj6KrvL.png
nm4482784,Cop At Checkpost 1,94,https://ia.media-imdb.com/images/I/81yzY-NGHGL.png
nm3651657,Himself,59,https://ia.media-imdb.com/images/I/91FlcGGvB6L.png
nm1937218,Station Master (Pakistan),54,https://ia.media-imdb.com/images/I/71Fw2tXzEQL.png
nm8498092,Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171698,Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171699,Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171700,Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171701,Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171707,Nizami Bandhu Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171708,Nizami Bandhu Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171709,Nizami Bandhu Qawal,53,https://ia.media-imdb.com/images/I/91EZYj9uCNL.png
nm9171692,Policeman At Mosque,50,https://ia.media-imdb.com/images/I/71mdKl+DStL.png
