nconst,character,screentime,image
nm1299011,Champak Chandrakant Chiplunkar,5249,https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_.jpg
nm7112850,Genda,4794,https://ia.media-imdb.com/images/I/71n2byX-D0L.png
nm6071674,Gulab,4562,https://ia.media-imdb.com/images/I/7183LAw4cyL.png
nm1059103,Amjad Khan,4053,https://m.media-amazon.com/images/M/MV5BMjA0NjYxODI4MF5BMl5BanBnXkFtZTgwMDcwMDMzOTE@._V1_.jpg
nm2244897,Bank Manager,3836,https://ia.media-imdb.com/images/I/81DuwWFtIoL.png
nm1306410,Jugnu,3684,https://m.media-amazon.com/images/M/MV5BMGJlNzI3NjQtYWI1Yy00NzRmLTgzNjMtZjFmMDIwOTk5ZDFkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm7367311,Inquisitive Hostage,3568,https://ia.media-imdb.com/images/I/61M8cFOaNTL.png
nm3813621,Bank Executive,3526,https://ia.media-imdb.com/images/I/71jPonGBK0L.png
nm4771022,Fake Irritating Aunty hostage,3395,https://ia.media-imdb.com/images/I/81Qt3zrI5nL.png
nm5599013,Gayatri Ganguly,3015,https://m.media-amazon.com/images/M/MV5BZjgxNjdjMjktODhkYS00ZGMxLWIzZTAtN2I0MDE4Y2YwZjE2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9201558,Phone Obsessed Fake Hostage,2872,https://ia.media-imdb.com/images/I/618DifbxZ6L.png
nm1159638,Mukesh,2254,https://ia.media-imdb.com/images/I/71878ZU9+XL.png
nm4286839,ACP Akhilesh Aane,1853,https://ia.media-imdb.com/images/I/71F70TXDdQL.png
nm4786232,Reporter 1,1816,https://ia.media-imdb.com/images/I/81f-9zVUHOL.png
nm8603691,Fake Sardar Hostage,1806,https://ia.media-imdb.com/images/I/81j1qZ-mGFL.png
nm4830371,Mukesh's Father,1650,https://ia.media-imdb.com/images/I/81ymiWO-BKL.png
nm9201560,Cameraman Bittu,1441,https://ia.media-imdb.com/images/I/71E0Bao4KWL.png
nm0782242,Baba Sehgal,1223,https://m.media-amazon.com/images/M/MV5BNzlmMzViNTMtOGRmMS00OTg2LTk3MDItZWUyMTg3NGNjOTg4L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1822342,Home Minister Dongardive,942,https://m.media-amazon.com/images/M/MV5BN2JkNjFjYzctOTM4NS00NGI3LWFhY2UtZmIwNTZjNzc1YTA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8620833,Head Constable Sakharam,817,https://ia.media-imdb.com/images/I/81FtYQ-itNL.png
nm9201559,Chotu Chaiwala,676,https://ia.media-imdb.com/images/I/71BfvBYPjGL.png
nm1299011/trivia,nt0476108,668,
nm3732824,Ashutosh Sharma,663,https://m.media-amazon.com/images/M/MV5BYzU1MGVmOTctNmU2My00YjU1LWJhYWMtNGZhNzY3YzcyMjJhXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm9201556,Guard 1,596,https://ia.media-imdb.com/images/I/71uE5lvnfUL.png
nm9201557,Guard 2,586,https://ia.media-imdb.com/images/I/61CZ8PjHq8L.png
nm1059103/trivia,nt0247807,541,
nm0324845,Shashank Thakur,412,https://m.media-amazon.com/images/M/MV5BN2EyYjI5NmEtMDEwZC00ZGYwLWFjZWEtOWVkZjZjMDM0M2IyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9201555,Commissioner Singh,255,https://ia.media-imdb.com/images/I/81EzDhR1HML.png
nm4124651,Reporter 2,103,https://ia.media-imdb.com/images/I/71S-jo84TkL.png
nm4563347,Mrs. Dongardive,95,https://ia.media-imdb.com/images/I/81SED0PuzmL.png
nm7220884,CBI Chief,85,https://ia.media-imdb.com/images/I/71e2YIjQwwL.png
nm4286839/trivia,nt1366907,2,
