nconst,character,screentime,image
nm1303433,ACP Sanjay Kumar,7384,https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_.jpg
nm8694939,Constable Balbir Singh,6931,https://images-na.ssl-images-amazon.com/images/I/61o820jvBuL.png
nm8539073,Dilshad Ahmed,5595,https://images-na.ssl-images-amazon.com/images/I/61PlyqjgpyL.png
nm1472197,Police Commissioner,5556,https://m.media-amazon.com/images/M/MV5BM2M4ZDdjYTMtZGIyMi00ZDRiLWI5ODQtYTUxNzQ2MTlkMWRjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5643409,Jeetender,5514,https://images-na.ssl-images-amazon.com/images/I/61XSSEATHHL.png
nm7021807,Nandita Kumar,5290,https://m.media-amazon.com/images/M/MV5BMTQyODUwMzQtYTAyNi00OWI0LWE3YTItYzBmMmNjNDY5NTY4XkEyXkFqcGdeQXVyNjYyOTQzODU@._V1_.jpg
nm0457410,Inspector K.K. Verma (Kishen Kumar Verma),3548,https://m.media-amazon.com/images/M/MV5BMjAyMDczNzc4Ml5BMl5BanBnXkFtZTgwNDM4NDczMDE@._V1_.jpg
nm5496986,Shraddha (The Activist),2938,https://images-na.ssl-images-amazon.com/images/I/61e6+q7JdeL.png
nm1982843,Chacha,2815,https://images-na.ssl-images-amazon.com/images/I/71HgfXBQSeL.png
nm0788903,Advocate Shailesh Arya,2498,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0871752,Commissioner Of Police Leherwal,2117,https://m.media-amazon.com/images/M/MV5BYjg2ZmU2MzQtMDRmNy00ZTJmLWFmNmMtZjYzZThmOTBhZDU5XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm6455555,Adil ameen,1928,https://images-na.ssl-images-amazon.com/images/I/61HMbIH8jRL.png
nm6598222,Victoria,1920,https://m.media-amazon.com/images/M/MV5BMjAwOTEzOTIyN15BMl5BanBnXkFtZTgwNzQxMjMzOTE@._V1_.jpg
nm2336177,Head of News Express 24 x 7,1384,https://images-na.ssl-images-amazon.com/images/I/61hlQ5kYbJL.png
nm8407664,Maan singh,1370,https://images-na.ssl-images-amazon.com/images/I/61l3eH2o8+L.png
nm10916028,Judge,1365,https://images-na.ssl-images-amazon.com/images/I/61Pa+bdhHQL.png
nm8026847,Tufail,1199,https://images-na.ssl-images-amazon.com/images/I/71qP6+1VqjL.png
nm10774356,Reporter 1,1122,https://images-na.ssl-images-amazon.com/images/I/61+KdXjcB5L.png
nm5548228,Psychiatrist,923,https://images-na.ssl-images-amazon.com/images/I/61s1Yog0W9L.png
nm6513748,Shweta Verma,730,https://m.media-amazon.com/images/M/MV5BMDVmMmExNTktMjg5ZC00NjlmLWJlMzItNWRhYTIxNTdkOWU2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3595334,Home Minister Shivaji Patil,642,https://m.media-amazon.com/images/M/MV5BZjRmOWE1YjgtZmY2Mi00OTI3LWFjMGEtZWRkNjFkMjVhYWY2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
