nconst,character,screentime,image
nm1799038,Begum Jaan,5824,https://m.media-amazon.com/images/M/MV5BNDI3Mjk2MjgzMl5BMl5BanBnXkFtZTcwODQwMjI1OQ@@._V1_.jpg
nm6939049,Jameela,4968,https://m.media-amazon.com/images/M/MV5BMjEwMDkxMDA5MF5BMl5BanBnXkFtZTgwNDk1ODk5OTE@._V1_.jpg
nm1655159,Salim Mirza,4684,https://m.media-amazon.com/images/M/MV5BMGMxMzQxOTYtOWZmZC00YzMyLWI1MmUtMGE4ZGRkODhkM2UxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm8677228,Laadli,4671,https://m.media-amazon.com/images/M/MV5BMDQyNzU2MTgtNGYyYS00MDM3LTlkNWMtYmIxN2UyYTQwN2RhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0038023,Amma,4638,https://m.media-amazon.com/images/M/MV5BZjFlNDAzMWEtMmQxOS00MjRkLWJiOGMtODM5NmFkNzQ2YzZkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8035382,Rani,4391,https://m.media-amazon.com/images/M/MV5BMGEyZDRiNzAtYmRjNy00ODk0LTlkOTYtZWIzN2NlNzNmYTVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3354963,Gulabo,3907,https://m.media-amazon.com/images/M/MV5BMmZkOWQyNjMtN2I5Yy00N2U4LWJhMzYtYmFjYTEzMTkzNmUzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm1247401,Rubina,3881,https://m.media-amazon.com/images/M/MV5BMWRmMjVkZGYtMmU1Zi00NTZlLTlmZjEtMGI3ZTk2NGQ1MzE5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm5786946,Shabnam,3722,https://m.media-amazon.com/images/M/MV5BNWMwNWU1ZjQtZWZjZi00YjRjLWFjYzctYTljZjRkOWVmNjk4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3329873,Surjeet,3681,https://m.media-amazon.com/images/M/MV5BMTQ4MzMwMTk2M15BMl5BanBnXkFtZTgwNDAzOTU3MTE@._V1_.jpg
nm0896573,Harshvardhan,3356,https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm0438496,Ilias,3315,https://m.media-amazon.com/images/M/MV5BZDhlNDEwMjgtMWY5NC00MGEyLThhODEtZjAyYzIyMmU1ZDUxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0788903,Shyam,3168,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm7483295,Amba,3158,https://m.media-amazon.com/images/M/MV5BZTI2MTkwNTMtOTBjZC00YjQ4LWJmOWItODJlNDQyOWI5YzY1XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7733135,Lata,2983,https://m.media-amazon.com/images/M/MV5BZWM4OTFhZTAtOTJmMS00NGVmLTkyYjgtZWEwMDc0ZTI4MGY3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0615693,Master,2971,https://m.media-amazon.com/images/M/MV5BN2Q1MjU3NmEtZjllMC00YTMzLWI5MDktNWViMzVjNWE1ODQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1671733,Maina,2368,https://m.media-amazon.com/images/M/MV5BNmQ1MjhiMWItNzI1Mi00NmViLWIzN2ItMTgzN2E4MTQ2ZDAzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0659233,Kabir,1351,https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_.jpg
nm0000821/trivia,nt0015150,1348,
nm0787462,Rajaji,993,https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_.jpg
nm4724591,Muslim,896,https://ia.media-imdb.com/images/I/81D9bctneSL.png
nm1799038/trivia,nt0016683,825,
nm0000821,Narrator,677,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm8428535,Louis Mountbatten,673,https://ia.media-imdb.com/images/I/71Jphb2exeL.png
nm0084440,Cyril Radcliffe,661,https://ia.media-imdb.com/images/I/711aOkY2S9L.png
nm0787462/trivia,nt0912649,285,
nm0659233/trivia,nt0253534,226,
