nconst,character,screentime,image
nm0006795,Bharat,8259,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm1571487,Vilayti Khan,8187,https://m.media-amazon.com/images/M/MV5BZjQ1M2YxMDYtM2YxYi00ZjM0LWJiZTQtMDNmMTNjNWZlYWNiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1229940,Kumud Raina,6736,https://m.media-amazon.com/images/M/MV5BYjFjZGMwNWEtYWYwZi00NjdiLTk3NDMtOGVlOTkwOWFhYjE0XkEyXkFqcGdeQXVyMTA0NTY2NTIz._V1_.jpg
nm0006764,Janki Devi,6703,https://m.media-amazon.com/images/M/MV5BNzE0ODM1MDgwOF5BMl5BanBnXkFtZTgwMDkxMjg0MDI@._V1_.jpg
nm1122912,Keemat Rai Kapoor,4843,https://m.media-amazon.com/images/M/MV5BNWY2YTdhY2QtMzMxMS00MjNhLTgxYmQtMjM2OGM4MjczNzBmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3508604,Chotte,4030,https://m.media-amazon.com/images/M/MV5BMTcxODc3NzkxOF5BMl5BanBnXkFtZTgwMzUwOTU3MTE@._V1_.jpg
nm2217498,Jamuna Kapoor,3639,https://m.media-amazon.com/images/M/MV5BMmUzNDg5M2ItZDY3My00NWRkLTlkYzQtZjBiMWViNmEwYWEyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9625502,Young Bharat,3513,https://images-na.ssl-images-amazon.com/images/I/81B8ZgKD5DL.png
nm2240044,Chacha,2734,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3881720,Mehek,2731,https://m.media-amazon.com/images/M/MV5BNWYyZjdlOWItZjg0ZC00ZDYxLWE2YzUtYjJhM2I3YzI5ZGM0XkEyXkFqcGdeQXVyOTMzNDMyODE@._V1_.jpg
nm10747580,Zalzala Singh,2644,
nm6155322,Roli Rawat,2641,https://images-na.ssl-images-amazon.com/images/I/8167C37iduL.png
nm0006763,Gautam Kumar,2521,https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm9336526,Raj Shekhar Yadav,2498,https://images-na.ssl-images-amazon.com/images/I/717h9fz+PtL.png
nm6598222,Sophia,2444,https://m.media-amazon.com/images/M/MV5BMjAwOTEzOTIyN15BMl5BanBnXkFtZTgwNzQxMjMzOTE@._V1_.jpg
nm3065607,Chaurasia,1707,https://images-na.ssl-images-amazon.com/images/I/81Ov3ZlEbmL.png
nm0442479,Naval Officer,1621,https://m.media-amazon.com/images/M/MV5BMTQ1ODk1MzQ0OF5BMl5BanBnXkFtZTcwNjc3MzA3MQ@@._V1_.jpg
nm10881170,Minnie,1555,https://images-na.ssl-images-amazon.com/images/I/81X2ipbuxkL.png
nm7796669,Radha,1537,https://m.media-amazon.com/images/M/MV5BZmM3YTg2ZjUtNWMwMi00NWE2LWE1YmMtYWM1ZDViNmYzOWRkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10785235,Ship Captains Wife,1173,https://images-na.ssl-images-amazon.com/images/I/61z0Pqjs9SL.png
nm1651251,Field Manager,1119,
nm0007102,Meher,1022,https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_.jpg
nm8322319,Young Vilayati,999,https://images-na.ssl-images-amazon.com/images/I/81c+fWsUaKL.png
nm4938647,Mikhael (Pirate Leader),994,https://m.media-amazon.com/images/M/MV5BYTM4YTBiNzAtMGIyMC00ZDdkLWIzZGItMTY5NmU1MjMwNTFmXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm0348491,Gulati,983,https://images-na.ssl-images-amazon.com/images/I/819nfo1PhyL.png
nm4306697,Robert,976,https://m.media-amazon.com/images/M/MV5BNTBkZTFiZGYtODU3Yi00YWY1LTk4NzctYmYyZjNmMjRlMDFhXkEyXkFqcGdeQXVyNzY1ODU0MTQ@._V1_.jpg
nm5704026,Gupta,976,
nm10881215,Meher's Son,802,https://images-na.ssl-images-amazon.com/images/I/61LZcbJnjuL.png
nm1330848,Meher's husband,802,https://images-na.ssl-images-amazon.com/images/I/71ZUxwdzjSL.png
nm10002302,Head Engineer,771,
nm10006258,Young Radha,761,https://images-na.ssl-images-amazon.com/images/I/81nLescaO4L.png
nm9040069,Young Jimmy,734,https://images-na.ssl-images-amazon.com/images/I/71waYfsE59L.png
nm10881160,Gudiya,588,https://images-na.ssl-images-amazon.com/images/I/714kM8etRTL.png
nm0790858,Devbhai,538,https://m.media-amazon.com/images/M/MV5BYzZhYmQ0NTQtYWRhNy00YWU5LWEyM2MtOTMyOGI2OGJkMTY0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2738962,Jimmy,507,https://m.media-amazon.com/images/M/MV5BODIwYmRhOGYtYmJjNy00MjE0LWJkODQtZGIxN2RkZjA1YjVhXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1185344,Officer - National Employment Exhcange,491,https://m.media-amazon.com/images/M/MV5BMmQyNDI4M2MtOTFlZS00NDlmLWI2ZmMtYTZmMWUzZjQ2NGQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
