nconst,character,screentime,image
nm0451321,Kabir Khan,7501,https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2445480,Komal Chautala,7143,https://ia.media-imdb.com/images/I/910rmSREGkL.png
nm2450711,Balbir Kaur,7142,https://ia.media-imdb.com/images/I/91Kvi2EU8tL.png
nm1540244,Vidya Sharma,7087,https://m.media-amazon.com/images/M/MV5BMzE4NTEwMjk4N15BMl5BanBnXkFtZTgwNzMyMDU0OTE@._V1_.jpg
nm1427076,Bindia Naik,7069,https://m.media-amazon.com/images/M/MV5BMTg4Mzg0NzQ0OF5BMl5BanBnXkFtZTgwMTg3OTczOTE@._V1_.jpg
nm2444905,Aliya Bose,6881,https://m.media-amazon.com/images/M/MV5BYjhiODQ1NWQtN2I1Ni00NWUwLTlmMjEtMTZlNTczNWMzYzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2913438,Krishnaji,6707,https://ia.media-imdb.com/images/I/81HSazm0z2L.png
nm2761116,Rani Dispotta,6696,https://ia.media-imdb.com/images/I/81sQArIBxML.png
nm2760387,Molly Zimik,6692,https://ia.media-imdb.com/images/I/91iC7KkbqJL.png
nm2469366,Preety Sabharwal,6685,https://m.media-amazon.com/images/M/MV5BYjViMDdkM2YtYzFkNS00ZDMwLTk4MjEtMDg4NjQxOTc4YTEzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2759476,Mary Ralte,6488,https://ia.media-imdb.com/images/I/81Z6rAeHJjL.png
nm2444910,Nichola Sequiera,6422,https://ia.media-imdb.com/images/I/816OdbHeNOL.png
nm2446042,Nethra Reddy,6395,https://ia.media-imdb.com/images/I/81cV5YlV71L.png
nm2448026,Gunjun Lakhani,6331,https://ia.media-imdb.com/images/I/91d7uNd4sRL.png
nm2450876,Gul Iqbal,6319,https://ia.media-imdb.com/images/I/91W1yJgK9bL.png
nm2444192,Rachna Prasad,5657,https://ia.media-imdb.com/images/I/81UILcC22zL.png
nm2448614,Soimoi Kerketa,5443,https://ia.media-imdb.com/images/I/81sjbaJUq-L.png
nm2447624,Raynia Fernandes,4958,https://ia.media-imdb.com/images/I/81+D4Ybk1HL.png
nm0451242,Sukhlal,2651,https://m.media-amazon.com/images/M/MV5BNjg1MDZhNjktZmUwMi00ZmY3LWE0MDAtYTUxOTc0Zjg4M2M1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2460351,Australian Coach,1683,https://ia.media-imdb.com/images/I/81NmSqBJifL.png
nm3248485,Australian Goalkeeper,1551,https://ia.media-imdb.com/images/I/81jmKuehNLL.png
nm1231900,Uttam,1492,https://ia.media-imdb.com/images/I/81H5FTnG73L.png
nm2450880,Australian Team Manager,1136,https://ia.media-imdb.com/images/I/71CJWyxgVZL.png
nm0820283,Tripathi,1122,https://m.media-amazon.com/images/M/MV5BYmQ4Nzg3NGYtZjU0YS00ZGRmLThhOTUtNGFhMTJiNjJjZWUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2244897,IHF official,1114,https://ia.media-imdb.com/images/I/81G-PO-z8QL.png
nm1875257,Abhimanyu Singh,790,https://m.media-amazon.com/images/M/MV5BODVlZGMzZmUtZTdjYi00MDRjLTkyYjktOGQ1OTQ2NTc5MmE2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2472947,Argentina Captain,539,https://ia.media-imdb.com/images/I/81+wxKbpSeL.png
nm2460315,Argentina Goalkeeper,422,https://ia.media-imdb.com/images/I/81pLZeo2q3L.png
nm0883165,Rakesh,372,https://ia.media-imdb.com/images/I/81+Yx3eU0-L.png
nm2281645,Kabir's mother,262,https://ia.media-imdb.com/images/I/816k7SC0BDL.png
nm2773962,Little girl for autograph,186,https://ia.media-imdb.com/images/I/71mZSMtOKbL.png
