nconst,character,screentime,image
nm10836933,Bholu,11381,https://images-na.ssl-images-amazon.com/images/I/61fWYN+zwkL.png
nm5598824,Jaggu,5743,https://images-na.ssl-images-amazon.com/images/I/61O0wryTaJL.png
nm5598720,Raju,5701,https://images-na.ssl-images-amazon.com/images/I/81Sx1deTAZL.png
nm6078715,Chutki,5698,https://images-na.ssl-images-amazon.com/images/I/81oK2ru0tNL.png
nm7512316,Chhota Bheem,5677,https://images-na.ssl-images-amazon.com/images/I/81zzD9hJm8L.png
nm10836935,Kia,5462,https://images-na.ssl-images-amazon.com/images/I/81RSsyMcgoL.png
nm10836934,Kalia,4613,https://images-na.ssl-images-amazon.com/images/I/61MW4FpUpSL.png
nm7839428,Ming,4454,https://images-na.ssl-images-amazon.com/images/I/81dL-VyWUCL.png
nm10636964,Zuhu,3840,https://images-na.ssl-images-amazon.com/images/I/71i+R+w6UVL.png
nm8082434,Black Rose,2993,https://images-na.ssl-images-amazon.com/images/I/71EtV-AyQfL.png
nm2177852,General Lee,2757,https://images-na.ssl-images-amazon.com/images/I/71NQqMlFJxL.png
nm10836940,Dragon,2715,https://images-na.ssl-images-amazon.com/images/I/719aL4rq3uL.png
nm10836937,King Jian,2619,https://images-na.ssl-images-amazon.com/images/I/61mXzOH24CL.png
nm10836941,Juyu Lee,2148,https://images-na.ssl-images-amazon.com/images/I/71dRw+vQr+L.png
nm10836942,Announcer,1150,https://images-na.ssl-images-amazon.com/images/I/71trS4bkebL.png
nm10836939,Referee,610,https://images-na.ssl-images-amazon.com/images/I/71E5AIqXONL.png
nm1233452,Himself,172,https://m.media-amazon.com/images/M/MV5BNzAzNjc5MmItMTEyMC00M2I2LWI2ZGEtODA2NjM1NzU2NWFkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
