nconst,character,screentime,image
nm4495174,Gulrez,6567,https://m.media-amazon.com/images/M/MV5BMTkzOTgzNzYzMl5BMl5BanBnXkFtZTgwMTI0MzY3OTE@._V1_.jpg
nm0451600,Abdul Qadir,5304,https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_.jpg
nm3169069,Tariq,4333,https://m.media-amazon.com/images/M/MV5BZmNlODEzM2YtOTUyOS00MDVmLTk4YzgtMzAxZmQ2ZDBkNTAyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7794469,Taru's Father,2717,https://images-na.ssl-images-amazon.com/images/I/61y206ad9GL.png
nm2262754,Taru's Mother,2715,https://images-na.ssl-images-amazon.com/images/I/61vxK9XdoXL.png
nm7807432,Bellboy,2130,https://images-na.ssl-images-amazon.com/images/I/71aqqeGQUbL.png
nm7836033,Fareeda,1852,https://m.media-amazon.com/images/M/MV5BNGRlZmY3OWEtMDA2OS00YmMyLWI5ZTgtZDE4MWIxOGE3NzFlXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7807444,Neeraj,1697,https://images-na.ssl-images-amazon.com/images/I/61GBi-6LqaL.png
nm7807413,Montu's Father,1611,https://images-na.ssl-images-amazon.com/images/I/71Gmk6f+S3L.png
nm7807414,Montu's Mother,1611,https://images-na.ssl-images-amazon.com/images/I/61GD49eXleL.png
nm7488708,Pooja,1600,https://images-na.ssl-images-amazon.com/images/I/51Aja6TOsUL.png
nm7807412,Montu Miyan,1572,https://images-na.ssl-images-amazon.com/images/I/61UJuxzE5gL.png
nm7807415,Montu's Chacha,1514,https://images-na.ssl-images-amazon.com/images/I/61ovcy6+g8L.png
nm7807416,Montu's Chachi,1514,https://images-na.ssl-images-amazon.com/images/I/51s7gT6IbEL.png
nm2477148,Coolie at Lucknow Station,1224,https://images-na.ssl-images-amazon.com/images/I/71X2MyhNqML.png
nm5696862,Driver at Railway Station,1200,https://images-na.ssl-images-amazon.com/images/I/61a-2NoIDCL.png
nm7807429,Hotel Receptionist,1111,https://images-na.ssl-images-amazon.com/images/I/61GKTO9HZHL.png
nm7807424,Radha Reddy,1073,https://images-na.ssl-images-amazon.com/images/I/61EICr76YHL.png
nm5095993,Amjad,1034,https://m.media-amazon.com/images/M/MV5BMmUwN2ZkODAtNGJiNy00ZmRlLWI3OTItNDNlMTY5YmE4YjUxXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm7807425,High Court Judge,1031,https://images-na.ssl-images-amazon.com/images/I/71aYeOZvu1L.png
nm7807426,Shoe Shop Customer,1015,https://images-na.ssl-images-amazon.com/images/I/61Z6l3zRoeL.png
nm4847742,Firang Girl 1 at Haidari Kabab,799,https://images-na.ssl-images-amazon.com/images/I/71Cbpp+PQNL.png
nm7807435,Firang Girl 2 at Haidari Kabab,799,https://images-na.ssl-images-amazon.com/images/I/71Cbpp+PQNL.png
nm7807436,Firang Girl 3 at Haidari Kabab,799,https://images-na.ssl-images-amazon.com/images/I/71Cbpp+PQNL.png
nm7807434,Julie at Haidari Kabab,798,https://images-na.ssl-images-amazon.com/images/I/61C01mzD+LL.png
nm2203303,Babu Bha,765,https://images-na.ssl-images-amazon.com/images/I/71JSSBZGqmL.png
nm7523306,Haideri Staff 1,687,https://images-na.ssl-images-amazon.com/images/I/813gYRFic2L.png
nm3998355,Inspector Purohit,660,https://images-na.ssl-images-amazon.com/images/I/613gPHxzVCL.png
nm7807445,Babu's Flunky 1,600,https://images-na.ssl-images-amazon.com/images/I/71L6gOxPOXL.png
nm7355481,Haideri Staff 5,593,https://images-na.ssl-images-amazon.com/images/I/813gYRFic2L.png
nm7807441,Haideri Staff 2,593,https://images-na.ssl-images-amazon.com/images/I/813gYRFic2L.png
nm7807442,Haideri Staff 3,593,https://images-na.ssl-images-amazon.com/images/I/813gYRFic2L.png
nm7807443,Haideri Staff 4,593,https://images-na.ssl-images-amazon.com/images/I/813gYRFic2L.png
nm7836032,Haideri Staff 6,593,https://images-na.ssl-images-amazon.com/images/I/813gYRFic2L.png
nm7807446,Babu's Flunky 2,549,https://images-na.ssl-images-amazon.com/images/I/71L6gOxPOXL.png
nm7807447,Babu's Flunky 3,549,https://images-na.ssl-images-amazon.com/images/I/71L6gOxPOXL.png
nm7807448,Babu's Flunky 4,549,https://images-na.ssl-images-amazon.com/images/I/71L6gOxPOXL.png
nm1375031,Amjad's Father,538,https://images-na.ssl-images-amazon.com/images/I/71Ojr1cxepL.png
nm7807428,Amjad's Mother,538,https://images-na.ssl-images-amazon.com/images/I/61LBPIP1hkL.png
nm2012038,Colonel Abbas,491,https://images-na.ssl-images-amazon.com/images/I/81kH8a0ZUQL.png
nm2980853,Mrs. Abbas,491,https://images-na.ssl-images-amazon.com/images/I/81kH8a0ZUQL.png
nm7807433,Major Abbas,491,https://images-na.ssl-images-amazon.com/images/I/81kH8a0ZUQL.png
nm0030280,Amjad Rishta Girl's Mother,54,https://m.media-amazon.com/images/M/MV5BMDMzMzgxNTMtZDJiMy00MzllLThiMjMtM2JkMDZhMmI5ZmEzXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_.jpg
nm7807453,Amjad Rishta Girl,54,https://images-na.ssl-images-amazon.com/images/I/61iwbNPiR3L.png
nm7807454,Amjad Rishta Girl's Father,54,https://images-na.ssl-images-amazon.com/images/I/71tSqpeYT9L.png
