nconst,character,screentime,image
nm0006795,Chulbul P. Pandey,7292,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm0451170,Makhanchand 'Makkhi' Prajapati Pandey,4364,https://m.media-amazon.com/images/M/MV5BYTYzMzA2MjMtYTU3Ni00YWEwLWEzMTgtMDIwY2MzMTBlNDRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3848064,Rajjo Pandey,3633,https://m.media-amazon.com/images/M/MV5BMTgxMTUyNDg2NF5BMl5BanBnXkFtZTgwOTAyMTIzOTE@._V1_.jpg
nm1679372,Balli Singh,3499,https://m.media-amazon.com/images/M/MV5BOWFjZGYxZDMtYTBhYy00YWVkLTk2NDUtMmE2NTAyM2Q0OTMyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm10994971,Khushi,2308,https://images-na.ssl-images-amazon.com/images/I/81KTmBEdV1L.png
nm10845687,Prajapati Pandey,2293,https://images-na.ssl-images-amazon.com/images/I/81YdveJ9nAL.png
nm10881215,Bitto,1711,https://images-na.ssl-images-amazon.com/images/I/81ckraCFWqL.png
nm1594666,Kushi's Mama,1409,https://m.media-amazon.com/images/M/MV5BMTkyMTE4MDYtMDIyNC00OGY1LWIxYTgtYThjYWNlY2MyZmYwL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3874979,Kushi's Aunt,1375,https://m.media-amazon.com/images/M/MV5BNTQzOTBkY2ItMjFmYS00Y2ZlLTkyZTAtMjg2Nzk0NDkwZGQzXkEyXkFqcGdeQXVyNDU5MzA2NzI@._V1_.jpg
nm1167594,Gullu,1181,https://m.media-amazon.com/images/M/MV5BM2RkNDE5YmEtNmFkMy00YjE0LTgzODAtMTQxYWM3NzgzYzdkXkEyXkFqcGdeQXVyNDA2ODU5Mzc@._V1_.jpg
nm0019382,Constable Raju,1169,https://m.media-amazon.com/images/M/MV5BYThkY2E3OWQtMDk4Yy00OWE3LTg3ZTAtN2RlNTZlZGRmOTMxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
