nconst,character,screentime,image
nm0992000,Arun Gawli,6447,https://m.media-amazon.com/images/M/MV5BMTg0NTAzOTU4Ml5BMl5BanBnXkFtZTcwMzg1MjUyOA@@._V1_.jpg
nm1723225,Inspector Vijaykar Nitin,3210,https://m.media-amazon.com/images/M/MV5BMjAzNDk1MDc3Nl5BMl5BanBnXkFtZTgwNjEyMTIzOTE@._V1_.jpg
nm5781594,Asha Gawli,2888,https://m.media-amazon.com/images/M/MV5BNzdkYzJmNTEtOThjZS00YzM5LWE0ZmYtNjZjNTYwNTU3YjVkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm2517742,Rama Naik,2658,https://ia.media-imdb.com/images/I/7195sgkNIxL.png
nm3014046,Sada,1937,https://ia.media-imdb.com/images/I/71tNSDuxuIL.png
nm3708961,Phamplet Bandya,1776,https://ia.media-imdb.com/images/I/81QzQh3t9FL.png
nm9097171,Vijay,1555,https://ia.media-imdb.com/images/I/61BTUAS7EPL.png
nm4549709,Babu Reshim,1467,https://ia.media-imdb.com/images/I/71dbBg0xHuL.png
nm1027719,Maqsood (modeled on Dawood Ibrahim),1394,https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_.jpg
nm2366974,Rafique,1366,https://ia.media-imdb.com/images/I/71U8+dVNMOL.png
nm3831960,Rani,916,https://m.media-amazon.com/images/M/MV5BNzc4M2Q1YTAtODg5OS00NWNiLWI0N2MtMGZjNDYwMmU3NzYwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm5947725,Hilda,866,https://m.media-amazon.com/images/M/MV5BZjRiMmNjODEtNzY5NS00NDgzLWFkNzgtOTAwZTI2YTBiMmJmXkEyXkFqcGdeQXVyODE3ODgxNjQ@._V1_.jpg
nm2150888,MLA Mhatre,663,https://ia.media-imdb.com/images/I/81Puzw7ng1L.png
nm2772765,Arun's Mother,637,https://ia.media-imdb.com/images/I/81gGuI+vyQL.png
nm3406409,Sautya,615,https://ia.media-imdb.com/images/I/81L8QJOB+bL.png
nm6117651,Geeta Gawli,602,https://ia.media-imdb.com/images/I/71GvuZ2ofxL.png
nm9366948,Rama's Teen Bride,458,https://ia.media-imdb.com/images/I/81ZKE+TvP8L.png
nm9366943,Mhatre's Maid,452,https://ia.media-imdb.com/images/I/71AGLcktPML.png
nm9366941,Samad Khan,370,https://ia.media-imdb.com/images/I/71qLl1tnQHL.png
nm5120348,Uma (Rama's Brother),319,https://ia.media-imdb.com/images/I/81yEjLGm6VL.png
nm9366952,Kid Geetha (6 yrs),299,https://ia.media-imdb.com/images/I/714mWR6MxvL.png
nm8456338,Newman,272,https://ia.media-imdb.com/images/I/81RQEk5h0YL.png
nm5052988,Ashok Joshi,267,https://ia.media-imdb.com/images/I/71YKCgjwywL.png
nm9366953,Pappu Borivali,238,https://ia.media-imdb.com/images/I/61yheTUk4BL.png
nm9367005,Young Shooter Boy 1,117,https://ia.media-imdb.com/images/I/61rKxlGhXNL.png
nm3927200,Rama's Mother,107,https://ia.media-imdb.com/images/I/61BwHmjI85L.png
nm9367027,Vijaykar's Wife,46,https://ia.media-imdb.com/images/I/81A9Y5oAArL.png
