nconst,character,screentime,image
nm1778703,Rudra Pratap Singh Chauhan,5333,https://m.media-amazon.com/images/M/MV5BZTlhZjVlNzMtMzlhOC00ZWJlLTg1NzItZTU5NDNmNzFhZWU0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm3867591,Aditi Singh,5302,https://m.media-amazon.com/images/M/MV5BMTQzNDA2NDkxMF5BMl5BanBnXkFtZTcwMjc5OTczNw@@._V1_.jpg
nm4466728,Shankar,4227,https://ia.media-imdb.com/images/I/61MmYbMUkbL.png
nm5105464,Prasadilal Yadav,4168,https://ia.media-imdb.com/images/I/71RHS2o0ioL.png
nm1302330,Sub Insp. Dulare,2491,https://m.media-amazon.com/images/M/MV5BY2NmNDY2OTAtMzJlMy00OWMzLTgwMWItYWFlYjY0NmY0MTBlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0768296,DGP N K Sharma,2237,https://m.media-amazon.com/images/M/MV5BMTgwNzc3MTI3M15BMl5BanBnXkFtZTcwNTU0NTcyMQ@@._V1_.jpg
nm1191646,Honey Singh,1507,https://m.media-amazon.com/images/M/MV5BYzY5N2I3MDYtNTk0NC00ZGRjLWI2ZjUtYjU3MzNkNWYzM2NmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8734680,Inspector Anjana,1375,https://ia.media-imdb.com/images/I/711GYgdQ6gL.png
nm0422550,Tripathi,1321,https://ia.media-imdb.com/images/I/71SOGmha3bL.png
nm4976627,Pooja Kumari,1232,https://ia.media-imdb.com/images/I/61UX4J8JICL.png
nm5805978,Item Girl,1231,
nm5805935,Item Girl,1090,https://ia.media-imdb.com/images/I/61Atfq9KRNL.png
nm10363076,P.A. to C.M.,966,https://ia.media-imdb.com/images/I/71EYUXhtrvL.png
nm10363077,Nurse,944,https://ia.media-imdb.com/images/I/71bU+8kCdwL.png
nm10363073,Pandey,681,https://ia.media-imdb.com/images/I/81tijQzkICL.png
nm1817397,Kanchan devi,408,https://m.media-amazon.com/images/M/MV5BNzgwYmRmZTEtMTZmMy00ZGJlLWJhMTktNDVjOWM4YTgyMjI3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
