nconst,character,screentime,image
nm2020109,Madhukar,7640,https://m.media-amazon.com/images/M/MV5BODc4ODA5NjM2N15BMl5BanBnXkFtZTgwOTU0MzE0NzM@._V1_.jpg
nm9427099,Parthavi,7341,https://m.media-amazon.com/images/M/MV5BYzU0YzYwYWYtM2UxMy00NmQzLTllODItNjJmZGEzZjYxMWY3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9936176,Gokul,4872,https://ia.media-imdb.com/images/I/81GXF8Iay6L.png
nm9990704,Purshottam,4753,https://ia.media-imdb.com/images/I/81ogpXL98JL.png
nm9990703,Roop Singh,3860,https://ia.media-imdb.com/images/I/81xBLeDAY1L.png
nm0709359,Ratan Singh,3738,https://m.media-amazon.com/images/M/MV5BMjQ3OTdkY2MtN2NlMC00Y2U2LWE4ODMtOWZlYzRmMzUwN2ExXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm7206816,Ambika,3472,https://ia.media-imdb.com/images/I/71faMfvHTJL.png
nm9909803,Madhukar's Father,3258,https://ia.media-imdb.com/images/I/81StA0zJ2bL.png
nm9955798,Promila Bhowmick,2669,https://ia.media-imdb.com/images/I/81+pLeKKOVL.png
nm3721677,Inspector Shekawat,2551,https://m.media-amazon.com/images/M/MV5BYThiNTkwOGYtMzcxOS00NjViLTk2ODktMDljNmEyNzY5YTQwXkEyXkFqcGdeQXVyODEyMTAwMDI@._V1_.jpg
nm1655925,Madhukar's Mother,2325,https://ia.media-imdb.com/images/I/81qnI7jJg7L.png
nm4748818,Devilal,2008,https://ia.media-imdb.com/images/I/81afuCPdx3L.png
nm1425584,Sachin Bhowmick,1910,https://m.media-amazon.com/images/M/MV5BODQ3ZjdiNGYtOWU4MS00ZjIwLTk4OTQtNGFiZDFkMGRhZGY4XkEyXkFqcGdeQXVyNjgyOTIyNTM@._V1_.jpg
nm1024591,Parthavi's Mother,1535,https://m.media-amazon.com/images/M/MV5BMWM5YTRlM2MtYmM0YS00ZjljLWI4NDktYjBiMWRkNDdiMzdhXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm7753749,Sulekha Goenka,1474,https://ia.media-imdb.com/images/I/81ZfGBk61KL.png
nm10144720,Manager,1197,https://ia.media-imdb.com/images/I/815DNDEGt4L.png
nm2933536,Arvind Mama,981,https://ia.media-imdb.com/images/I/91WpH4USJJL.png
nm10144717,Roll Call Teacher,785,https://ia.media-imdb.com/images/I/81fXva8+FhL.png
nm10144712,Toddler Aaditya,744,https://ia.media-imdb.com/images/I/811sJrjiGtL.png
nm9990705,Anuradha,648,https://ia.media-imdb.com/images/I/81lEBoutHFL.png
nm10144716,News Reporter,637,https://ia.media-imdb.com/images/I/81ohMfO2EsL.png
nm10144719,Vishwajith,631,https://ia.media-imdb.com/images/I/81FUuyRuGYL.png
nm6294201,Bheema,385,
nm8597165,Bheema's Mother,323,https://ia.media-imdb.com/images/I/81FUCXz9RuL.png
nm10144718,Shopkeeper,321,https://ia.media-imdb.com/images/I/8116rs44qTL.png
nm7800328,Mr. Agnihotri,214,https://ia.media-imdb.com/images/I/81a0H2Z1OlL.png
nm10144714,Doctor At Clinic,154,https://ia.media-imdb.com/images/I/81gz53ne9xL.png
nm10144715,Help at Ratan Singh's Havelli,79,https://ia.media-imdb.com/images/I/81hk2J4EkaL.png
nm9042828,Principal,67,https://ia.media-imdb.com/images/I/91yEULmDUqL.png
nm10144713,Baby Aaditya,49,https://ia.media-imdb.com/images/I/91EaaTiyJCL.png
