nconst,character,screentime,image
nm0451321,Raj Malhotra,10551,https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0004418,Simran Singh,10541,https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_.jpg
nm0700869,Chaudhry Baldev Singh,7553,https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0416077,Lajwanti 'Lajjo' Singh,7284,https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0750408,Chutki,5995,https://m.media-amazon.com/images/M/MV5BYTI0Mzg5M2UtZmZjNy00ZTJhLTgwNjctYTdlNzEwNzc5ZjU3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0424103,"Rocky, Raj's friend",5634,https://m.media-amazon.com/images/M/MV5BMTM5Njk5MDI0OV5BMl5BanBnXkFtZTcwOTA0ODE2OQ@@._V1_.jpg
nm0794510,Simran's Aunt,5126,https://m.media-amazon.com/images/M/MV5BYjlmMmE0NjItYzYxNy00NWE3LWI0OTktN2RiN2U5ZTk5MWJjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0990671,Preeti Singh,5098,https://m.media-amazon.com/images/M/MV5BNjk5Zjg4NGItNWVmYi00N2FlLTljY2EtY2FjYzE0MDY5NTA0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0786033,Kuljeet,4660,https://m.media-amazon.com/images/M/MV5BNTQ1MTk5ZWQtMDcwYy00NmZjLTg4MjYtMjU5MWI3MjQ4NTcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0787474,Ajit Singh,4630,https://m.media-amazon.com/images/M/MV5BOTdhNGI3ZGItMzkwZC00ZDY0LTliZDEtZDZkY2E0MDUwNDk5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451600,Dharamvir Malhotra,4416,https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_.jpg
nm0755087,Simran's Grandmother,4336,https://m.media-amazon.com/images/M/MV5BOGM3OWY1YjctMGM5ZC00ZGQxLTliY2YtNjAwMjQxMDU1Mzg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0754818,"Roby, Raj's friend",3773,https://images-na.ssl-images-amazon.com/images/I/71GpF-aXHTL.png
nm0864607,Simran's Uncle,2975,https://images-na.ssl-images-amazon.com/images/I/81+QPT76TeL.png
nm0025588,"Sheena, Simran's friend",2526,https://images-na.ssl-images-amazon.com/images/I/71O+Kee8sML.png
nm0657829,Simran's Friend,2479,https://images-na.ssl-images-amazon.com/images/I/71vLqjCSIoL.png
nm1021365,Simran's friend,2479,https://images-na.ssl-images-amazon.com/images/I/71dkEsCHODL.png
