nconst,character,screentime,image
nm0592799,Girdhari Lal Sharma (Pandit ji),5229,https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_.jpg
nm6509791,Banwari,3122,https://m.media-amazon.com/images/M/MV5BODAwYTFjMDEtN2Y2NS00MGY4LWE1YTMtMGRmYjQ0MGVhNWM2XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm4784569,Radha,2886,
nm3588052,Gopal,2861,https://images-na.ssl-images-amazon.com/images/I/81Q09d5uRJL.png
nm0864608,Robdar,2417,https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_.jpg
nm2240044,Bulaki,2190,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9498863,Diya,1722,https://images-na.ssl-images-amazon.com/images/I/810L10kPOkL.png
nm3358260,Indrani,1697,https://m.media-amazon.com/images/M/MV5BMjY5OGY0YTAtOThkMC00NGRjLWI5NjUtM2NkZDkxMDNmZjI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9498862,Vidhayak,1474,https://images-na.ssl-images-amazon.com/images/I/81gc4dMmwuL.png
nm9279336,Pankhuri,1303,https://images-na.ssl-images-amazon.com/images/I/81NyfgPa1NL.png
nm6199190,Brij Kishore,1192,https://images-na.ssl-images-amazon.com/images/I/81lSHLQB1OL.png
nm3970953,Prabha,1043,https://images-na.ssl-images-amazon.com/images/I/71AjSRnpf6L.png
nm4443443,Daroga Samjhdar Singh,902,https://images-na.ssl-images-amazon.com/images/I/81x--qp0lmL.png
nm9484221,Munni,846,https://images-na.ssl-images-amazon.com/images/I/81D43xDQrYL.png
nm9400989,Vidhayak's PA,711,https://images-na.ssl-images-amazon.com/images/I/81twQjtP8wL.png
nm9498864,Yadav Ji,483,https://images-na.ssl-images-amazon.com/images/I/81UMCsxgzML.png
nm5843164,Lineman Satish,301,https://images-na.ssl-images-amazon.com/images/I/81pWELIzc8L.png
nm6412758,NRI Father,202,https://images-na.ssl-images-amazon.com/images/I/81d7owZHYcL.png
