nconst,character,screentime,image
nm0893142,Venky,7441,https://m.media-amazon.com/images/M/MV5BMTkyNDE4OTA0MF5BMl5BanBnXkFtZTgwNjExMTE0OTE@._V1_.jpg
nm1961459,Harika,7158,https://m.media-amazon.com/images/M/MV5BNTkxOTJmMTktZTc1Yy00ZGU3LTkzNGUtYTE1ZGI4M2I5MjQ1XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm8276228,Honey,6930,https://m.media-amazon.com/images/M/MV5BMTE1NWJmN2ItOWM2OC00NmNkLThkZTctMGE1ZGNkODRkM2MzXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7674551,Varun,6652,https://m.media-amazon.com/images/M/MV5BMTQ2MzZhYWItYjdiYS00NmYyLThmNjYtMDNmMzRiYWZmMGU1XkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg
nm1277066,Harika & Honey's Mother,5104,https://ia.media-imdb.com/images/I/71pggsKQQKL.png
nm10464654,Harika & Honey's Father,5093,https://ia.media-imdb.com/images/I/81ad79UfBtL.png
nm0944712,Harika's Grandmother #2,4208,https://ia.media-imdb.com/images/I/819k-tJXNpL.png
nm0030280,Harika's Grandmother #1,4193,https://ia.media-imdb.com/images/I/81ww1ZQjjiL.png
nm0707399,Prasad,4048,https://m.media-amazon.com/images/M/MV5BOTQ4ZmQyM2ItN2Q5ZC00M2U3LWIxNzUtMmRlYjAzYThkNTVmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0695177,Dora Swamy Naidu,3193,https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_.jpg
nm4685592,Dora Swamy's Sister,3093,https://ia.media-imdb.com/images/I/81xNd6O4u8L.png
nm2210188,Dora Swamy's Henchman,3092,https://ia.media-imdb.com/images/I/71Pha9ZUmFL.png
nm10464655,Dora Swamy's Wife,2999,https://ia.media-imdb.com/images/I/71TqiTaLGFL.png
nm0707426,Dora Swamy Brother's Wife,2997,https://ia.media-imdb.com/images/I/71azHgBbs9L.png
nm1152338,ANR,2966,https://ia.media-imdb.com/images/I/81WuGHgJNVL.png
nm1759615,NTR,2966,https://ia.media-imdb.com/images/I/81wyntM-1oL.png
nm3760044,Dora Swamy's Brother,2936,https://ia.media-imdb.com/images/I/71lkvoE10AL.png
nm0621937,Viswanath,2732,https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_.jpg
nm6419392,Darshi,2505,https://m.media-amazon.com/images/M/MV5BNmQ5ZjNjNzktMTUxNC00M2I3LWE3ZWQtZGZkZTNiYmY2MzAwXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm1219922,Varun’s Mother,1930,https://ia.media-imdb.com/images/I/81ctRs9xODL.png
nm9428891,MLA's Driver,1687,https://ia.media-imdb.com/images/I/71yQTLmHuoL.png
nm1298052,MLA,1685,https://ia.media-imdb.com/images/I/81Zmd68O35L.png
nm9870185,MLA's Bodyguard,1657,https://ia.media-imdb.com/images/I/81gbsebI2hL.png
nm3808948,Jon Strow,1520,https://m.media-amazon.com/images/M/MV5BMjA5ZDIxMWYtNmNkMC00MDMzLWE0ODEtYzU3ZDJjZDdkMGExXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_.jpg
nm9898476,Jon Strow's Henchman,1260,https://ia.media-imdb.com/images/I/71UEHEh2rcL.png
nm9690487,Telugu Matrimony Matchmaker,1091,https://ia.media-imdb.com/images/I/71bdg0wpRbL.png
nm8389782,Salesman,837,https://ia.media-imdb.com/images/I/81t5eDqa8pL.png
nm1714868,Varun's Neighbor,787,https://ia.media-imdb.com/images/I/71ewHTGNuEL.png
nm7850258,Anasuya,670,https://m.media-amazon.com/images/M/MV5BMTk3NzgwZDItNDU1MC00MjU5LWI1ZmUtOTNmOTdkMmE3NzI0XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm8389780,Coordinator,608,https://ia.media-imdb.com/images/I/71LDY6YxBqL.png
nm9061359,Interviewer,590,https://ia.media-imdb.com/images/I/71y5HAYXQIL.png
nm0103976,Albert Narayan Das,421,https://m.media-amazon.com/images/M/MV5BMzUxMTg4OTEwN15BMl5BanBnXkFtZTgwNTczNTc4OTE@._V1_.jpg
nm6252874,Principal,415,https://ia.media-imdb.com/images/I/71n5camBgcL.png
nm0710545,Raji,265,https://m.media-amazon.com/images/M/MV5BYzk1NTliOTMtYzAwMi00NmZjLTk5OWItOWUxMGFiOGIwMzk5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
