nconst,character,screentime,image
nm0004418,Zooni Ali Beg,8584,https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_.jpg
nm0451148,Rehan Qadri,8240,https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_.jpg
nm0438501,Zulfikar Ali Beg,5464,https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2460840,Rehan,3074,https://images-na.ssl-images-amazon.com/images/I/815lR+eRSaL.png
nm0007102,Dr. Malini Tyagi,2943,https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_.jpg
nm0768296,Susheel Rawat,2551,https://m.media-amazon.com/images/M/MV5BMTgwNzc3MTI3M15BMl5BanBnXkFtZTcwNTU0NTcyMQ@@._V1_.jpg
nm1671764,Fatty,2449,https://m.media-amazon.com/images/M/MV5BYmI1MmQxNjQtZTJmZC00MzM0LWI4ZGEtMzI0MTVmYTQ3YjhjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2284072,Mehbooba 'Bobo',2319,https://m.media-amazon.com/images/M/MV5BYThmZjFkOTQtMTc2MC00NDQ0LWFjZTYtNDEwMTA5NGVlNDY5XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm0451601,Nafisa Ali Beg,2180,https://m.media-amazon.com/images/M/MV5BMGQ1NTZkOWQtN2Y2Zi00NDEyLWFmZjktNjVmZTRlMGUyMjQzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1402143,Rubina 'Ruby',2127,https://m.media-amazon.com/images/M/MV5BYjlmNWMzMjItNGQzNi00MDEwLWI4NDgtMDIyOWEwNDJlNDVmXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm1384029,Aakash,1871,
nm0239267,Helen - Zooni's Instructor,1814,https://m.media-amazon.com/images/M/MV5BMTY0ODQ1OTY3NV5BMl5BanBnXkFtZTcwNTMzNzk2Nw@@._V1_.jpg
nm0386358,Balwaan,1745,https://m.media-amazon.com/images/M/MV5BMTI4OWU4ZDktOGNlNC00NTBlLWJjNTctM2JmYzBhOGFhNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1021919,Venkateshwar Atti Cooper Rao,1282,https://m.media-amazon.com/images/M/MV5BNTM2MGU3ZWYtOTBmOC00NTRiLWI5NGYtZDczMWEzMTMwNDNiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451156,Naana - Rehan's maternal grandpa,1270,https://m.media-amazon.com/images/M/MV5BMDEzZDQwMWQtMTY2ZS00NWQxLTkzNGMtMWEzYTBjZTFhY2M2XkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm1186036,Naana's Associate 1,1169,
nm0080377,Inspector Jolly Good Singh,1141,https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm4564389,Naana's Associate 2,915,
nm0034029,Eye Doctor,701,https://images-na.ssl-images-amazon.com/images/I/81FpYCAP+eL.png
nm2289565,Tourist at Humayun's Tomb,511,https://m.media-amazon.com/images/M/MV5BN2Q5OWVlNDgtN2RlYS00MmNhLWEzYTItNjViNjNlNjAxZjA0XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm4162876,Taxi Driver,504,
nm0787472,Defence Secretary,489,https://images-na.ssl-images-amazon.com/images/I/81O1vvWgvYL.png
nm0787474,Colonel Maan Singh,469,https://m.media-amazon.com/images/M/MV5BOTdhNGI3ZGItMzkwZC00ZDY0LTliZDEtZDZkY2E0MDUwNDk5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0788918,Defence Minister,454,https://m.media-amazon.com/images/M/MV5BNGNlZGM3YTMtOTc2Yi00YzVmLWFkMDAtYTQ3NTBjMDBiNTM2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm4564203,TV Reporter,349,
nm1832004,Major Suraj Ahuja,312,https://m.media-amazon.com/images/M/MV5BNjQ1MzU1ODA0MF5BMl5BanBnXkFtZTgwMzg5MTMzOTE@._V1_.jpg
nm1576905,Captain Ijaz Khan,301,
nm1069034,Zeenat,250,https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_.jpg
nm2299006,Captain Ranjeev,132,
nm4564276,Officer 1 in Chopper,132,
nm4564225,Officer 2 in Chopper,130,
nm4564364,Officer 3 in Chopper,130,
nm2711559,Chief Minister,44,
