nconst,character,screentime,image
nm0438463,Fanney Khan (Prashant Sharma),6826,https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9398249,Lata Sharma,5006,https://ia.media-imdb.com/images/I/91JOWtO7xNL.png
nm3822770,Adir,4816,https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm0244890,Kavita Sharma,4398,https://m.media-amazon.com/images/M/MV5BMjA0NDAzMjQ2MV5BMl5BanBnXkFtZTcwNzMzMTMzMg@@._V1_.jpg
nm0706787,Baby Singh (Sumitra),4022,https://m.media-amazon.com/images/M/MV5BMjEyMjEyODkzN15BMl5BanBnXkFtZTcwODkxMTY1Mg@@._V1_.jpg
nm2971390,Karan Kakkad,3744,https://m.media-amazon.com/images/M/MV5BMjUzMTAxMjM2M15BMl5BanBnXkFtZTgwNTA1MjQ2MDI@._V1_.jpg
nm8075163,Rhea,2486,https://m.media-amazon.com/images/M/MV5BYzI0NDI0MTAtOGIyZS00ZWNmLTllMmUtMWM5OTQwODRmYmMwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1794460,Vivek Sir,2092,https://m.media-amazon.com/images/M/MV5BODM0MjQzMzA4N15BMl5BanBnXkFtZTgwMDQ2MTk0NDE@._V1_.jpg
nm5475700,Jinal,1800,https://m.media-amazon.com/images/M/MV5BNWQ5MDRkZmItY2JkNC00NzY4LTgxM2YtOGQ4YzJlMjMwNWIyXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm0442479,Kadar Bhai,1537,https://m.media-amazon.com/images/M/MV5BMTQ1ODk1MzQ0OF5BMl5BanBnXkFtZTcwNjc3MzA3MQ@@._V1_.jpg
nm8314084,Female Producer,1383,https://ia.media-imdb.com/images/I/81ZiKNYh-WL.png
nm10178089,Factory Supervisor,1356,https://ia.media-imdb.com/images/I/81Unf8X521L.png
nm10178092,Judge 3 @TNT,1287,https://ia.media-imdb.com/images/I/61B8R5go+SL.png
nm4443385,Judge 1 @TNT,1287,https://m.media-amazon.com/images/M/MV5BNjMxYTEwNTYtYzYxNi00ZmI0LTk2ZjEtYmZlZjgxYmUzYTA4XkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm4598322,Judge 2 @TNT,723,https://ia.media-imdb.com/images/I/71AN596MRRL.png
nm9108665,Vinod :Correspondent,711,https://m.media-amazon.com/images/M/MV5BMWJmNzliNGQtOWYxZC00NzU3LTgzZTMtMTNhZmZkMmVhNjJjXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm10178091,Jai,609,https://ia.media-imdb.com/images/I/81mt8Y6vxEL.png
nm5973635,News Anchor,532,https://ia.media-imdb.com/images/I/61NUl2KJ9fL.png
nm10178101,Lady Cop @Climax,481,https://ia.media-imdb.com/images/I/81ORIO9t9OL.png
nm10178099,Sound Engineer,466,https://ia.media-imdb.com/images/I/71XJRiWoSBL.png
nm10178095,Security Guard @ Baby's Apartment,464,https://ia.media-imdb.com/images/I/81qeFp7YSXL.png
nm7299873,Salesman at Chemist,270,https://ia.media-imdb.com/images/I/81gq3yO0XJL.png
