nconst,character,screentime,image
nm0222426,Gopal,6325,https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_.jpg
nm1662277,Laxman,6002,https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451174,Madhav,5999,https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0969428,Lucky,5878,https://m.media-amazon.com/images/M/MV5BMTU0MjEzMjM4NV5BMl5BanBnXkFtZTgwNjUwMDMzOTE@._V1_.jpg
nm0447240,Laxman,5877,https://m.media-amazon.com/images/M/MV5BMmJiYjIwODctYjZlMy00M2IzLWI2OTItNDRiODZkNzcxNzllXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0007102,Anna Mathew,4962,https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_.jpg
nm4495174,Khushi,4415,https://m.media-amazon.com/images/M/MV5BMTkzOTgzNzYzMl5BMl5BanBnXkFtZTgwMTI0MzY3OTE@._V1_.jpg
nm0505323,Puppy Bhai,3107,https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_.jpg
nm0592799,Babli Bhai,2447,https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_.jpg
nm0864608,Vasuli,2070,https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_.jpg
nm0695177,Vasu Reddy,1988,https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_.jpg
nm0451561,Baba,1384,https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1817397,Damini,1342,https://m.media-amazon.com/images/M/MV5BNzgwYmRmZTEtMTZmMy00ZGJlLWJhMTktNDVjOWM4YTgyMjI3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1302330,Inspector Dande,1227,https://m.media-amazon.com/images/M/MV5BY2NmNDY2OTAtMzJlMy00OWMzLTgwMWItYWFlYjY0NmY0MTBlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1432957,Hawaldar Gandhari,1227,https://m.media-amazon.com/images/M/MV5BNzM3MTk4N2EtYzA3My00NzdhLWIwMzUtZjY4ODMxOTM1ODU5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1277705,Jamnadas,1213,https://m.media-amazon.com/images/M/MV5BYzY2NTNjZDctMWUyNi00ZDdiLWIzZTAtMzFlZmVhNmY3ODA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0386358,Pandu,1185,https://m.media-amazon.com/images/M/MV5BMTI4OWU4ZDktOGNlNC00NTBlLWJjNTctM2JmYzBhOGFhNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7025587,Vasu Reddy's Henchmen,1059,https://ia.media-imdb.com/images/I/61ghPz6phiL.png
nm1778703,Nikhil,1024,https://m.media-amazon.com/images/M/MV5BZTlhZjVlNzMtMzlhOC00ZWJlLTg1NzItZTU5NDNmNzFhZWU0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm0007113,Nana Patekar,364,https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_.jpg
nm4376717,Naidu,201,https://m.media-amazon.com/images/M/MV5BMTc0NDQ1NzQtYTMyNS00OWI0LTlhOTItMzliOTk4OWVmMzdhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5546451,Daughter of spirit who wants reach her through Anna,26,https://m.media-amazon.com/images/M/MV5BMTE1YTY3OWItY2UxNC00NTI5LWFiZmUtZTZiNTY2MzdhYjJlXkEyXkFqcGdeQXVyODEyMTAwMDI@._V1_.jpg
