nconst,character,screentime,image
nm4975360,Enakshi,5895,https://m.media-amazon.com/images/M/MV5BODE1MjYxMjk3MV5BMl5BanBnXkFtZTgwOTMzMjgzOTE@._V1_.jpg
nm1479650,Anup,4886,https://m.media-amazon.com/images/M/MV5BZjQxYWI5M2UtNTdiZi00OTU0LTk2YTgtYjc3MWFkZGEzMWZkXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm2478391,Deboshree,4642,https://m.media-amazon.com/images/M/MV5BODRhNDhmYmUtMDEwYy00MzI3LWEzNzEtNzkxZTY2YjZlZDNkXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_.jpg
nm6845062,Srijoy,3775,https://m.media-amazon.com/images/M/MV5BY2Q1ZjJkNmQtMzMwYi00YzE5LWI1MjctOTJhNDEzM2UxYzQ4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm11172375,Alka,2069,https://images-na.ssl-images-amazon.com/images/I/71C6u2Wa+eL.png
nm10011669,Priyanka,1976,https://images-na.ssl-images-amazon.com/images/I/612Q4KEHqtL.png
nm0456094,Pandit Ji,1070,https://m.media-amazon.com/images/M/MV5BMTkxZTY1YjQtZTAxMS00MDk1LTg3YzYtZjA3N2NjMmQ1ZTFiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8680489,Dr. Bhisma Bhattacharya,755,https://images-na.ssl-images-amazon.com/images/I/71qxWaW2o4L.png
nm6132284,Dr. Shashi Kundu,725,https://images-na.ssl-images-amazon.com/images/I/614wWALzeGL.png
nm11172386,Recepetionist,383,https://images-na.ssl-images-amazon.com/images/I/610p7hgpJPL.png
nm2240044,Alok,347,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
