nconst,character,screentime,image
nm0474774,Varun Batra,7320,https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_.jpg
nm0004626,Deepti Batra,7136,https://m.media-amazon.com/images/M/MV5BMjAyNjM4NTAwN15BMl5BanBnXkFtZTcwNDkxNzQzNg@@._V1_.jpg
nm6442009,Monika Batra,3665,https://m.media-amazon.com/images/M/MV5BMTEyOTQ2NDE1NzNeQTJeQWpwZ15BbWU4MDgyNzczNDkx._V1_.jpg
nm4362492,Honey Batra,3383,https://m.media-amazon.com/images/M/MV5BMTU5ODg1NzQwM15BMl5BanBnXkFtZTgwMDU4ODEzOTE@._V1_.jpg
nm1538116,Dr. Sandhya Joshi,2965,https://m.media-amazon.com/images/M/MV5BNDViNTA3ZDctY2M2MC00NWNjLTg0ZGYtMWFjYzNlZTUyN2QxXkEyXkFqcGdeQXVyMTE5NzgxOTM@._V1_.jpg
nm1865011,Richa,2507,https://m.media-amazon.com/images/M/MV5BYjU3NmM3MDUtNTIwNi00ZmZkLWIzZDQtOWU0ZTZiYzkxZGE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm4002765,Richa's Husband,2506,https://images-na.ssl-images-amazon.com/images/I/81XNhjdXXjL.png
nm1300009,Dr. Anand Joshi,1859,https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_.jpg
nm9057082,Cab Driver,735,https://images-na.ssl-images-amazon.com/images/I/8138oUKfzxL.png
nm10342833,Varun's Mother,692,https://images-na.ssl-images-amazon.com/images/I/81UdUh6DXJL.png
nm1263677,Varun's Father,644,https://images-na.ssl-images-amazon.com/images/I/71USUpDHSHL.png
nm3741768,Attractive Co-Passenger,619,https://m.media-amazon.com/images/M/MV5BZTRjZWU5YTktMTYxZi00OTIzLTg4NTItNjcyMjQ0YzZjMzc2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm11359874,Kid In Showroom,584,https://images-na.ssl-images-amazon.com/images/I/71sdMqu8T-L.png
nm6093848,Aakash,584,https://images-na.ssl-images-amazon.com/images/I/81JQQx0JQNL.png
nm11359872,Holaram,488,https://images-na.ssl-images-amazon.com/images/I/71ewIvtcxhL.png
nm1397705,Honey's Mother,432,https://images-na.ssl-images-amazon.com/images/I/81yAhEj1loL.png
nm10567293,IVF receptionist,378,https://images-na.ssl-images-amazon.com/images/I/81WJEGCLC-L.png
nm10276381,Deepti's Mother,367,https://images-na.ssl-images-amazon.com/images/I/81mbtDm7c1L.png
nm11359890,Old Patient IVF Center,351,https://images-na.ssl-images-amazon.com/images/I/81nnUxY5H7L.png
