nconst,character,screentime,image
nm3828984,Murad Ahmed,8504,https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_.jpg
nm1017633,Safeena Firdausi,7097,https://m.media-amazon.com/images/M/MV5BZDJhOWNkNjQtNWJlMC00MWM3LWJmYjktMTIyYWI4NGYxNTBkXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm8237564,MC Sher,6101,https://m.media-amazon.com/images/M/MV5BMjI2Mzg2OTExNl5BMl5BanBnXkFtZTgwMjU1OTQ2MjI@._V1_.jpg
nm4739989,Salman,6003,https://m.media-amazon.com/images/M/MV5BZmNkYzc1M2EtZjZiYy00ZWExLWI0MGMtYWVkYThlMTBlMzBhXkEyXkFqcGdeQXVyODQ5ODYwNjg@._V1_.jpg
nm1994146,Moeen Arif,5818,https://m.media-amazon.com/images/M/MV5BMTQ5OTU1OTczM15BMl5BanBnXkFtZTcwMzgwMDE1OQ@@._V1_.jpg
nm1576284,Razia Ahmed,3770,https://m.media-amazon.com/images/M/MV5BMjMxNDMzNzcwM15BMl5BanBnXkFtZTgwMDM1Mjg0MDI@._V1_.jpg
nm0704694,Aftab Shakir Ahmed,3487,https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_.jpg
nm5143861,Rishi,3189,https://images-na.ssl-images-amazon.com/images/I/71LX0cP+eWL.png
nm1533122,Murad's Grandmother,2945,https://m.media-amazon.com/images/M/MV5BYzdlZmYxNWYtODJjYy00MTg5LWEyZmItM2M5NDRkMTkxMDk5XkEyXkFqcGdeQXVyNDU5MzA2NzI@._V1_.jpg
nm0149441,Hamida,2290,https://m.media-amazon.com/images/M/MV5BNzc0NWJjMjQtM2VhOC00MDAxLWE5ZjItZTNlZDFkYjE1YjE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3202701,Sky,2228,https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_.jpg
nm10384309,Nasir,1360,https://images-na.ssl-images-amazon.com/images/I/71xCiX-J5zL.png
nm10241659,Emiway Bantai,1265,https://images-na.ssl-images-amazon.com/images/I/716AcSSQOXL.png
nm10384310,Safeena's Brother,1199,https://images-na.ssl-images-amazon.com/images/I/71BrMvM79iL.png
nm2018867,Sher's Father,971,https://images-na.ssl-images-amazon.com/images/I/81km7YIl5-L.png
nm10384316,Sher's Bhabhi,944,https://images-na.ssl-images-amazon.com/images/I/6178NH3mfXL.png
nm7957066,Rapper 1,927,https://images-na.ssl-images-amazon.com/images/I/71w32iz8bmL.png
nm7231910,Juhi (Girl sitting at college fest),769,https://m.media-amazon.com/images/M/MV5BN2VlZDljYTctY2NjMS00NzJlLTk1NzctZmE4MDJhMWYyNTAyXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10384317,Editor,754,https://images-na.ssl-images-amazon.com/images/I/81ACIgiPdkL.png
nm7467801,Suhani,685,https://images-na.ssl-images-amazon.com/images/I/61iDXxfpaoL.png
nm3591303,Scarlet,608,https://m.media-amazon.com/images/M/MV5BYjgwNDZlZGQtZjFiNy00ODQ5LWEzZGUtNWQzNDc4M2QxNmZiXkEyXkFqcGdeQXVyMjIxODkxMzk@._V1_.jpg
nm10620354,Judge #2,558,https://images-na.ssl-images-amazon.com/images/I/617u1H11ToL.png
nm10620355,Judge #3,558,https://images-na.ssl-images-amazon.com/images/I/71plcRekejL.png
nm7102262,Judge #1,558,https://images-na.ssl-images-amazon.com/images/I/71KwSxrsmXL.png
nm3473484,Doctor,508,https://images-na.ssl-images-amazon.com/images/I/81LrWuAOyvL.png
nm8715561,Narain's Manager,502,https://images-na.ssl-images-amazon.com/images/I/71M0JmkYb0L.png
nm9241618,Tour Guide,498,https://images-na.ssl-images-amazon.com/images/I/81EldoIH4PL.png
nm10002302,British Tourist,496,
nm10620356,Salman Dad,450,https://images-na.ssl-images-amazon.com/images/I/810bO7Cb4hL.png
nm10620353,Guy At Safeena House,352,https://images-na.ssl-images-amazon.com/images/I/81+FoLdakpL.png
nm7845572,Mother Of Guy At Safeena House,349,https://images-na.ssl-images-amazon.com/images/I/71CaftE1GcL.png
nm8629330,Father Of Guy At Safeena House,343,https://images-na.ssl-images-amazon.com/images/I/81BIsG0aOEL.png
nm3000723,Mrs. Narain,329,https://images-na.ssl-images-amazon.com/images/I/8146wB0lMBL.png
nm10384315,Driver 1,297,https://images-na.ssl-images-amazon.com/images/I/61IdPwoGm3L.png
nm7929139,Nikki Narain,257,https://images-na.ssl-images-amazon.com/images/I/71fUmb19mFL.png
nm10620351,Ankur,225,https://images-na.ssl-images-amazon.com/images/I/71ob8c28upL.png
nm10620352,Maya,223,https://images-na.ssl-images-amazon.com/images/I/71R9VxZ84kL.png
nm8261761,Albina,154,https://m.media-amazon.com/images/M/MV5BMDUzYWYwNTMtOTM0Ni00ZWQ2LWFhODYtNzZkNTUwOGI3ODAyXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1018245,Mr. Narain,116,https://m.media-amazon.com/images/M/MV5BNTUxMzk5ZDUtNDhmZi00YTAxLTkwMzItMWIwNTczODg1Y2U1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8317100,Albina's Mother,93,https://images-na.ssl-images-amazon.com/images/I/71yqIR+d5eL.png
nm9012442,Albina's Father,93,https://images-na.ssl-images-amazon.com/images/I/71ENOEq-VeL.png
