nconst,character,screentime,image
nm5856898,Tasha,6544,https://m.media-amazon.com/images/M/MV5BMjA1NzA5MjQyMV5BMl5BanBnXkFtZTgwNTIyMTIzOTE@._V1_.jpg
nm5095993,Rajveer,5810,https://ia.media-imdb.com/images/I/81zR2maPCfL.png
nm1875257,Aryan,5587,https://m.media-amazon.com/images/M/MV5BODVlZGMzZmUtZTdjYi00MDRjLTkyYjktOGQ1OTQ2NTc5MmE2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5911796,Reshma,2493,
nm0004109,Vikram Kurana,1711,https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_.jpg
nm7538110,Monica,1691,
nm5690526,Ron,1631,https://ia.media-imdb.com/images/I/81EzFcPaNlL.png
nm2337375,Ashwin Chaudhary,864,https://m.media-amazon.com/images/M/MV5BMDdlZGRhNTctM2Y5ZC00NTk2LTllMjktNzQ5YzBmMmNlYjljXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm4410856,Bhavna Shrivastav,726,https://m.media-amazon.com/images/M/MV5BMjJkNzI5NWMtOGRkOS00Mzc4LWE5ODItNmQ2NWM1YjAyNzE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1866547,Ad Film Client,503,https://ia.media-imdb.com/images/I/81LqYUYouGL.png
nm5668928,Vivek,502,https://ia.media-imdb.com/images/I/81lhQAg7+mL.png
nm4663098,Tasha's Mom,407,https://ia.media-imdb.com/images/I/81QwS5YoMaL.png
nm8715584,Mother,355,https://ia.media-imdb.com/images/I/714O6cvpE+L.png
nm1632092,Mr. Shrivastav,319,https://ia.media-imdb.com/images/I/71vctxPrK9L.png
nm6757384,Newsreader,265,https://m.media-amazon.com/images/M/MV5BMDZmMTkxYjAtNjBlOS00YTZlLWIzNDgtOTk0MTRhYTgzZWYxXkEyXkFqcGdeQXVyNTQ5NjI3MTQ@._V1_.jpg
nm4470391,Police Inspector,115,https://ia.media-imdb.com/images/I/81BiNDBOswL.png
