nconst,character,screentime,image
nm0792911,Ghanshyam (Shyam),7825,https://m.media-amazon.com/images/M/MV5BODUwMzUyNTUxMl5BMl5BanBnXkFtZTcwNDM2ODIyOA@@._V1_.jpg
nm0474774,Raju,7551,https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_.jpg
nm0712546,Ganpatrao 'Baburao' Apte,6149,https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_.jpg
nm0007102,Anuradha S. Panikar,3926,https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_.jpg
nm0004109,Kabira,3798,https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_.jpg
nm0700875,Kharak Singh,3471,https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_.jpg
nm0451425,Devi Prasad,3343,https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_.jpg
nm0451383,"Police Inspector, Prakash",2824,https://m.media-amazon.com/images/M/MV5BMTYwNTk2MTk4MF5BMl5BanBnXkFtZTgwODQ1ODA0OTE@._V1_.jpg
nm0787447,Kabira's Sidekick,2364,https://m.media-amazon.com/images/M/MV5BNTMxNTQwMTE2MF5BMl5BanBnXkFtZTcwNTQ4MTI0OQ@@._V1_.jpg
nm2147526,Bank Manager,2293,https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_.jpg
nm0451299,Gang Member,1852,https://m.media-amazon.com/images/M/MV5BMjNkNDA5ZjAtNWY0My00NTk0LThhYWQtMzIyZGYxYjY3YjNjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1416287,Bank Clerk,1837,https://m.media-amazon.com/images/M/MV5BOGIzMDkxZmQtODU1NS00ZDkzLWI1OTEtZTgyZWUwZjZiYzJjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0038171,Raju's mom,1229,https://m.media-amazon.com/images/M/MV5BNjM1ZTE5MjgtYzNiZS00NWYwLWFiYTEtNjYwNmNlOGM2Zjg1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0455454,Chaman Jhinga,1226,https://m.media-amazon.com/images/M/MV5BMjQ4N2IxYmMtYTc3NC00YThhLTkzNGQtYzk4MjM5ZGFiMGU3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1217262,Employer,1221,https://images-na.ssl-images-amazon.com/images/I/71R1YSt2dcL.png
nm0794363,Dancer,590,https://m.media-amazon.com/images/M/MV5BNDc5NGJlMWQtYTBmOS00OTI4LWI1M2ItYWEwMTNlMDZkY2ZhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0451272,Devi Prasad's servant,479,https://m.media-amazon.com/images/M/MV5BYmFmZTQ4MjgtYmM0YS00ZGNiLTllM2MtNWRiZDlkMDVmMGE0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
