nconst,character,screentime,image
nm0451234,Raj Batra,6850,https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_.jpg
nm3884476,Mita Batra,5922,https://m.media-amazon.com/images/M/MV5BNWVkMmQwNmMtZGY2Yy00ZDFkLWI0Y2ItYjg2YzZkZWY5ZGJhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8738711,Pia,2596,https://ia.media-imdb.com/images/I/81e+dbyhu-L.png
nm1795232,Shyam Prakash,2017,https://m.media-amazon.com/images/M/MV5BZDNkOTZiNWQtMzQwMy00MTgyLTlmZTMtYmE5OGFmNzJjOTUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0802080,Principal Lodha,1370,https://m.media-amazon.com/images/M/MV5BMDQ0NjFjYzUtNmRiNy00OGQ1LWJhZGYtNGIzMTBmOGQ2MWExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9110962,Mohan,1171,https://ia.media-imdb.com/images/I/81ewVH4av6L.png
nm6372501,Tulsi,1144,https://ia.media-imdb.com/images/I/816JeO4zfmL.png
nm3189957,Hindi Teacher,1138,https://ia.media-imdb.com/images/I/71aTjT0vwAL.png
nm0794818,Consultant,941,https://m.media-amazon.com/images/M/MV5BODg4OGQ0OWQtNjEzMi00NjVjLTkxYmItZTFkZjVlZTE0YmU1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0839634,Kabir Suri,925,https://m.media-amazon.com/images/M/MV5BYjJkMWM4OGQtODdhNC00ODcyLTgwM2MtN2E1NzRjZDBjMWVjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm9110956,News Reader,848,https://ia.media-imdb.com/images/I/61UtSge22gL.png
nm7191143,Sushila,811,https://m.media-amazon.com/images/M/MV5BZTI5NDUwM2UtOGQ5OS00ZGFlLTgzMTEtYjA2ZGRjZDU2MGRjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1226448,Mrs. Suri,723,https://m.media-amazon.com/images/M/MV5BMTQ1OTA2ODc4Ml5BMl5BanBnXkFtZTcwODE4MDY3Mg@@._V1_.jpg
nm2558745,Maya,567,https://ia.media-imdb.com/images/I/61gprOEIkRL.png
nm4880714,Young Meeta,554,https://ia.media-imdb.com/images/I/81hTckYfwjL.png
nm4200637,Young Raj,544,https://ia.media-imdb.com/images/I/71NA1szdPML.png
nm3966365,Chotu,448,https://ia.media-imdb.com/images/I/71Sc1-jPdTL.png
nm7507760,Government School Principal,430,https://ia.media-imdb.com/images/I/71ZBIYshq8L.png
nm9110945,Delhi Grammar School Parent #253,347,https://ia.media-imdb.com/images/I/51b4GNTijML.png
nm9110946,Delhi Grammar School Parent #252,347,https://ia.media-imdb.com/images/I/61ZN6fTdokL.png
nm9110947,Delhi Grammar School Parent #251,347,https://ia.media-imdb.com/images/I/61qZvf-4EGL.png
nm5570209,T.V Guy,343,https://ia.media-imdb.com/images/I/71QoXWrip3L.png
nm1588618,Factory Supervisor,324,https://ia.media-imdb.com/images/I/81sGLd18p6L.png
nm9110941,Ayaan,317,https://ia.media-imdb.com/images/I/81MEF6cGsAL.png
nm8647738,Dolly,288,https://ia.media-imdb.com/images/I/817MUEAGgBL.png
nm4488086,Dolly's Mother,287,https://ia.media-imdb.com/images/I/81ONP9KA-pL.png
nm9110970,Government School Teacher,268,https://ia.media-imdb.com/images/I/816VY+THuEL.png
nm9110939,Waiter,252,https://ia.media-imdb.com/images/I/8121ktUS+wL.png
nm9110940,Event Manager,212,https://ia.media-imdb.com/images/I/61mckhVNdRL.png
nm9110971,Government School Student - Raju,199,https://ia.media-imdb.com/images/I/819xY3Bh2kL.png
nm9110957,News Reporter,177,https://ia.media-imdb.com/images/I/71jkbe91FZL.png
nm9110972,DGS Peon,160,https://ia.media-imdb.com/images/I/613AeEuGzjL.png
nm9110948,Consultant Office Girl Aarya,148,https://ia.media-imdb.com/images/I/8189sQrTZnL.png
nm9110949,Consultant Office Boy Parth,148,https://ia.media-imdb.com/images/I/716kX-fC-yL.png
nm9110965,Bharat Nagar Ration Shopkeeper,141,https://ia.media-imdb.com/images/I/8115unxoJCL.png
nm0788903,MLA,131,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9110955,Clerk,130,https://ia.media-imdb.com/images/I/718w59CQueL.png
nm1402282,Masterji (Raj's Father),127,https://ia.media-imdb.com/images/I/81yFAOeERsL.png
nm1572643,Mita's mother,127,https://ia.media-imdb.com/images/I/71f0kwuRpSL.png
nm4788055,Prince (Tout),125,https://ia.media-imdb.com/images/I/81lDmpuagiL.png
nm9110942,Maya's Husband,124,https://ia.media-imdb.com/images/I/61JZp4VKmsL.png
nm6946196,Chaiwala #1,113,https://ia.media-imdb.com/images/I/71pqwn7ZcnL.png
nm9110952,Parent with CM letter,99,https://ia.media-imdb.com/images/I/71TR95UCAQL.png
nm4742885,Rich Delhi Guy,93,https://ia.media-imdb.com/images/I/61jBZL2n1ZL.png
nm9110951,Crossroad International School Principal,90,https://ia.media-imdb.com/images/I/71sdzKBwErL.png
nm9110953,Briber Parent,57,https://ia.media-imdb.com/images/I/71hgux2XGlL.png
nm3531960,George,47,https://m.media-amazon.com/images/M/MV5BYmI2NDJlNTktNDY5YS00NDViLTk2N2YtOGI0NGNlMGQ3ZjFlXkEyXkFqcGdeQXVyNDc1NTUyODE@._V1_.jpg
nm4044356,Principal's PA #1,34,https://ia.media-imdb.com/images/I/61Ec+BKMWlL.png
nm9110950,Suraj Valley High School Principal,23,https://ia.media-imdb.com/images/I/71oMvllOq2L.png
