nconst,character,screentime,image
nm0451321,Samar Anand,9654,https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1229940,Meera Thapar,6987,https://m.media-amazon.com/images/M/MV5BYjFjZGMwNWEtYWYwZi00NjdiLTk3NDMtOGVlOTkwOWFhYjE0XkEyXkFqcGdeQXVyMTA0NTY2NTIz._V1_.jpg
nm3087728,Akira Rai,4887,https://m.media-amazon.com/images/M/MV5BNGM5YmYwNjUtNzQyYS00OGY0LTljZDAtMDNiMjhiOTFiMzRiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3192510,Samar's Friend,2390,https://ia.media-imdb.com/images/I/91uZOUF88aL.png
nm5424345,Capt. Kamal Singh,1992,https://ia.media-imdb.com/images/I/81MD0i4IS5L.png
nm3475833,Capt. Jagdeep Deewan,1990,https://ia.media-imdb.com/images/I/812TFKhYy4L.png
nm5022186,Lt. Hari Krishnan,1972,https://m.media-amazon.com/images/M/MV5BNTE3ZjY0MjktNTlhNy00NWNhLWJlYWQtODY3ZWNiZDk4YzVlXkEyXkFqcGdeQXVyOTg3NTQwMTU@._V1_.jpg
nm5221129,Maria,1057,https://ia.media-imdb.com/images/I/71LOYpGRpeL.png
nm4993446,Roger,950,
nm0045136,Dr. Zoya Ali Khan,929,https://m.media-amazon.com/images/M/MV5BMDAxMDNhNDItMmE3ZS00YmJjLWE4M2ItNWFhZTI1YzljNjYzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0802183,Meera's Mother,906,https://m.media-amazon.com/images/M/MV5BOTNhNWVmM2YtMjljOS00MDAwLWExMTctMzllYTZmMmEyNzdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0438501,Imran,832,https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451600,Meera's father,801,https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_.jpg
nm2151232,Discovery Channel Worker,599,
nm4558280,Discovery Channel Worker,592,https://ia.media-imdb.com/images/I/91QZzwRgUHL.png
nm5123771,Discovery Channel worker,592,https://ia.media-imdb.com/images/I/91QZzwRgUHL.png
nm0820653,Catherine (Akira's Boss),479,https://ia.media-imdb.com/images/I/812ozGLaM9L.png
nm4109333,Dancer,424,https://m.media-amazon.com/images/M/MV5BYTMzOTJjN2EtZjJmOS00ZWVlLTg1NmUtZGMzMzQ3NGJlMGYxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm0081070,Frank,375,https://m.media-amazon.com/images/M/MV5BZmU2MzExNjQtM2RkNS00MzFiLWJlZmYtYzJjMGVkYWE3ZDRmXkEyXkFqcGdeQXVyMzEzMzE0OTM@._V1_.jpg
nm3438304,Mr. Kapoor,114,https://ia.media-imdb.com/images/I/81QrjaOf41L.png
nm7150152,Nurse Montgomery,101,
