nconst,character,screentime,image
nm5599013,Aysha,5983,https://m.media-amazon.com/images/M/MV5BZjgxNjdjMjktODhkYS00ZGMxLWIzZTAtN2I0MDE4Y2YwZjE2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7652046,Dev,4968,https://ia.media-imdb.com/images/I/71vY8FNsHwL.png
nm9053233,Anu,4659,https://ia.media-imdb.com/images/I/71L96MUJH+L.png
nm10086246,Pulti,4468,
nm3258460,Dev's Mother,3402,https://ia.media-imdb.com/images/I/717+RwE4GUL.png
nm10114255,Renu,3325,https://ia.media-imdb.com/images/I/71z84A61PjL.png
nm8379645,Sunny Singh,2546,https://ia.media-imdb.com/images/I/71W2e2ycFOL.png
nm9422649,Mrs. Singh,2078,https://ia.media-imdb.com/images/I/71W2e2ycFOL.png
nm9336526,"JP Mishra, Coach Attendant",2078,https://ia.media-imdb.com/images/I/61OWIMdatpL.png
nm4899111,Arjun,1864,https://ia.media-imdb.com/images/I/61ihVOFOV5L.png
nm8312209,Arjun's Friend,1864,https://ia.media-imdb.com/images/I/91zz-4-z9TL.png
nm0856899,Aisha's Father,1729,https://m.media-amazon.com/images/M/MV5BYjFiZDRhMDgtMTk4Zi00MmZmLWJhNjctNjM2Y2Y4OGE3MzMxL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1330618,Himself,1680,https://ia.media-imdb.com/images/I/71wWsnxG0HL.png
nm2409254,Herself,1680,https://ia.media-imdb.com/images/I/71Jd+IME14L.png
nm9110955,T.T.E.,1300,https://ia.media-imdb.com/images/I/61MaAQEXFbL.png
