nconst,character,screentime,image
nm0451307,Jaswinder 'Jazz' Singh,6468,https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_.jpg
nm7775934,Tia,5774,https://m.media-amazon.com/images/M/MV5BZWUxNzgwYzUtZmIyNC00OGU0LTg1YjUtYTQyOThiMGQ3MzA1XkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg
nm3591303,Rhea,3215,https://m.media-amazon.com/images/M/MV5BYjgwNDZlZGQtZjFiNy00ODQ5LWEzZGUtNWQzNDc4M2QxNmZiXkEyXkFqcGdeQXVyMjIxODkxMzk@._V1_.jpg
nm1122912,Dimpy,3191,https://m.media-amazon.com/images/M/MV5BNWY2YTdhY2QtMzMxMS00MjNhLTgxYmQtMjM2OGM4MjczNzBmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0659233,Rocky,2177,https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_.jpg
nm5885498,Grover,2030,https://m.media-amazon.com/images/M/MV5BMTAwY2E2YTQtYmU0OS00OTA2LTljMjItYTA0YTQ5NDM1YWQxXkEyXkFqcGdeQXVyMjQyNjgxNjg@._V1_.jpg
nm0007102,Ananya,1594,https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_.jpg
nm10968267,Rohan,1587,https://m.media-amazon.com/images/M/MV5BZWY2ZTFjNWEtNDAzNC00MzM4LWFmZGYtYjEyNzU4NjZjMDA5XkEyXkFqcGdeQXVyMTA3MTAzODQy._V1_.jpg
nm0416077,Jazz's Mother,1182,https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10823943,Jazz's Father,1155,https://images-na.ssl-images-amazon.com/images/I/71g+pW2LSOL.png
nm8572468,Nurse,950,https://m.media-amazon.com/images/M/MV5BMWQwOTUzMTQtZWFmNi00ODYxLTgwNTktNDYzYjYyYzQ4ZjMyXkEyXkFqcGdeQXVyOTgxOTE3NTE@._V1_.jpg
nm2214392,Doctor Kriplani,807,https://m.media-amazon.com/images/M/MV5BYTU4NjcyNjgtMTkwNS00YWEwLThhY2EtZjdlMjBlMzQ5YmE5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm6953888,Neighbor 2,637,https://images-na.ssl-images-amazon.com/images/I/71alImuKcVL.png
nm1444995,Neighbour,634,https://images-na.ssl-images-amazon.com/images/I/71X093IPmNL.png
nm5823982,Kiara,619,https://m.media-amazon.com/images/M/MV5BZTIzMTQ2ZmUtOThhMS00NDIzLWIwNGMtY2RlNjM5ZmI1NjcxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm11063565,Boyfriend,609,https://images-na.ssl-images-amazon.com/images/I/71OaNKNaz9L.png
nm3707274,Invester,588,https://images-na.ssl-images-amazon.com/images/I/71a2nr+18dL.png
nm0221983,Mr. Grover,555,https://m.media-amazon.com/images/M/MV5BZjEwYmJiNDYtOGQ2MC00OTQ4LWEwOGItYzgwMDgzODRhYmY5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm9800021,Girl in club,528,
nm7030313,Simran,425,https://m.media-amazon.com/images/M/MV5BN2I3ZjViZmYtNWI2Zi00MjFlLTgzNmItNTMzNmYwZWVlZmJkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm4565980,Gynaecologist,371,https://m.media-amazon.com/images/M/MV5BODc3YmUwM2UtZTVmZC00MjI5LTk2OTgtMzljMTZkY2JkZTFlXkEyXkFqcGdeQXVyNjkxOTU4NDU@._V1_.jpg
nm3979007,Tanvi,260,https://m.media-amazon.com/images/M/MV5BMzJkNTlmOTMtMWRlNy00NWM1LWJjM2YtNjAzYjZlNjJlMGZiXkEyXkFqcGdeQXVyNjMxNzIyNzY@._V1_.jpg
nm11300632,Dimpy's Son,115,https://images-na.ssl-images-amazon.com/images/I/71jOjjUPhIL.png
nm11300636,Dimpy's Daughter,115,https://images-na.ssl-images-amazon.com/images/I/61LSL4JaOOL.png
