nconst,character,screentime,image
nm5232139,Rocky,7496,https://ia.media-imdb.com/images/I/816WBL-vg7L.png
nm0619047,Anand Ingalagi,5490,https://m.media-amazon.com/images/M/MV5BYzU0MzFmMmItMzM0Ni00OWMwLWFiOWUtMzA4ZmVjZjMyMWVlXkEyXkFqcGdeQXVyNzY3MTExNTA@._V1_.jpg
nm10346134,Andrews,4587,https://ia.media-imdb.com/images/I/71dcpFiyzxL.png
nm10449077,Young Rocky,3750,https://ia.media-imdb.com/images/I/71-O11AjnZL.png
nm10244736,Daya,3746,https://ia.media-imdb.com/images/I/81EkD7Q1SaL.png
nm4948556,Deepa Hegde,3738,https://ia.media-imdb.com/images/I/71JhsFv5K+L.png
nm7181957,Kamal,3425,https://ia.media-imdb.com/images/I/81XGNQ5L3zL.png
nm8635807,Reena,3358,https://ia.media-imdb.com/images/I/71aPltF1EmL.png
nm10346131,Rocky's Mother,3322,https://ia.media-imdb.com/images/I/71-sd3rRcbL.png
nm0619056,News Channel Owner,3050,https://m.media-amazon.com/images/M/MV5BYjFjODc4N2ItNjE1Ny00MjM5LWJlZDgtMjQxYzcxZDEyZjg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10449076,Rajendra Desai,2792,https://ia.media-imdb.com/images/I/71ksbp8Ji8L.png
nm1550224,Huccha,2792,https://ia.media-imdb.com/images/I/71iuOc1NT3L.png
nm5724719,Guru Pandyan,2773,https://m.media-amazon.com/images/M/MV5BMjllNzM2YjctZjYxMi00Y2NkLWIyYzQtZmQwN2NlNGQ0NzkyXkEyXkFqcGdeQXVyNzY3MTExNTA@._V1_.jpg
nm6036390,Vittal,2750,https://ia.media-imdb.com/images/I/71-SrulzbiL.png
nm10449078,Shanti,2642,https://ia.media-imdb.com/images/I/71Q6s-fy0aL.png
nm10346132,Garuda,2498,https://ia.media-imdb.com/images/I/710I1XXrbzL.png
nm9934189,Office Assistant,2494,https://ia.media-imdb.com/images/I/71RBUxMNoyL.png
nm5697538,Vanaram,2350,https://m.media-amazon.com/images/M/MV5BMjIyNDdhZTQtMDkzNC00MWEwLWE4NTYtYjBjZTg2NTg5NTBjXkEyXkFqcGdeQXVyNzY3MTExNTA@._V1_.jpg
nm4071279,John,1887,https://m.media-amazon.com/images/M/MV5BNzk3MTQwYzktZjUwZi00ZDhhLTljNzctZDM2NmJlYzMxMzg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10449639,Young Anand Ingalagi,1840,https://ia.media-imdb.com/images/I/81EbMm3kWYL.png
nm2994788,Informer,1840,https://ia.media-imdb.com/images/I/81cmXepo6sL.png
nm10447857,Sooryavardhan,1697,https://ia.media-imdb.com/images/I/71lcD0EuDhL.png
nm5741813,Shetty,1673,https://ia.media-imdb.com/images/I/81XrmSekc0L.png
nm10356272,Virat,1290,https://ia.media-imdb.com/images/I/71C5g3gSayL.png
nm10449074,Inayath Khalil,998,https://ia.media-imdb.com/images/I/71Hsd3W-TZL.png
nm4655028,Lucy,972,https://m.media-amazon.com/images/M/MV5BMjcwZGMxNTYtOGI2OS00NjhhLTk3MjMtMWZjZDc0MjJjY2FjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7648955,Shyam,815,
nm10449081,Rugga,654,https://ia.media-imdb.com/images/I/81MGZ1-uLML.png
nm5852684,Dilawar,507,https://ia.media-imdb.com/images/I/71A-vsGhuOL.png
