nconst,character,screentime,image
nm1017633,Roop,9100,https://m.media-amazon.com/images/M/MV5BZDJhOWNkNjQtNWJlMC00MWM3LWJmYjktMTIyYWI4NGYxNTBkXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm3169069,Dev Chaudhry,8622,https://m.media-amazon.com/images/M/MV5BZmNlODEzM2YtOTUyOS00MDVmLTk4YzgtMzAxZmQ2ZDBkNTAyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0447240,Abdul,7050,https://m.media-amazon.com/images/M/MV5BMmJiYjIwODctYjZlMy00M2IzLWI2OTItNDRiODZkNzcxNzllXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3315894,Zafar,6935,https://m.media-amazon.com/images/M/MV5BMjM0NTM3ODY4Ml5BMl5BanBnXkFtZTgwNTA4MDM0OTE@._V1_.jpg
nm0002043,Bahaar Begum,6661,https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_.jpg
nm0004569,Balraj Chaudhry,5732,https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_.jpg
nm3848064,Satya Chaudhry,5031,https://m.media-amazon.com/images/M/MV5BMTgxMTUyNDg2NF5BMl5BanBnXkFtZTgwOTAyMTIzOTE@._V1_.jpg
nm6442009,Special Appearance,4377,https://m.media-amazon.com/images/M/MV5BMTEyOTQ2NDE1NzNeQTJeQWpwZ15BbWU4MDgyNzczNDkx._V1_.jpg
nm1381801,Ahmed,3757,https://m.media-amazon.com/images/M/MV5BMmRjYTE1ZjktNjM3NC00MzQyLWI2YjUtNDI0YmUxNjk2NjhkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1213227,Saroj,3448,https://m.media-amazon.com/images/M/MV5BZjc5Zjc5NTgtYTQyMy00NTNjLWIwNTAtYjRkNTg0ZWY2MDMyXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm3711178,Aditya,3308,https://images-na.ssl-images-amazon.com/images/I/7135pk2x-vL.png
nm1012529,Dr. treating Satya,2065,https://images-na.ssl-images-amazon.com/images/I/71riFQ47qDL.png
nm1428293,Dharampal,577,https://m.media-amazon.com/images/M/MV5BMzc2ZTRiN2QtOWExMy00YTJlLWJiNDktNjA4NzcxOThjMDYwXkEyXkFqcGdeQXVyMjMwNTA2ODk@._V1_.jpg
nm5305841,Special Appearance,338,https://m.media-amazon.com/images/M/MV5BMjA0NzExMjA5OV5BMl5BanBnXkFtZTgwODc0NzA3MTE@._V1_.jpg
