nconst,character,screentime,image
nm0474774,Havildar Ishar Singh,8443,https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_.jpg
nm10562602,Gurmukh Singh,5878,https://images-na.ssl-images-amazon.com/images/I/71HHH+zEu7L.png
nm7955935,Naravan Singh,5721,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm4407957,Khuda Daad,5293,https://images-na.ssl-images-amazon.com/images/I/611wiTxWtwL.png
nm4167503,Naik Lal Singh,4932,https://images-na.ssl-images-amazon.com/images/I/71CFqgYaN7L.png
nm3767543,Saidullah,4791,https://m.media-amazon.com/images/M/MV5BYjBmNzFkMWUtMWExNi00NmMwLTlhNzQtNTNmYmNhMzhmOGEzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm3119274,Lance Naik Chanda Singh,4785,https://images-na.ssl-images-amazon.com/images/I/61mNbHjlk7L.png
nm2586977,Gul Badshah Khan,4309,https://images-na.ssl-images-amazon.com/images/I/91A+cXXUVIL.png
nm6661769,Khan Masud,4309,https://m.media-amazon.com/images/M/MV5BNWM3YzJkNGMtYTFhNi00MmVhLTliMTQtOGUyMTFlYzUxZmY4XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm4535968,Lt. Lawrence,4264,https://m.media-amazon.com/images/M/MV5BNWM5MDhlNzMtOWQ0ZC00OGU4LTk5YzItZmY3YmJmMjJjY2Y1XkEyXkFqcGdeQXVyMTI4NzQ4OTI@._V1_.jpg
nm10054814,Dava Singh,4164,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10562603,Nand Singh,4164,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10562608,Sundar Singh,4164,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm8501265,Buta Singh,4164,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10477608,Jiwan Singh (2),4141,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10562609,Jiwan Jalandhari,4141,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm7823628,Gurvukh Singh,4141,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm9401700,Sepoy Ram Singh,4141,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm5843593,Gulab Singh,4048,https://m.media-amazon.com/images/M/MV5BNGFjNmVjYzEtNmQ2MS00OTMzLThjOGItMDE3MDU0MDY0OWM0XkEyXkFqcGdeQXVyNDU1MTY2NjA@._V1_.jpg
nm10562607,Ram Singh,3861,https://images-na.ssl-images-amazon.com/images/I/71PbwNAV59L.png
nm10554051,Uttam Singh,3422,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10562606,Bhagwan Singh,3302,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm1204791,John Haughton,2729,
nm10444137,Bhagwan Singh,2633,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10527764,Jiwan Singh,2591,
nm10562605,Bhola Singh,2258,
nm4495174,Jiwani,1896,https://m.media-amazon.com/images/M/MV5BMTkzOTgzNzYzMl5BMl5BanBnXkFtZTgwMTI0MzY3OTE@._V1_.jpg
nm9357081,Hira Singh,1830,https://images-na.ssl-images-amazon.com/images/I/81isbsbqw5L.png
nm10576763,Lockhardt Lamp Operator,1650,https://images-na.ssl-images-amazon.com/images/I/510z0NZBaqL.png
nm9238452,Lt Munn,1645,https://images-na.ssl-images-amazon.com/images/I/61wM6z3TNQL.png
nm4509039,Gulwarien,1304,https://m.media-amazon.com/images/M/MV5BNDVmNjNiOGQtMzQxOS00NmU1LWEwNzMtNGM3N2JkNDNkOGQyXkEyXkFqcGdeQXVyNjg5OTg1NjI@._V1_.jpg
nm10562612,Tea Shop Owner,718,https://images-na.ssl-images-amazon.com/images/I/61D7zzZeVVL.png
nm9171649,Shop Owner,707,https://images-na.ssl-images-amazon.com/images/I/61-Gmm0BWEL.png
nm9093959,Sniper,638,https://images-na.ssl-images-amazon.com/images/I/81XW0aqCCSL.png
nm10562617,Ishar's Mother,607,https://images-na.ssl-images-amazon.com/images/I/71knEQHzo7L.png
nm10562610,Young Pathan Boy,550,https://images-na.ssl-images-amazon.com/images/I/71+8CNkad8L.png
nm10562613,Old Pathan Woman,540,https://images-na.ssl-images-amazon.com/images/I/71n1qp7af4L.png
nm10562619,Jiwani's Mother,505,https://images-na.ssl-images-amazon.com/images/I/61QLS+JPMqL.png
nm6119577,Nurse Teresa,336,https://m.media-amazon.com/images/M/MV5BMWIxZmNmNWYtODFhNy00ZTRiLTk3NjYtNjI3NWM4OTRmZTliXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10562616,Gulwarien's Husband,296,https://images-na.ssl-images-amazon.com/images/I/71GheDuzIcL.png
nm1588138,Gulwarien Beheader,26,https://images-na.ssl-images-amazon.com/images/I/61SasJwv3bL.png
