nconst,character,screentime,image
nm3848064,Babita 'Baby' Bedi,7416,https://m.media-amazon.com/images/M/MV5BMTgxMTUyNDg2NF5BMl5BanBnXkFtZTgwOTAyMTIzOTE@._V1_.jpg
nm5607349,Bhooshit Bedi,6334,https://m.media-amazon.com/images/M/MV5BNzUxZjBkOTgtMTM2Yi00ODU5LWI1NDctZDI5MWVhNTA4MzhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1318321,Mrs. Bedi,4710,https://images-na.ssl-images-amazon.com/images/I/71nhwyBNd7L.png
nm0348491,Chachaji,4384,https://images-na.ssl-images-amazon.com/images/I/71FLVZ0lpRL.png
nm5687944,Lemon Hero,4245,https://m.media-amazon.com/images/M/MV5BMmNhMTQ1OWEtODM2Mi00MjVkLWJmMTEtN2Y0OTY3YmQ4NmQ1XkEyXkFqcGdeQXVyNzA1NDEwNzg@._V1_.jpg
nm5712019,Pradhaan,4133,https://images-na.ssl-images-amazon.com/images/I/71sOG7zORrL.png
nm0451425,Mamaji,3335,https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_.jpg
nm0438465,Advocate Tagra,3171,https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_.jpg
nm10977250,Boss,2605,https://images-na.ssl-images-amazon.com/images/I/6131UrFqPXL.png
nm7602182,Woman With Thick Glasses,2587,https://images-na.ssl-images-amazon.com/images/I/71Y4zApyfEL.png
nm7435453,Gabru Ghatak,2306,https://m.media-amazon.com/images/M/MV5BMjQ0NDYyMjctOTU5My00ZGJkLThlYzEtMjNkNzQ1OGVmNzUyXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10881179,Shabnam,2092,https://images-na.ssl-images-amazon.com/images/I/71xhmuhkHEL.png
nm8096343,Man With Thin Moustache,1942,https://images-na.ssl-images-amazon.com/images/I/71kYOebSlvL.png
nm10852335,News Reader,1923,https://images-na.ssl-images-amazon.com/images/I/71ncr+9YErL.png
nm10977253,Chinki,1566,https://images-na.ssl-images-amazon.com/images/I/61ds1u242yL.png
nm10977261,Nancy,1521,https://images-na.ssl-images-amazon.com/images/I/61hFPoNykEL.png
nm2119028,Jhalla Halwai,1320,https://images-na.ssl-images-amazon.com/images/I/71eIUXlJNiL.png
nm1911618,Khubi Ram,1314,https://images-na.ssl-images-amazon.com/images/I/71okS8y2ImL.png
nm10977254,Dr. Byotra,1221,https://images-na.ssl-images-amazon.com/images/I/61WZBlKvSJL.png
nm6510299,Nurse,1202,https://images-na.ssl-images-amazon.com/images/I/61lII6jGRJL.png
nm3544533,Shyama Pehalwan,1158,https://images-na.ssl-images-amazon.com/images/I/61t-bZZYm1L.png
nm10314152,Soup Boy,1024,https://images-na.ssl-images-amazon.com/images/I/71wk66a9T2L.png
nm9287388,Soup Girl,1024,https://images-na.ssl-images-amazon.com/images/I/61LSmfJzE2L.png
nm3593972,Woman With Bindi,1011,
nm4550555,Paan Chewing Man,1011,https://images-na.ssl-images-amazon.com/images/I/71zkhD0ugVL.png
nm10977260,Chicken Pox Girl,995,https://images-na.ssl-images-amazon.com/images/I/71n830ikvgL.png
nm0788903,Judge,967,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10977270,Dushman Lawyer,937,https://images-na.ssl-images-amazon.com/images/I/713lPVNYk2L.png
nm8501265,Deepu palta,899,https://images-na.ssl-images-amazon.com/images/I/7154f1EgHaL.png
nm5131331,Bengali Baba,894,https://images-na.ssl-images-amazon.com/images/I/71NfU5T+pTL.png
nm10977249,Lalloo Salesman,816,https://images-na.ssl-images-amazon.com/images/I/61xw4cBuGJL.png
nm8609330,Young Baby Bedi,655,https://images-na.ssl-images-amazon.com/images/I/71LRzWZxMGL.png
nm10977251,Old Doctor,642,https://images-na.ssl-images-amazon.com/images/I/71MgLh-DUPL.png
nm10977259,Property Broker,602,https://images-na.ssl-images-amazon.com/images/I/71IFIc4XEAL.png
nm7739910,Board Painter,536,https://images-na.ssl-images-amazon.com/images/I/71aS6Oj7fXL.png
nm10977267,Little Lemon Hero,366,https://images-na.ssl-images-amazon.com/images/I/61dqLhnNCyL.png
nm10977255,Soup Vendar,26,https://images-na.ssl-images-amazon.com/images/I/71tecI+6zLL.png
