nconst,character,screentime,image
nm1795232,Tracker,6719,https://m.media-amazon.com/images/M/MV5BZDNkOTZiNWQtMzQwMy00MTgyLTlmZTMtYmE5OGFmNzJjOTUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9096966,Widow,6099,https://m.media-amazon.com/images/M/MV5BZTA3MWEzZGEtZmYyNC00OGI2LWJjZDUtZjE0NmJlYTEyMWFlXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_.jpg
nm2435847,Rehmat Khan,6096,https://images-na.ssl-images-amazon.com/images/I/71gdRpY52fL.png
nm0451307,Hunter,5954,https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_.jpg
nm2085856,Adham,5314,https://m.media-amazon.com/images/M/MV5BZTNmYjM0MjctYTg5Yy00MmVlLWFhNzctYzQ1NGU0YWUzMjNmXkEyXkFqcGdeQXVyMzY5NTI5NDA@._V1_.jpg
nm0970210,Begum,4755,https://m.media-amazon.com/images/M/MV5BNTk0MGU2NjQtNmZiNi00NjA1LWI5ZTItMmRhY2RlOGJlNzk1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9839678,Wet Nurse,3843,https://images-na.ssl-images-amazon.com/images/I/61OkfDTGQnL.png
nm1397732,Theodore Munro,3593,
nm2965625,Maratha Captain,3188,https://m.media-amazon.com/images/M/MV5BNTZhZGViZWEtOWE1MS00MzNiLTg2N2YtMGVjMzA3ZGRhMmIxXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm7807672,Hunter Young,2947,https://images-na.ssl-images-amazon.com/images/I/71WfTkEDs6L.png
nm4173131,Sadullah Khan,2452,https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6978158,Young Afghan,2188,https://m.media-amazon.com/images/M/MV5BZjliMjljNjYtYzhjOS00MzNkLTlmMmEtMzA0OGMzOGExY2U0XkEyXkFqcGdeQXVyNjI0ODMxNDc@._V1_.jpg
nm1784255,Head Afghan,2180,https://m.media-amazon.com/images/M/MV5BMzdiOTRlYmMtYzQ2My00ZjdhLWE4MjItZDU1ZGFjZTE3ZjhiXkEyXkFqcGdeQXVyNjI0ODMxNDc@._V1_.jpg
nm1878081,Sangram Singh,1705,https://m.media-amazon.com/images/M/MV5BOGQ5OGI5ZjYtNDM1Mi00ZTliLThjYzItYzI5N2M0NGMwYTg5XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm11188134,Young Rehmat,1488,https://images-na.ssl-images-amazon.com/images/I/71Q-K4RARqL.png
nm2355526,Maratha Commander,1242,https://images-na.ssl-images-amazon.com/images/I/71GBUytfd4L.png
nm11188138,Pandit,1195,https://images-na.ssl-images-amazon.com/images/I/61dXZA4ogoL.png
nm11188154,Maratha Junior,1013,https://images-na.ssl-images-amazon.com/images/I/611xijmQlcL.png
nm10899591,Laal Pari,759,https://images-na.ssl-images-amazon.com/images/I/71g8lsWnkjL.png
nm11188149,Eunuch at Noor Bai's Kotha,523,https://images-na.ssl-images-amazon.com/images/I/61EgR0N04UL.png
nm3848064,Noor Bai,509,https://m.media-amazon.com/images/M/MV5BMTgxMTUyNDg2NF5BMl5BanBnXkFtZTgwOTAyMTIzOTE@._V1_.jpg
nm11188135,Young Adham,497,https://images-na.ssl-images-amazon.com/images/I/6158qMIS2UL.png
nm8485910,Army General,446,https://m.media-amazon.com/images/M/MV5BNDA0NGFmMmYtOTkyMS00NzAyLTgzNWUtMTAxNTBhMTc5NmNiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
