nconst,character,screentime,image
nm7970128,Sam Saxena,6006,https://m.media-amazon.com/images/M/MV5BYTNkY2FmNTctYjUxMy00ZjkzLWEyZmEtMzY4ZGJlZTdkOTVmXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm6472234,Ramona Raichand,4769,https://ia.media-imdb.com/images/I/71TmYSCxUsL.png
nm6192494,Alisha Asthana,4017,https://m.media-amazon.com/images/M/MV5BMTg3ODcwOTQxMF5BMl5BanBnXkFtZTgwOTIwOTM3NjE@._V1_.jpg
nm1381801,Gaurav Asthana,2532,https://m.media-amazon.com/images/M/MV5BMmRjYTE1ZjktNjM3NC00MzQyLWI2YjUtNDI0YmUxNjk2NjhkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1270150,Sam's Father,1161,https://ia.media-imdb.com/images/I/71+LZblTBUL.png
nm7219940,Sonia Kamat,689,https://ia.media-imdb.com/images/I/71wj-u99kWL.png
nm1360697,Psychiatrist,539,https://m.media-amazon.com/images/M/MV5BZWQ3ODU0MmMtY2ZjYy00NDUzLTk3Y2ItM2E2ZmYxMmFiMjIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1017400,Morgue Security,322,https://ia.media-imdb.com/images/I/614UV9mDSLL.png
nm7839323,Cheating Husband,184,https://ia.media-imdb.com/images/I/81gRszpxWQL.png
nm8447229,Birthday Girl,72,https://ia.media-imdb.com/images/I/71V87MOu8qL.png
