nconst,character,screentime,image
nm9526395,Sushrut,7293,https://ia.media-imdb.com/images/I/71r3TTGMpiL.png
nm2363939,Negative,5144,https://ia.media-imdb.com/images/I/71nuRSl-9jL.png
nm5381692,Rocket,5144,https://ia.media-imdb.com/images/I/71QRJFs3A2L.png
nm9628021,Michelle Patel,4935,https://ia.media-imdb.com/images/I/818fRGhpKHL.png
nm0438632,Rasik,4112,https://m.media-amazon.com/images/M/MV5BNmYzMmRkOWYtYzViNS00ZTEzLTgzMWMtYjU2NDM0NWM0ZmZjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0747172,Sameer,3508,https://m.media-amazon.com/images/M/MV5BMjQzMjEyMDY1Nl5BMl5BanBnXkFtZTgwNTM3OTczOTE@._V1_.jpg
nm1199163,Sushrut's father,2379,https://ia.media-imdb.com/images/I/617F5ifqNYL.png
nm8692276,Khushboo,2143,https://ia.media-imdb.com/images/I/81RlP9glnIL.png
nm1259084,Natthu Kaka,2127,https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4433423,Seema,1416,https://ia.media-imdb.com/images/I/614s0aKTDnL.png
nm9611337,Kate,885,https://m.media-amazon.com/images/M/MV5BZTY5MTVjNmMtZDZmOS00YzU0LTk5NzItOTg4MTBlODM2NjcyXkEyXkFqcGdeQXVyODUxOTYyMzE@._V1_.jpg
nm1974912,Chris,762,https://m.media-amazon.com/images/M/MV5BZmE4M2ZlMWEtOGQ2MC00ZWZhLThhNTEtZWY1YTNlOWVhNzRiXkEyXkFqcGdeQXVyMjYxOTA1OTE@._V1_.jpg
nm10134706,Backing Band London,359,https://ia.media-imdb.com/images/I/9137cUiiqbL.png
nm0451170,police,267,https://m.media-amazon.com/images/M/MV5BYTYzMzA2MjMtYTU3Ni00YWEwLWEzMTgtMDIwY2MzMTBlNDRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451326,Police,267,https://m.media-amazon.com/images/M/MV5BYmJjYjc5YWItYjRmZi00ZGFlLTg3YTMtOTZjZDc3YWRkZDg1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4150487,Immigration official,208,
nm10259034,Michelle's Mother,190,https://ia.media-imdb.com/images/I/71dSS8YTQgL.png
nm8383131,Police Officer,185,https://ia.media-imdb.com/images/I/71OSwUQXNML.png
nm4926411,Police Officer,182,
