nconst,character,screentime,image
nm3601766,Rhea Dialdas,6014,https://m.media-amazon.com/images/M/MV5BMTU1NzU2Nzk0MV5BMl5BanBnXkFtZTgwMzIzMzg4MjE@._V1_.jpg
nm3059750,Jugs,5269,https://ia.media-imdb.com/images/I/71J5PHNgR1L.png
nm4447609,Sonia Lovani,5255,https://m.media-amazon.com/images/M/MV5BYWI4NThhM2EtNmY5Ni00MTliLThiNzQtMWI1NjJiMzVhZmUzXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm4447323,Luv Nanda,4010,https://m.media-amazon.com/images/M/MV5BZWI3NTRmZWQtMGYzMi00ZGU0LWFlZjgtYjE4YTk3YzE3NzA4XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm4449396,Natasha Oberoi,2567,https://ia.media-imdb.com/images/I/71Q8LJzStLL.png
nm4448401,Karthikeyan Ramchandran,2288,https://ia.media-imdb.com/images/I/71TItsXIEUL.png
nm4447124,Gollu,2259,https://ia.media-imdb.com/images/I/71IMHQkLbUL.png
nm3881895,Timmy,2238,https://ia.media-imdb.com/images/I/71Wz8S7GylL.png
nm4449367,Minty Dialdas,1537,https://ia.media-imdb.com/images/I/71GetAZaTFL.png
nm0595354,Daadi,1212,https://ia.media-imdb.com/images/I/711Ce2WgwGL.png
nm7559939,Rhea's Mom,567,https://ia.media-imdb.com/images/I/71IHWXJOkQL.png
nm2541032,Mr. Nanda,504,https://ia.media-imdb.com/images/I/81Irl6flRUL.png
nm0700687,Lux Lovani,398,https://m.media-amazon.com/images/M/MV5BMjdlZjcxN2EtMGMzNy00NzFhLTljMTQtYTUxZTAyZmEyNmE4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0754818,Rhea's Father,390,https://ia.media-imdb.com/images/I/710RYZgYjBL.png
nm3773554,Special appearance,380,https://m.media-amazon.com/images/M/MV5BMjM5MTMyNDI0OV5BMl5BanBnXkFtZTgwNTEzMjgzOTE@._V1_.jpg
nm4446096,Karthikeyan's brother,346,https://ia.media-imdb.com/images/I/61FcURCRKuL.png
nm1376654,Miss Naaz,316,https://m.media-amazon.com/images/M/MV5BYTIyZWRmODEtMWExYS00YzA4LWE1NjQtNzM0ZThkZTg4YWQ2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm8929576,Mrs. Nanda,288,https://ia.media-imdb.com/images/I/61R1iEuY2YL.png
nm8929582,Tattoo Artist,263,https://ia.media-imdb.com/images/I/71eQuHnIsSL.png
nm5151418,Goldie Gulati,242,https://ia.media-imdb.com/images/I/614LNYegoRL.png
nm1331665,Liquor Mart Cashier,235,https://ia.media-imdb.com/images/I/81yyIRvxVjL.png
nm8929580,Bathroom Attendant,150,https://ia.media-imdb.com/images/I/71f55O722fL.png
