nconst,character,screentime,image
nm2144007,Manikarnika,6429,https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_.jpg
nm5413305,Lt. Nicholas,5739,
nm10571015,Sundar,5425,https://ia.media-imdb.com/images/I/71solXnl7cL.png
nm0451425,Dixit Ji,5090,https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_.jpg
nm4269474,Sadashiv Rao,4745,https://m.media-amazon.com/images/M/MV5BODcyY2JlZTktYTU4ZS00MGY1LTgyY2MtODA4NWUyZDBlNjc5L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4535968,Captain Gordon,4717,https://m.media-amazon.com/images/M/MV5BNWM5MDhlNzMtOWQ0ZC00OGU4LTk5YzItZmY3YmJmMjJjY2Y1XkEyXkFqcGdeQXVyMTI4NzQ4OTI@._V1_.jpg
nm5431328,Mundar,3981,https://ia.media-imdb.com/images/I/81dm87QNrjL.png
nm10571007,Damodar Rao,3936,https://ia.media-imdb.com/images/I/71EN-OXIluL.png
nm0219939,Ghulam Muhammad Ghouse Khan,3874,https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_.jpg
nm1702868,Maharaja Gangadhar Rao,3204,https://m.media-amazon.com/images/M/MV5BNTkzM2UyYjMtOGU3ZS00YWVlLWFkYzctODVjYjZlOWFjNDhmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2983727,Kashi Bai,3180,https://m.media-amazon.com/images/M/MV5BYTJhZDFkYzktNWIxNS00MmQzLWIxNGUtMDAwYzA0NjBmNDVjXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg
nm3202291,General Hugh Rose,3165,https://m.media-amazon.com/images/M/MV5BOGJlODUyNzAtNjZkNS00NDI3LWIyYTAtMGE3OTNjNWYwZTE3XkEyXkFqcGdeQXVyMTg5NjIwMTQ@._V1_.jpg
nm7052812,Puran Singh,2906,https://m.media-amazon.com/images/M/MV5BNjNhYzNhOGEtNTg0My00N2FhLThkZjAtM2JjZmY0YWEyNzY0XkEyXkFqcGdeQXVyNDU5MzA2NzI@._V1_.jpg
nm3860509,Jhalkari Bai,2899,https://m.media-amazon.com/images/M/MV5BMzQ5NDRiNWQtYTBhMy00NjI0LTk5YzEtNzVjNzM0MDllMjM3L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1591897,Pir Ali,2777,https://m.media-amazon.com/images/M/MV5BMTY0OTExNTU3M15BMl5BanBnXkFtZTcwNjExOTQ4Nw@@._V1_.jpg
nm10571008,Sangram Singh,2749,https://ia.media-imdb.com/images/I/716j8aEKPAL.png
nm9119259,Lord Canning,2665,https://m.media-amazon.com/images/M/MV5BMmQ4YjVjN2MtODc0NC00N2VmLTkxZWEtMDg2Yzk3OTNmYjU3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm10571045,Damodar Rao's teacher,2626,https://ia.media-imdb.com/images/I/71LKuvolVxL.png
nm2209765,Rajamata,2434,https://m.media-amazon.com/images/M/MV5BZWY5ZDY3NzEtYzkxYi00NjBmLTk3MDgtYWU4YjUyMzIxM2M4XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1742602,Moropant,2390,https://ia.media-imdb.com/images/I/71+v-jEwsyL.png
nm0474609,Tatya Tope,2294,https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm9147496,Rao,2222,https://ia.media-imdb.com/images/I/71KxMmQ3cYL.png
nm10571028,Gordon's wife,2132,https://ia.media-imdb.com/images/I/71+q2+AHjVL.png
nm10571047,Gordon's daughter,2132,https://ia.media-imdb.com/images/I/71+q2+AHjVL.png
nm9508122,Teer Singh,2078,https://m.media-amazon.com/images/M/MV5BYzQyOTJiZmYtZjhmNi00MGJjLTk5YmUtZTVhZTUwOTQwZTZkXkEyXkFqcGdeQXVyNjk0MTgzMjQ@._V1_.jpg
nm10571029,British Messenger 1,1994,https://ia.media-imdb.com/images/I/61urv9yM1JL.png
nm10302575,English Priest,1888,https://ia.media-imdb.com/images/I/71fw9Z935tL.png
nm10571014,Young Peshwa of Bithoor,1790,https://ia.media-imdb.com/images/I/81mXZjLDqcL.png
nm10571037,Little Manikarnika,1790,https://ia.media-imdb.com/images/I/812sKf8p7YL.png
nm10571030,Village girl Laxmi,1433,https://ia.media-imdb.com/images/I/71SnhV8r6AL.png
nm4071932,Gul Mohamad,1358,https://m.media-amazon.com/images/M/MV5BZmVmNjBmOGEtMzE5MS00MjJhLWJjZDQtOTBiNTYzYjJiYzkxXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10571032,King Scindia,1157,https://ia.media-imdb.com/images/I/719J6itxELL.png
nm1295827,Dinkar Rao,1157,https://m.media-amazon.com/images/M/MV5BNWQ1YmI5MmEtZDM3Ni00M2Y2LWE1ZGItZDgzYTI0NTc0N2Q3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10571033,Gwalior Rifleman 2,1028,https://ia.media-imdb.com/images/I/81IYuejDD0L.png
nm10571049,Gwalior Rifleman 1,1028,https://ia.media-imdb.com/images/I/81IYuejDD0L.png
nm10571050,Gwalior maid,972,https://ia.media-imdb.com/images/I/71FIQwJiQOL.png
nm0643350,Peshwa Baji Rao II,877,https://m.media-amazon.com/images/M/MV5BOWNkOWY5NmMtYzJjNC00YmQ0LWFhODUtMDRlYmQ4OTI5NzIwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10571017,Jhansi Old Villager,848,https://ia.media-imdb.com/images/I/81L0OVjvA8L.png
nm5843593,Nana Saheb,822,https://ia.media-imdb.com/images/I/71ywRsKtJ6L.png
nm10571034,Major Clarks,795,https://ia.media-imdb.com/images/I/9168WzUFTXL.png
nm10358705,Remmington,794,https://ia.media-imdb.com/images/I/91LjU0L2ugL.png
nm10571031,Captain Stewart,794,https://ia.media-imdb.com/images/I/9168WzUFTXL.png
nm10571018,Indian Daroga,630,https://ia.media-imdb.com/images/I/71SJQPf78PL.png
nm10571039,Karamchand,630,https://ia.media-imdb.com/images/I/71SJQPf78PL.png
nm10571022,Jhansi Minister,606,https://ia.media-imdb.com/images/I/61-WsXIvFML.png
nm10571025,Sadashiv's son,603,https://ia.media-imdb.com/images/I/719ptRe1ngL.png
nm10571044,Sadashiv's wife,603,https://ia.media-imdb.com/images/I/71hp682fxxL.png
nm10571043,Vasudev Rao,584,https://ia.media-imdb.com/images/I/71THGdTTRjL.png
nm10571020,British Officer 2,532,https://ia.media-imdb.com/images/I/81ov2WeS15L.png
nm10571023,British Major 1,532,https://ia.media-imdb.com/images/I/81ov2WeS15L.png
nm7961730,British Officer,532,https://ia.media-imdb.com/images/I/81ov2WeS15L.png
