nconst,character,screentime,image
nm0611552,Shivani Shivaji Roy,6328,https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_.jpg
nm3795810,Walt,4724,https://m.media-amazon.com/images/M/MV5BYmM5MGQxZjUtYzRmOC00Zjc0LWI4ZjItYjIyMDlhMjIzNTgyXkEyXkFqcGdeQXVyMTAxMjY0NzA1._V1_.jpg
nm6072243,Pyaari,4132,https://images-na.ssl-images-amazon.com/images/I/71vR4dmWi7L.png
nm4178242,Jafar,4080,https://images-na.ssl-images-amazon.com/images/I/71Q0khr1JiL.png
nm6155321,More,4080,https://images-na.ssl-images-amazon.com/images/I/71G3j8RvniL.png
nm5577949,Mattoo,2854,https://m.media-amazon.com/images/M/MV5BNzAxYmQ4NTUtZGMwOS00OTc0LWJmMmItNmU1Y2Q1ZjAyZGJmXkEyXkFqcGdeQXVyMTAyNTg3MjU5._V1_.jpg
nm6842059,Alka,2668,https://m.media-amazon.com/images/M/MV5BNWRiNjNiNWItYTNkOS00ZTFjLTkyMjUtMWJjODAwOTE1ODZhXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm1702868,Dr. Shivaji Roy,2574,https://m.media-amazon.com/images/M/MV5BNTkzM2UyYjMtOGU3ZS00YWVlLWFkYzctODVjYjZlOWFjNDhmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm8277952,Sunny Katyal,2145,https://images-na.ssl-images-amazon.com/images/I/71uMy-tbxxL.png
nm3941445,Meera,2019,https://images-na.ssl-images-amazon.com/images/I/71KzkcyF9JL.png
nm1591897,Lawyer,1637,https://m.media-amazon.com/images/M/MV5BMTY0OTExNTU3M15BMl5BanBnXkFtZTcwNjExOTQ4Nw@@._V1_.jpg
nm1263050,Meenu Rastogi,1468,https://m.media-amazon.com/images/M/MV5BMmZiMmRhNDgtMTU5Ni00ZjFiLTkwMmMtOGJjMmRiMTFjOGJjXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm4912043,Inspector Balwinder Singh Sodhi,1412,https://images-na.ssl-images-amazon.com/images/I/718f09HB2BL.png
nm6842060,JT. C. P. Iyer,1340,https://images-na.ssl-images-amazon.com/images/I/71t+EHZT6QL.png
nm6842056,Tandon,1287,https://images-na.ssl-images-amazon.com/images/I/71DbFtYIevL.png
nm4858115,Kapil,1051,https://images-na.ssl-images-amazon.com/images/I/7188H2nEm8L.png
nm4540547,Minister Tanejaji,920,
nm3256872,JT. C. P. Sinha,721,https://images-na.ssl-images-amazon.com/images/I/618HPo9RjqL.png
