nconst,character,screentime,image
nm0611552,Shivani Shivaji Roy,4931,https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_.jpg
nm1655159,Brij Shekhawat,3848,https://m.media-amazon.com/images/M/MV5BMGMxMzQxOTYtOWZmZC00YzMyLWI1MmUtMGE4ZGRkODhkM2UxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10368138,Vinay,3340,https://images-na.ssl-images-amazon.com/images/I/61Ej+t-04KL.png
nm11085027,Shiv 'Sunny' Prasad Yadav,3002,https://images-na.ssl-images-amazon.com/images/I/71k76dYe7WL.png
nm3831960,Bharti,2787,https://m.media-amazon.com/images/M/MV5BNzc4M2Q1YTAtODg5OS00NWNiLWI0N2MtMGZjNDYwMmU3NzYwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm6494774,Anup,2528,https://m.media-amazon.com/images/M/MV5BMjZiNjIwNDEtNWM0Yy00ZjkwLWE4M2YtZGM4NmY2MTMyMjk5XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm1433373,Kamal Parihar,2337,https://m.media-amazon.com/images/M/MV5BOWE5MDIxMjctODkxYS00MmIwLTg5MjktMGY3ODljZmFjNzI1XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm1416011,Panditji,1480,https://m.media-amazon.com/images/M/MV5BMjVjMmIwMmMtMDAwMS00ZDEzLWJhNGMtNmIwNDVmOWE5ZTQ4XkEyXkFqcGdeQXVyMTEwNDU5MDA1._V1_.jpg
nm11203372,Latika,1459,https://images-na.ssl-images-amazon.com/images/I/717zZRdLknL.png
nm4446079,Ig,1182,https://m.media-amazon.com/images/M/MV5BMmU2NWRmZWItNDMzNC00ZjUyLTk4ZDEtOWJiZmY5NzQ4OTc0XkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg
nm4463385,Raawat,1101,https://images-na.ssl-images-amazon.com/images/I/710FNtGLaxL.png
nm0788903,Amit Kumar,1023,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm4456506,Latika's Mother,994,https://images-na.ssl-images-amazon.com/images/I/71aXxhcAO4L.png
nm11203373,Tina,947,https://images-na.ssl-images-amazon.com/images/I/71Z6iroFDxL.png
nm6117651,Sunanda,883,https://images-na.ssl-images-amazon.com/images/I/71OHketWAhL.png
nm1702868,Vikram Roy,864,https://m.media-amazon.com/images/M/MV5BNTkzM2UyYjMtOGU3ZS00YWVlLWFkYzctODVjYjZlOWFjNDhmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3941445,Meera,864,https://images-na.ssl-images-amazon.com/images/I/71D3ZWt1yGL.png
nm11147726,Koyal,733,https://images-na.ssl-images-amazon.com/images/I/71lUnNG9KzL.png
nm4482922,Viplav Beniwal,678,https://m.media-amazon.com/images/M/MV5BMTg1NTU1NjQ5MF5BMl5BanBnXkFtZTgwMTY1ODExNzE@._V1_.jpg
nm9793366,Priyanka,638,https://images-na.ssl-images-amazon.com/images/I/71Msd3IU5KL.png
nm1335955,Koyal's Father,315,https://m.media-amazon.com/images/M/MV5BMjU3Zjk2YmMtM2E3OS00YzZlLTk4N2EtOWQ5NTkyMDE1ZjE3XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm8715584,Koyal's Mother,303,https://m.media-amazon.com/images/M/MV5BMDFlZDA1ZTAtYzhkNi00ZGY5LWIyYTEtMThmZjY0MzBiYjA4XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm2478391,Doctor,284,https://m.media-amazon.com/images/M/MV5BODRhNDhmYmUtMDEwYy00MzI3LWEzNzEtNzkxZTY2YjZlZDNkXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_.jpg
nm10404654,Monty,241,https://images-na.ssl-images-amazon.com/images/I/71-wsPSfRKL.png
nm8122916,Pravin,175,https://images-na.ssl-images-amazon.com/images/I/71mwSUNY4FL.png
nm8738937,Latika's Principal,88,https://images-na.ssl-images-amazon.com/images/I/716bA78w+eL.png
nm3198154,Aabha Parihar,71,https://m.media-amazon.com/images/M/MV5BZWJkN2RkMzYtMDk5Yi00M2VhLWFmZjQtOGIzMmRkNWY1NmJiXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm9745492,Latika's Father,70,https://images-na.ssl-images-amazon.com/images/I/71VWzxqzXkL.png
nm9946350,Latika's Friend,63,https://images-na.ssl-images-amazon.com/images/I/71MVBAYHkUL.png
