nconst,character,screentime,image
nm3289096,Raghu,7390,https://m.media-amazon.com/images/M/MV5BNDQyNjk3Mzk3OF5BMl5BanBnXkFtZTgwOTYyODMxMTE@._V1_.jpg
nm2337375,Mazhar,7218,https://m.media-amazon.com/images/M/MV5BMDdlZGRhNTctM2Y5ZC00NTk2LTllMjktNzQ5YzBmMmNlYjljXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm7059730,Gopi,6644,https://images-na.ssl-images-amazon.com/images/I/81D4ZsA80BL.png
nm1299011,Vishnu,6307,https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_.jpg
nm9990703,Shafi,5565,https://images-na.ssl-images-amazon.com/images/I/71oNApzjh0L.png
nm4445116,Zoya,5036,https://m.media-amazon.com/images/M/MV5BOWYzNDU4ZTMtMDRkYy00ZmNiLTk4OTctOThlMDk2NzNjNWFjXkEyXkFqcGdeQXVyNzY0MDQ4ODc@._V1_.jpg
nm0621937,Narayan Anna,4621,https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_.jpg
nm5114849,Aarzoo,4375,https://m.media-amazon.com/images/M/MV5BNDdkMWYzNzEtMDE2My00ZWFkLWFjODItMWU1Y2ZiYmRhNTUyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm11251727,Payal,4146,https://images-na.ssl-images-amazon.com/images/I/81X7VvMvhVL.png
nm0457410,ACP Ravi Yadav,3902,https://m.media-amazon.com/images/M/MV5BMjAyMDczNzc4Ml5BMl5BanBnXkFtZTgwNDM4NDczMDE@._V1_.jpg
nm8660899,Time Pass,2583,https://images-na.ssl-images-amazon.com/images/I/81K32fOG8cL.png
nm10982332,Zoya's friend,1915,https://m.media-amazon.com/images/M/MV5BNGM5YTM3M2MtODA5Yy00MTQ0LTg5MGQtZGRkNjQ0NGNmYzg5XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm4529277,Rakka,1598,https://images-na.ssl-images-amazon.com/images/I/71ZUoA8zFHL.png
nm1018224,Gaitonde,1445,https://m.media-amazon.com/images/M/MV5BYzhmNTM3YTMtNzc2Ny00NjdmLWExMmYtNjNhYzEzYWExYjFjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6598222,Dancer in Song 'Ek Toh Kum Zindagani',1227,https://m.media-amazon.com/images/M/MV5BMjAwOTEzOTIyN15BMl5BanBnXkFtZTgwNzQxMjMzOTE@._V1_.jpg
nm10595280,Gaitonde'S Wife,1041,https://images-na.ssl-images-amazon.com/images/I/71CIInhmkvL.png
nm10881156,Gaitonde'S Daughter,1041,https://images-na.ssl-images-amazon.com/images/I/613rKdyXBUL.png
nm11084927,Gaitonde's son,368,https://images-na.ssl-images-amazon.com/images/I/81qQCrzO21L.png
nm8499793,Tipu,318,https://images-na.ssl-images-amazon.com/images/I/81oXVXJtGaL.png
