nconst,character,screentime,image
nm4731677,Abhimanyu Roy,6552,https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_.jpg
nm4495174,Bindu Shankarnarayanan,4663,https://m.media-amazon.com/images/M/MV5BMTkzOTgzNzYzMl5BMl5BanBnXkFtZTgwMTI0MzY3OTE@._V1_.jpg
nm5787869,Bindu's Father,2314,https://m.media-amazon.com/images/M/MV5BNGNiMDU4ODEtOGU0Ni00MjY3LWJjNDYtNDAxNDBjNTk0ZTY1L2ltYWdlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm0244900,Abhi's Father,2131,https://m.media-amazon.com/images/M/MV5BOWE1NDY2ZDUtMDdmMy00M2UxLTg3OTktOTE0YWQ2MTg3YTVjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3533508,Abhi's Mother,1945,https://ia.media-imdb.com/images/I/61FlaE5LDJL.png
nm4726664,Abhi's Friend,1432,https://ia.media-imdb.com/images/I/71ADHU77jVL.png
nm1425584,Abhi's Relative,1292,https://m.media-amazon.com/images/M/MV5BODQ3ZjdiNGYtOWU4MS00ZjIwLTk4OTQtNGFiZDFkMGRhZGY4XkEyXkFqcGdeQXVyNjgyOTIyNTM@._V1_.jpg
nm6509791,Abhi's Manager,998,https://ia.media-imdb.com/images/I/71a-7sy4t8L.png
nm8595002,Abhi's IMS friend,943,https://ia.media-imdb.com/images/I/71wPQInRrLL.png
nm9279027,Booby Maashi,775,https://ia.media-imdb.com/images/I/71cvOupdpqL.png
nm7694570,Maulshree,592,https://ia.media-imdb.com/images/I/716DGvM-MnL.png
nm9279360,Kaanchi,466,https://ia.media-imdb.com/images/I/71wu6WHEbsL.png
nm9279343,Young Abhi,423,https://ia.media-imdb.com/images/I/710reYVXK1L.png
nm8298333,Young Bindu,416,https://ia.media-imdb.com/images/I/71hB1L8CUlL.png
nm2270922,Dr. Choudary,403,https://m.media-amazon.com/images/M/MV5BNmU3Yzc3ZWYtYmY0OS00M2QwLWJkYTAtNzAwOTMxZTVlYmMzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9279346,Rahul,394,https://ia.media-imdb.com/images/I/71fnkp6BqML.png
nm5018113,Tape Shop Guy,382,https://ia.media-imdb.com/images/I/81DyWYnvJkL.png
nm1315113,Bindu's Mother,296,https://m.media-amazon.com/images/M/MV5BZWIxMWY0MTItNDhiZC00NWEzLTkwOGItZjkwN2U3N2M4NGQ5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9279023,Rashmi Chawla,270,https://ia.media-imdb.com/images/I/71Z+60ZqjZL.png
nm9279344,Waiter 1 in Pub,249,https://ia.media-imdb.com/images/I/61g44dNS27L.png
nm1200478,Goan Uncle,248,https://m.media-amazon.com/images/M/MV5BY2QxMDVhMTgtNmU5My00ZDBhLTkwYWQtZGY0ZmZhZDEzOTA3XkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm9279345,Waiter 2 in Pub,242,https://ia.media-imdb.com/images/I/61yeacXYCuL.png
nm9279358,Music Shop Guy,235,https://ia.media-imdb.com/images/I/71RLg42jQfL.png
nm6121753,Beauty Queen,233,https://ia.media-imdb.com/images/I/71zQ-CFIcpL.png
nm4670777,Dhruv,217,https://ia.media-imdb.com/images/I/71tk4il3uTL.png
nm9279356,Dubbing Studio Producer,210,https://ia.media-imdb.com/images/I/716QOnIz1mL.png
nm8620833,Seedi Bookseller,190,https://ia.media-imdb.com/images/I/81WYEV4+OxL.png
nm9279350,Piyush,163,https://ia.media-imdb.com/images/I/71OlhxXyA9L.png
nm9279353,Waiter at Madira,149,https://ia.media-imdb.com/images/I/71zvUJe3l0L.png
nm9279339,Prospective Bride,111,https://ia.media-imdb.com/images/I/81xJ06XgXnL.png
nm9279351,Manjari,111,https://ia.media-imdb.com/images/I/71RRwXJM0GL.png
nm8903698,Abhi's Girlfriend,99,https://ia.media-imdb.com/images/I/61LgdhJ0jcL.png
nm9279347,Pinky,81,https://ia.media-imdb.com/images/I/61WcqUR3RWL.png
nm5882905,Dubbing Asst,76,https://ia.media-imdb.com/images/I/61NmL3bO6iL.png
nm9279357,Dubbing Studio Engineer,76,https://ia.media-imdb.com/images/I/71-jI47wURL.png
