nconst,character,screentime,image
nm0159167,Vicky,10145,https://m.media-amazon.com/images/M/MV5BMTQwNjY2MzI5NF5BMl5BanBnXkFtZTYwNDU4Njcy._V1_.jpg
nm0361407,Sameer,9797,https://m.media-amazon.com/images/M/MV5BZDkxZDg4ZDQtNzVjMy00ZWQ3LTg0NWUtN2MxNWM1ODkxNzQyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0792116,Karan,9692,https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_.jpg
nm0451321,Raj Aryan Malhotra,8854,https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0000821,Narayan Shankar,8150,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm0792906,Ishika,6136,https://m.media-amazon.com/images/M/MV5BMTkxNzkxMzAzOV5BMl5BanBnXkFtZTgwMjIxMTE0OTE@._V1_.jpg
nm0422566,Kiran,4699,https://m.media-amazon.com/images/M/MV5BMDFhNTQxZDMtZjY1Yy00ZmRlLTlhZTktNDlhMjhkZWY2ZmVkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0788881,Sanjana,3869,https://m.media-amazon.com/images/M/MV5BODI3NjAxYTMtZDQ2ZC00YTRkLWI5NjYtNGIyMzA3NWNiZmNhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0706787,Megha,3254,https://m.media-amazon.com/images/M/MV5BMjEyMjEyODkzN15BMl5BanBnXkFtZTcwODkxMTY1Mg@@._V1_.jpg
nm2717517,Gurukul Boy,2581,https://m.media-amazon.com/images/M/MV5BYjAwZmMwNDQtY2U3My00NjMzLTgzNjEtM2QwODg4ZjcwYWIwXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm2117833,Gurukul Boy,2362,https://m.media-amazon.com/images/M/MV5BNGMxNjIzNGEtNmJkZC00YTg4LTkwNmMtNWZlMjNjMzI2MWNhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0156858,Nandini,2314,https://m.media-amazon.com/images/M/MV5BMTgxYmU4MjAtMDA2NC00MGVmLWJiNzgtYjE0MDA5M2ViZmIwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0700869,Maj. Gen. Khanna,2243,https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0802724,Narayan Shankar's Secretary,2192,https://images-na.ssl-images-amazon.com/images/I/71ZZp7kRclL.png
nm0451600,Kake,1845,https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_.jpg
nm0700687,Preeto,1609,https://m.media-amazon.com/images/M/MV5BMjdlZjcxN2EtMGMzNy00NzFhLTljMTQtYTUxZTAyZmEyNmE4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3724803,Music Student,1412,https://images-na.ssl-images-amazon.com/images/I/81iFBj5oQXL.png
nm0374974,Miss Monica,1145,https://m.media-amazon.com/images/M/MV5BNTY1ODk3NDItZmUyMi00YTE4LTg2ZTctMzIyYWZiZmEyZDJlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0865858,Ishika's friend,982,https://images-na.ssl-images-amazon.com/images/I/81447+4lJuL.png
nm2195293,Ishika's friend,982,https://images-na.ssl-images-amazon.com/images/I/81447+4lJuL.png
nm5282922,Ishika's friend,982,https://m.media-amazon.com/images/M/MV5BMDgyZjcyNmQtMjk5OC00MTA1LTlkMGMtMjkxZDUwMzhiYzRiXkEyXkFqcGdeQXVyMjAyMzk1NDA@._V1_.jpg
nm5283074,Sonia,934,
nm2019649,Gurukul Boy,913,https://images-na.ssl-images-amazon.com/images/I/91GA3MBhplL.png
nm0202119,Ayush,841,https://m.media-amazon.com/images/M/MV5BMjA2ODkyMjI3NV5BMl5BanBnXkFtZTcwOTY0OTY3Mg@@._V1_.jpg
nm6646387,Student,786,https://m.media-amazon.com/images/M/MV5BOGU0NDEyYTItZWI0Yi00ZmJkLTg1YzAtMGY0ZTUzYWVlYTQwXkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_.jpg
nm9316536,Student,786,https://m.media-amazon.com/images/M/MV5BY2E2ZjA2NzMtODhmZS00N2Y4LWE5NzMtMDYwYmI1MTM3ZDU1XkEyXkFqcGdeQXVyNzg4NTI0NzE@._V1_.jpg
nm1269125,Deepak,647,https://images-na.ssl-images-amazon.com/images/I/81-OZz1VzUL.png
nm0795661,Sanjana's Father,320,https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_.jpg
nm5282568,Khan Baba,267,https://images-na.ssl-images-amazon.com/images/I/81wXYpgsISL.png
nm1234393,Shopkeeper,263,https://images-na.ssl-images-amazon.com/images/I/81XiWb8yDOL.png
nm1446308,Kake's friend,142,https://images-na.ssl-images-amazon.com/images/I/81ekSF11QbL.png
nm4361080,Student,97,https://images-na.ssl-images-amazon.com/images/I/81iFBj5oQXL.png
