nconst,character,screentime,image
nm0219971,Dharamnath Pandey,5142,https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_.jpg
nm2799219,Savitri Pandey,5027,https://m.media-amazon.com/images/M/MV5BMTg1NDU0Njg4Ml5BMl5BanBnXkFtZTgwNDM1ODA0OTE@._V1_.jpg
nm0457410,Kanni Guru Guide,3522,https://m.media-amazon.com/images/M/MV5BMjAyMDczNzc4Ml5BMl5BanBnXkFtZTgwNDM4NDczMDE@._V1_.jpg
nm1139107,Sahodar ji,2641,https://ia.media-imdb.com/images/I/71QhFF-cfEL.png
nm10435115,Nekram,2499,https://ia.media-imdb.com/images/I/61rzU1zK9JL.png
nm0795661,Upadhyay Pandit,2436,https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_.jpg
nm2761116,Ramdin - Barbar's Wife,2225,https://ia.media-imdb.com/images/I/719lK9WGo9L.png
nm10435121,Catherine,2206,https://ia.media-imdb.com/images/I/71F2Oijbd4L.png
nm0864608,Radhe Shyam,2103,https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_.jpg
nm10435109,Rajkishore,1927,https://ia.media-imdb.com/images/I/61jotauATDL.png
nm0154218,Daya Singh,1791,https://ia.media-imdb.com/images/I/71h49h0THxL.png
nm10338462,Chaubey ji,1657,https://ia.media-imdb.com/images/I/71qsu+Cs52L.png
nm10435106,Kashinath Singh,1534,https://ia.media-imdb.com/images/I/71gIptq68mL.png
nm0348490,Srivastavaji,1422,https://m.media-amazon.com/images/M/MV5BYjM3NjJlMjEtZjY1Ny00NTgzLWEyZDMtMDIxM2QzYTgzMmJjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10435107,Deenbandhu Tiwari,1350,https://ia.media-imdb.com/images/I/71E4XuFInJL.png
nm1179151,Baldev,1202,https://ia.media-imdb.com/images/I/71VDTckT-LL.png
nm10435104,Ramji Rai,1135,https://ia.media-imdb.com/images/I/71lCWOl0FhL.png
nm10435129,Pandey's younger son,996,https://ia.media-imdb.com/images/I/61NuJ+Dn0YL.png
nm10435114,Shiv Impostor,987,https://ia.media-imdb.com/images/I/718gZ2CGr0L.png
nm4342374,S.P mishra,923,https://ia.media-imdb.com/images/I/71Sq5Cw+nPL.png
nm10435132,Madeline,859,https://ia.media-imdb.com/images/I/81fyIo9AYiL.png
nm0592782,Tanni Maharaj,752,https://m.media-amazon.com/images/M/MV5BMzRiNTMyOWYtMzllZi00OTc5LThlYTMtM2FjNTM2YjM3NmEyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10435127,Pandey ji's daughter,569,https://ia.media-imdb.com/images/I/613qjeEGq5L.png
nm10435119,Srivastav junior,532,https://ia.media-imdb.com/images/I/71mpQJR3gbL.png
nm3998355,Srivastav Senior,532,https://ia.media-imdb.com/images/I/61gbFaiZyaL.png
nm10435110,Pappu,505,https://ia.media-imdb.com/images/I/710wPfzheSL.png
nm10435113,Gargi 6 yrs,478,https://ia.media-imdb.com/images/I/61v5VEM68IL.png
nm10435097,Jane,455,https://ia.media-imdb.com/images/I/61Ir+Le0mmL.png
nm10435098,Christopher,455,https://ia.media-imdb.com/images/I/61m1dQT8p5L.png
nm10435122,Slate Baba,450,https://ia.media-imdb.com/images/I/71cPJJL4+7L.png
nm2013730,Paanwala,450,https://ia.media-imdb.com/images/I/71q3G7wk4QL.png
nm10435125,Yajmaan,436,https://ia.media-imdb.com/images/I/711RddqBhpL.png
nm10435099,Auto driver,379,https://ia.media-imdb.com/images/I/61vYVJTtTGL.png
nm10435126,Foreign Sex worker,367,https://ia.media-imdb.com/images/I/71NUvsAbIlL.png
nm3175042,Traffic Policeman,365,https://ia.media-imdb.com/images/I/71N4EdbFP5L.png
nm10435130,Old Brahmin teacher,330,https://ia.media-imdb.com/images/I/71207T2IPNL.png
nm10435128,Pandey's elder son,258,https://ia.media-imdb.com/images/I/71mxgz-+Z7L.png
nm10435123,Cycle Rickshawala,252,https://ia.media-imdb.com/images/I/61jbUU80R-L.png
nm7436778,Boatman,205,https://ia.media-imdb.com/images/I/61A2FFdHRCL.png
nm10435101,Tiwari Ji,198,https://ia.media-imdb.com/images/I/71r1YCPNB+L.png
nm10435108,Radheyshyam,196,https://ia.media-imdb.com/images/I/71dy0JltGKL.png
nm10435118,Laxman Singh,191,https://ia.media-imdb.com/images/I/718sM5lyXPL.png
nm9028650,Ram Singh,191,https://ia.media-imdb.com/images/I/71Vqaw43JeL.png
nm1654650,Inspector Sharma,119,https://ia.media-imdb.com/images/I/61BkF8SqcQL.png
nm5125482,Shaligram Tiwari,101,https://ia.media-imdb.com/images/I/71piPn80GjL.png
nm10435103,Haridwar Pandey,54,https://ia.media-imdb.com/images/I/71G0gOG3A7L.png
