nconst,character,screentime,image
nm0004335,Raj Khanna,8279,https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_.jpg
nm0611552,Pooja,8237,https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_.jpg
nm0004626,Tina Kapoor,7671,https://m.media-amazon.com/images/M/MV5BMjAyNjM4NTAwN15BMl5BanBnXkFtZTcwNDkxNzQzNg@@._V1_.jpg
nm0474820,Mr. Khanna,6102,https://m.media-amazon.com/images/M/MV5BNjVjOWUzZmQtYmEzMy00MmI1LWFhNjctMzNkZDRiNGRhMjc4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0787474,Mr. Sahani,6063,https://m.media-amazon.com/images/M/MV5BOTdhNGI3ZGItMzkwZC00ZDY0LTliZDEtZDZkY2E0MDUwNDk5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0419741,Mrs. Khanna,5863,https://m.media-amazon.com/images/M/MV5BODE4ZjI3MzctZGE4Yy00NzRmLWI5ZWItNTljNDM4MWRjMmYyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0794510,Mrs. Sahani,5341,https://m.media-amazon.com/images/M/MV5BYjlmMmE0NjItYzYxNy00NWE3LWI0OTktN2RiN2U5ZTk5MWJjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0451561,Mr. Kapoor,2878,https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0159167,Rohan Verma,2820,https://m.media-amazon.com/images/M/MV5BMTQwNjY2MzI5NF5BMl5BanBnXkFtZTYwNDU4Njcy._V1_.jpg
nm1588584,Young Raj Khanna,1139,https://m.media-amazon.com/images/M/MV5BNDEwNDNhNDQtODJmMS00ZDFlLWJhMDAtN2IxMWYxNTRhNWZkXkEyXkFqcGdeQXVyMjIyNjg1OTE@._V1_.jpg
nm2771295,Young Pooja Sahani,1139,https://m.media-amazon.com/images/M/MV5BOGIxZWNjNTEtYTQwYy00YThmLTgwZGYtYWRlMWRiZTQ1MTY0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1191361,Ronnie,1126,
nm4335772,Young Tina Kapoor,807,
nm0015808,Mrs. Verma,388,https://images-na.ssl-images-amazon.com/images/I/81EAb-THkTL.png
nm0756378,Mr. Verma,388,https://m.media-amazon.com/images/M/MV5BZTQ3NzAwZTQtMmNiYy00ZDE0LWIxOGEtMzA3MTI3NDU2ZTVkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
