nconst,character,screentime,image
nm3822770,Newton Kumar,5544,https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm0944834,Loknath,4562,https://m.media-amazon.com/images/M/MV5BNTIzOWZhMjctNTBkMi00YTc0LThhOGYtMDFlZmI4ZmNkZTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2690647,Aatma Singh,3867,https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4380889,Krishna,3692,https://ia.media-imdb.com/images/I/81q64+H8m6L.png
nm4405794,Malko,3566,https://m.media-amazon.com/images/M/MV5BZWY1OTY3YjQtN2IzMy00NjI5LTkwMWUtYWE5ODFjZTI2NzQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6533968,Shambhoo,3540,https://ia.media-imdb.com/images/I/81jXP9-p0+L.png
nm3493635,Lakhma,3103,https://m.media-amazon.com/images/M/MV5BMWJjM2U5MzItNjM0ZC00YzM3LTk3NmMtNDk5ZTM2MzY0N2I3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9437794,Shubham,2074,https://ia.media-imdb.com/images/I/811W5NNEe6L.png
nm9437795,Aatma's Translator,1888,https://ia.media-imdb.com/images/I/91OSq5dXTBL.png
nm9437808,Questioning Village Woman 1,800,https://ia.media-imdb.com/images/I/81-nHUD44EL.png
nm2240830,Police DIG,775,https://m.media-amazon.com/images/M/MV5BMGVmZTE5MzQtZTY2Ny00ZGEzLWE0ZTYtMGFkNjk3MjkzMjYzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm9437804,Sarpanch,713,https://ia.media-imdb.com/images/I/81tXQYBOOTL.png
nm9437805,First Voter in Red Turban,694,https://ia.media-imdb.com/images/I/81lFqUr1lKL.png
nm9437800,Foreign Reporter,607,https://ia.media-imdb.com/images/I/81JUzllgnpL.png
nm9437807,Man who gets slapped,453,https://ia.media-imdb.com/images/I/810N7FQ1E3L.png
nm9437801,Foreign Camera person,409,https://ia.media-imdb.com/images/I/81f0UQrtwSL.png
nm0592799,Election Instructor,369,https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_.jpg
nm9437814,Channel 5 Reporter,365,https://ia.media-imdb.com/images/I/81Qnjh62jUL.png
nm9437811,S News Reporter,350,https://ia.media-imdb.com/images/I/81TKPRBt9AL.png
nm9437812,S News Camerman,344,https://ia.media-imdb.com/images/I/81TKPRBt9AL.png
nm9437774,The Village Patel,338,https://ia.media-imdb.com/images/I/81YK-av-XQL.png
nm8238290,Channel 5 Cameraman,322,https://ia.media-imdb.com/images/I/81Qnjh62jUL.png
nm1586516,Newton's Father,317,
nm9437778,Newton's Mother,286,https://ia.media-imdb.com/images/I/816KHKq3PNL.png
nm9437782,Lila's Father,257,https://ia.media-imdb.com/images/I/81yiFmjYPVL.png
nm9437783,Lila's Grandmother,228,https://ia.media-imdb.com/images/I/81YA7kYE3PL.png
nm9437784,Lila's Brother,228,https://ia.media-imdb.com/images/I/814a4gz5dtL.png
nm9437785,Lila,206,https://ia.media-imdb.com/images/I/717R2qNam4L.png
nm9437786,Lila's Mother,206,https://ia.media-imdb.com/images/I/815SOci9DhL.png
nm9437787,Lila's Sister In Law,206,https://ia.media-imdb.com/images/I/81J79puv4qL.png
nm9437788,Lila's Aunt,200,https://ia.media-imdb.com/images/I/81NIYMP4rtL.png
nm9437775,Mangal Netam,192,https://ia.media-imdb.com/images/I/81Xm5vrSNrL.png
nm9437822,Atma Singh's Family,185,https://ia.media-imdb.com/images/I/81KQP95OMHL.png
nm9437821,Atma Singh's Family,183,https://ia.media-imdb.com/images/I/81KQP95OMHL.png
nm9437789,Lila's Nephew,179,https://ia.media-imdb.com/images/I/71-MC45u2qL.png
nm9437806,Chicken Cook,169,https://ia.media-imdb.com/images/I/81mBPZMRY5L.png
nm9437781,Election Trainee,166,https://ia.media-imdb.com/images/I/81pU1uabo7L.png
nm9437797,Children singing Gond song,147,https://ia.media-imdb.com/images/I/81wIB9cXgrL.png
nm9437798,Children singing Gond song,147,https://ia.media-imdb.com/images/I/81wIB9cXgrL.png
nm9437799,Children singing Gond song,147,https://ia.media-imdb.com/images/I/81wIB9cXgrL.png
nm9437802,SPO with Megaphone,144,
nm9437780,Kamal Kishore,136,https://ia.media-imdb.com/images/I/81XQBlxKM8L.png
