nconst,character,screentime,image
nm10180702,Kabeer Kaul,5460,https://images-na.ssl-images-amazon.com/images/I/61EpZklmV8L.png
nm10180701,Firdaus,5084,https://m.media-amazon.com/images/M/MV5BNDBlM2Q2YzMtZDJmYy00OTU4LWIxMjktMTQxY2M1MzE2OGNiXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10740386,Waqar,4026,https://images-na.ssl-images-amazon.com/images/I/71yC78XOnnL.png
nm10740384,Tariq,3873,https://images-na.ssl-images-amazon.com/images/I/71S6k6005yL.png
nm10740388,Iqrah,3748,https://images-na.ssl-images-amazon.com/images/I/71Bzq6+7uTL.png
nm10740387,Dua,3735,https://images-na.ssl-images-amazon.com/images/I/71trJdZtqFL.png
nm10740385,Shama,3530,https://images-na.ssl-images-amazon.com/images/I/715GRcxhAcL.png
nm10740383,Imran,2733,https://images-na.ssl-images-amazon.com/images/I/71ulN5V7+kL.png
nm2493744,Principal,2270,https://images-na.ssl-images-amazon.com/images/I/61jMjNlVgJL.png
nm8384709,Dolly,2007,https://m.media-amazon.com/images/M/MV5BNzU1MjQxNTMtZGVmZC00NWQ3LThiNzgtNWFkM2U2YTU1Mzg4XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10740391,Junaid,1894,https://images-na.ssl-images-amazon.com/images/I/61rol-BHMkL.png
nm10740392,Hameed Chacha,1315,https://images-na.ssl-images-amazon.com/images/I/71h7LD3vb8L.png
nm10391297,Police officer,951,https://images-na.ssl-images-amazon.com/images/I/51MBvAMitcL.png
nm6661769,Yakub (Imran's Father),897,https://m.media-amazon.com/images/M/MV5BNWM3YzJkNGMtYTFhNi00MmVhLTliMTQtOGUyMTFlYzUxZmY4XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm10740407,Boatman vegetable vendor,885,https://images-na.ssl-images-amazon.com/images/I/61jAMazvaxL.png
nm10740405,Boatman Bhaijaan,873,https://images-na.ssl-images-amazon.com/images/I/7159CLtFTJL.png
nm8475179,Ahmed Quadri,831,https://images-na.ssl-images-amazon.com/images/I/71dWXEKpsqL.png
nm10740396,Young Firdaus,798,https://images-na.ssl-images-amazon.com/images/I/71uSnehyGsL.png
nm10740397,Young Kabir,717,https://images-na.ssl-images-amazon.com/images/I/71ihVDZnT0L.png
nm10740393,Male doctor,463,https://images-na.ssl-images-amazon.com/images/I/71iySa+kqNL.png
nm10740389,Imran's sister,444,https://images-na.ssl-images-amazon.com/images/I/619UmXR9KxL.png
nm10740406,Imran's mother,443,https://images-na.ssl-images-amazon.com/images/I/71PNuEzro7L.png
nm10740394,Female doctor,441,https://images-na.ssl-images-amazon.com/images/I/61cjTZ5Sb6L.png
nm10740404,Principal - pvt school,375,https://images-na.ssl-images-amazon.com/images/I/61hqGhpSUZL.png
nm3919952,Rickshaw driver,310,https://images-na.ssl-images-amazon.com/images/I/61s4TbKHrNL.png
nm10740403,Vikram,280,https://images-na.ssl-images-amazon.com/images/I/71wDGslkEiL.png
nm3938476,Junaid's mother,199,https://images-na.ssl-images-amazon.com/images/I/71fm03qziXL.png
nm5597696,Junaid's father,199,https://images-na.ssl-images-amazon.com/images/I/71fm03qziXL.png
nm10740408,Pregnant girl,97,https://images-na.ssl-images-amazon.com/images/I/61qaGTtqQuL.png
