nconst,character,screentime,image
nm3169069,Aditya,7053,https://m.media-amazon.com/images/M/MV5BZmNlODEzM2YtOTUyOS00MDVmLTk4YzgtMzAxZmQ2ZDBkNTAyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3601766,Tara,6597,https://m.media-amazon.com/images/M/MV5BMTU1NzU2Nzk0MV5BMl5BanBnXkFtZTgwMzIzMzg4MjE@._V1_.jpg
nm0787462,Gopi Shrivastava,3444,https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_.jpg
nm7118554,Charu,3113,https://ia.media-imdb.com/images/I/71BdbY-p3mL.png
nm8311745,Bantoo,2182,https://m.media-amazon.com/images/M/MV5BMzA3NmY3MDYtYmE0YS00ODk1LWJjNTQtNGEyZWM4MWZmNGJlL2ltYWdlXkEyXkFqcGdeQXVyMTcwODI2NjQ@._V1_.jpg
nm8024961,Jennifer,836,https://ia.media-imdb.com/images/I/81c6Jc6NexL.png
nm8261761,Aisha,778,https://m.media-amazon.com/images/M/MV5BMDUzYWYwNTMtOTM0Ni00ZWQ2LWFhODYtNzZkNTUwOGI3ODAyXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm6350461,Adi's Sister in Law,746,
nm5719506,Adi's Brother,743,https://ia.media-imdb.com/images/I/719HerUABhL.png
nm4316963,Adi's Boss,733,https://ia.media-imdb.com/images/I/81FBBTbUepL.png
nm8971429,Adi's Niece,610,https://ia.media-imdb.com/images/I/71ip5fHFaoL.png
nm3601766/trivia,nt0973340,542,
nm0317307,Tara's Mother,536,https://m.media-amazon.com/images/M/MV5BYjc3NGYxY2UtNGY5ZS00MTEzLWI5ZTMtMDdjM2FmNTU1NDZlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8971445,Traffic Cop,414,https://ia.media-imdb.com/images/I/71VyXNLNy7L.png
nm8971436,Ashok,365,https://ia.media-imdb.com/images/I/71RAxGSTQlL.png
nm8971432,Jenny's Father,350,
nm8971433,Henry's Father,350,
nm8971431,Church Father,308,
nm8971437,Lodge Receptionist,294,https://ia.media-imdb.com/images/I/71iU64eLFzL.png
nm8971434,Henry,279,
nm8971440,Tara's Friend 1,251,
nm8971441,Tara's Friend 2,251,
nm8971438,Tara's Colleague 1,239,https://ia.media-imdb.com/images/I/71XTZrR11XL.png
nm1538894,Balkrishna Doshi,225,https://ia.media-imdb.com/images/I/71Op7gTGRnL.png
nm8971430,Tara's Boss,190,https://ia.media-imdb.com/images/I/71ZFAfGP8KL.png
nm1538894/trivia,nt0414709,164,
nm8715561,Tara's Tajui,148,https://ia.media-imdb.com/images/I/71S0Vj5NFUL.png
nm8971427,Taiji,148,https://ia.media-imdb.com/images/I/71U4zUUQTcL.png
nm8971446,Doctor,115,https://ia.media-imdb.com/images/I/61adjr6kJtL.png
nm6600603,Pregnant Woman,109,https://ia.media-imdb.com/images/I/71fMup5tAFL.png
nm8971439,Tara's Colleague 2,69,https://ia.media-imdb.com/images/I/71UVUJlzuiL.png
