nconst,character,screentime,image
nm0451600,Justice Tyagi,4927,https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_.jpg
nm1122912,Insp. Sharma,4740,https://m.media-amazon.com/images/M/MV5BNWY2YTdhY2QtMzMxMS00MjNhLTgxYmQtMjM2OGM4MjczNzBmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3373271,Laxmi Rathi,3170,https://m.media-amazon.com/images/M/MV5BMTczMzYxMzMzMF5BMl5BanBnXkFtZTgwNjI1ODA0OTE@._V1_.jpg
nm1664541,MP Rawat,2147,https://m.media-amazon.com/images/M/MV5BNWZjMTVmM2ItODY5OC00ODA1LWE1MmItNTkwNDk1MjA4MWMzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0788903,Pankaj Singh,1923,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9017514,Mrs. Tyagi,1772,https://images-na.ssl-images-amazon.com/images/I/71B06M2QLaL.png
nm0214358,Dr. Reena Chopra,1251,https://m.media-amazon.com/images/M/MV5BZWQwMWYxZGQtODgxYy00NjU0LTlmODQtNzY5NTUzOWY5Mjc3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6249519,Inspector Vijay,1168,https://images-na.ssl-images-amazon.com/images/I/71cmveiQXbL.png
nm8169231,Pooja,1120,https://images-na.ssl-images-amazon.com/images/I/91lNonopX6L.png
nm8026847,Afzal Mechanic,1116,https://images-na.ssl-images-amazon.com/images/I/71Pr9cYnRaL.png
nm1259094,SP,1099,https://images-na.ssl-images-amazon.com/images/I/71cNE2dJruL.png
nm0906226,ParveenBibi - Abdul's Mom,1010,https://m.media-amazon.com/images/M/MV5BNDZhNzNiY2UtYzRkOS00N2IzLWFmNDctZTNkNTVkODZkZjEwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7648635,Dilawar,983,https://images-na.ssl-images-amazon.com/images/I/71Spg-NawWL.png
nm1302330,Dr. Ajay Chopra,890,https://m.media-amazon.com/images/M/MV5BY2NmNDY2OTAtMzJlMy00OWMzLTgwMWItYWFlYjY0NmY0MTBlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3137461,Munna - Male Nurse,819,https://images-na.ssl-images-amazon.com/images/I/71nk8WwLYvL.png
nm10318219,Sonia,747,https://images-na.ssl-images-amazon.com/images/I/81P1EE+JHdL.png
nm10516775,Rahul,742,https://images-na.ssl-images-amazon.com/images/I/71-H+V0QSoL.png
nm11161832,Rohit,687,https://images-na.ssl-images-amazon.com/images/I/612whgIIAGL.png
nm0756378,Colonel Sahab,671,https://m.media-amazon.com/images/M/MV5BZTQ3NzAwZTQtMmNiYy00ZDE0LWIxOGEtMzA3MTI3NDU2ZTVkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10203718,Abdul,666,https://images-na.ssl-images-amazon.com/images/I/81w6jcttknL.png
nm10927054,Mukul,664,https://images-na.ssl-images-amazon.com/images/I/81DnKUrO4CL.png
nm3739900,Shagufta,560,https://images-na.ssl-images-amazon.com/images/I/81rXkrX6o5L.png
nm9583288,Shamim,560,https://images-na.ssl-images-amazon.com/images/I/71nh7kGN7PL.png
nm0536705,Lawyer Joshi,480,https://m.media-amazon.com/images/M/MV5BMGE2OTVlN2ItMGZkZS00MDQ2LThiOGYtZDJhMDRiZWVhYzYzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1177893,lawyer Rai,480,https://images-na.ssl-images-amazon.com/images/I/71ekjN-yUSL.png
nm10062285,Parvez,477,https://images-na.ssl-images-amazon.com/images/I/71TFoqYaimL.png
nm8666734,Special appearance,361,https://images-na.ssl-images-amazon.com/images/I/81j--2JI9qL.png
nm10817163,Special Appearance,174,https://images-na.ssl-images-amazon.com/images/I/71chj0sIJlL.png
