nconst,character,screentime,image
nm4992002,Chandu,8346,https://m.media-amazon.com/images/M/MV5BMDBjM2EyNWEtNDJhMi00MjMyLThjNDktNTNhOGU5MTQ5MDU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1303433,Raj Kishore,8210,https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_.jpg
nm0451174,Junky,8083,https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0438463,Wifi Bhai,6518,https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3713653,Jhanvi,6496,https://m.media-amazon.com/images/M/MV5BODY3MmFmMmQtYThhMi00YTk5LTg4YjQtNzhkYjU4YzQwZmE5XkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm0795661,Raja Sahab,6459,https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_.jpg
nm2299825,Sanjana,5747,https://m.media-amazon.com/images/M/MV5BMTQwNjI1MDY4NV5BMl5BanBnXkFtZTcwMjU1MDg2OA@@._V1_.jpg
nm2240044,Mamaji,5167,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3294537,Raja Sahab Driver & Bad News Guy,4853,https://images-na.ssl-images-amazon.com/images/I/71yNcTEtHNL.png
nm0864608,Baba Jani,4123,https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_.jpg
nm1664541,Tulli Seth,3653,https://m.media-amazon.com/images/M/MV5BNWZjMTVmM2ItODY5OC00ODA1LWE1MmItNTkwNDk1MjA4MWMzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1824676,Bulli Seth,3618,https://images-na.ssl-images-amazon.com/images/I/81CwQoJxLYL.png
nm4189429,Niraj Modi,3496,https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm5856898,Kavya,3015,https://m.media-amazon.com/images/M/MV5BMjA1NzA5MjQyMV5BMl5BanBnXkFtZTgwNTIyMTIzOTE@._V1_.jpg
nm0451239,Panditji,2497,https://images-na.ssl-images-amazon.com/images/I/71JPWWh5zwL.png
nm2819031,Mehul Chowksi,1398,https://images-na.ssl-images-amazon.com/images/I/71-v8XqjoQL.png
nm5885498,Lorry Driver,729,https://m.media-amazon.com/images/M/MV5BMTAwY2E2YTQtYmU0OS00OTA2LTljMjItYTA0YTQ5NDM1YWQxXkEyXkFqcGdeQXVyMjQyNjgxNjg@._V1_.jpg
nm2159862,Judge,651,https://images-na.ssl-images-amazon.com/images/I/71x20h2SkjL.png
nm2541371,Bhagat,290,https://images-na.ssl-images-amazon.com/images/I/719hPd1F2cL.png
nm7512176,Indian Bank Manager,192,https://images-na.ssl-images-amazon.com/images/I/71zpRA9wzwL.png
nm1259094,Indian Police Inspector,87,https://images-na.ssl-images-amazon.com/images/I/81Nip4R6hHL.png
