nconst,character,screentime,image
nm2004482,Laura Costa,3034,https://m.media-amazon.com/images/M/MV5BNjc0OTY5OTktZTU0Ni00OWQ2LTljNjMtNzQyYmJlNmEyM2Q4XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1847867,Gautam Menon,3020,https://m.media-amazon.com/images/M/MV5BMTY1MzA0NzcwN15BMl5BanBnXkFtZTgwNDU3Nzk3MjE@._V1_.jpg
nm9413386,Vinayak Srivastava,2618,https://images-na.ssl-images-amazon.com/images/I/81ylTkSJxiL.png
nm8631083,Gyanesh Pratap,2573,https://images-na.ssl-images-amazon.com/images/I/712oDA4OGcL.png
nm9413387,Munna,1966,https://images-na.ssl-images-amazon.com/images/I/81U-IePPBFL.png
nm9413388,Sonu BC,1469,https://images-na.ssl-images-amazon.com/images/I/81TXwCz8K2L.png
nm5731566,Sub Inspector Rawat,1378,https://images-na.ssl-images-amazon.com/images/I/81VSrUo7NfL.png
nm9413385,Pooja Menon,1365,https://images-na.ssl-images-amazon.com/images/I/81vTU5JVSmL.png
nm9413389,Jitendar Tomar,1360,https://images-na.ssl-images-amazon.com/images/I/81Eu2U1dHAL.png
nm9413391,Nishant,1088,https://images-na.ssl-images-amazon.com/images/I/817tehIHCjL.png
nm6294201,Pradhan Ji,1081,https://images-na.ssl-images-amazon.com/images/I/81b+wnW7DGL.png
nm4728052,Triloki Pradhan,973,https://images-na.ssl-images-amazon.com/images/I/817px-5c-3L.png
nm11377150,Sonu Bc Gang Member 1,951,
nm11377151,Sonu Bc Gang Member 2,951,
nm1634632,Sonu Bc Gang Member 4,895,
nm11377152,Sonu Bc Gang Member 3,827,
nm4467774,Home Minister Dharmpal Tomar,708,https://images-na.ssl-images-amazon.com/images/I/71nBXJIznwL.png
nm3557374,Watchman,697,https://images-na.ssl-images-amazon.com/images/I/81muP-OE9lL.png
nm11377147,Roadie-Hippy Gang,662,
nm11377142,Robert,646,https://images-na.ssl-images-amazon.com/images/I/81ZUQ6zKFQL.png
nm11377162,Baba Ghantal's Tout,586,https://images-na.ssl-images-amazon.com/images/I/81g+abF7jBL.png
nm11377146,Little Joy,565,https://images-na.ssl-images-amazon.com/images/I/81vdQE72SkL.png
nm11377167,Drug Godown Owner,522,
nm5843164,Drug Godown Owner,522,
nm11377157,Munna's Girl Friend,510,https://images-na.ssl-images-amazon.com/images/I/81YQAPMPmWL.png
nm9437983,Munna's gangs' youngest member,479,https://images-na.ssl-images-amazon.com/images/I/81ZhyJn8+wL.png
nm9437980,Folk Singer,382,https://images-na.ssl-images-amazon.com/images/I/81GULv6sE0L.png
nm11377148,Roadie-Hippy Gang,379,
nm3766373,Baba Ghantal,359,https://images-na.ssl-images-amazon.com/images/I/9105DgCVLCL.png
nm11012827,Nishanth's Mother,355,https://images-na.ssl-images-amazon.com/images/I/81BURiqNBWL.png
nm4651166,Yusuf Khan,354,
nm9437982,Palak Menon,282,https://images-na.ssl-images-amazon.com/images/I/717pQWUvTIL.png
nm11377170,Worker In Buffalo Shed,277,https://images-na.ssl-images-amazon.com/images/I/81ypKedRIbL.png
nm5676789,Simran,272,https://images-na.ssl-images-amazon.com/images/I/81iHvjNOY+L.png
nm5362949,Sarfaraz,198,https://images-na.ssl-images-amazon.com/images/I/81cOO56ObkL.png
nm11377143,Police Commissioner,171,https://images-na.ssl-images-amazon.com/images/I/81Rn5eR7YKL.png
nm11377145,Pub Song Dancer,171,https://images-na.ssl-images-amazon.com/images/I/81bUD9KynFL.png
nm11377154,Munna Gang Member 1,131,
nm4092925,Munna Gang Member 2,131,
nm9437979,Shahbaz Khan,98,https://images-na.ssl-images-amazon.com/images/I/81BWHFlofAL.png
nm5676055,Prinicipal Model College,53,https://images-na.ssl-images-amazon.com/images/I/81VrRhZC50L.png
nm11377155,Munna Gang Member 5,51,
nm11377156,Munna Gang Member 5,51,
nm7640303,Munna Gang Member 3,51,
nm11377166,Cyber Cell Officer,50,
nm2861159,Cyber Cell Officer,50,
