nconst,character,screentime,image
nm9654612,Champa 'Badki' Kumari,7283,https://m.media-amazon.com/images/M/MV5BZjQ2Y2QxNDAtOWMwYi00MWEyLWE0MzgtOGViZGQzYzFlYzM0XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7621667,Genda Kumari,7176,https://m.media-amazon.com/images/M/MV5BMzUzNjQ4MTE2OF5BMl5BanBnXkFtZTgwNTk0NjcyNzM@._V1_.jpg
nm1571487,Dipper Narad Muni,5429,https://m.media-amazon.com/images/M/MV5BZjQ1M2YxMDYtM2YxYi00ZjM0LWJiZTQtMDNmMTNjNWZlYWNiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2981021,Jagan,5317,https://m.media-amazon.com/images/M/MV5BYTlkYjk2MmUtMDhkNy00MTc5LTgyYTUtMGJlNWJmNzNiNmNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7996094,Vishnu,5236,https://ia.media-imdb.com/images/I/61DLad6xCML.png
nm0704694,Bechara Bapu,4401,https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_.jpg
nm4858115,Tharki Patel,3421,https://ia.media-imdb.com/images/I/719q-mwthsL.png
nm2224722,Dadi,2144,https://ia.media-imdb.com/images/I/71ECUbncsmL.png
nm10292221,Sarpanch,1520,https://ia.media-imdb.com/images/I/81mKpGgJvwL.png
nm10292220,Patel's father,1217,https://ia.media-imdb.com/images/I/614W1nQTIUL.png
nm10292224,Patel's wife,1036,https://ia.media-imdb.com/images/I/81YRm4nuOuL.png
nm10292219,Coaching manager,938,https://ia.media-imdb.com/images/I/71g4p+ZCXuL.png
nm10292209,4-Year Old Badki,803,https://ia.media-imdb.com/images/I/71oBzOFdJEL.png
nm10292210,3-Year Old Chhutki,799,https://ia.media-imdb.com/images/I/81j62u+2lgL.png
nm10292211,8 year old Badki,795,https://ia.media-imdb.com/images/I/71ISM0nSOhL.png
nm10292212,10 Year Old Chhutki,795,https://ia.media-imdb.com/images/I/817abkfPc6L.png
nm10292213,Ballu,769,https://ia.media-imdb.com/images/I/71qq0twy+6L.png
nm10292226,TV interviewer,699,https://ia.media-imdb.com/images/I/61r0XFNNpeL.png
nm10292214,Govt Official,573,https://ia.media-imdb.com/images/I/81gxaTsUTdL.png
nm10292227,Dr. Major Shastri,568,https://ia.media-imdb.com/images/I/71ZzE1g5I5L.png
nm6311516,Bank Manager,469,https://ia.media-imdb.com/images/I/717W1DegJ+L.png
nm10292215,Mela woman 1,420,https://ia.media-imdb.com/images/I/71uxPNfV0JL.png
nm10292216,Mela woman 2,420,https://ia.media-imdb.com/images/I/81i5v1W1qYL.png
nm10292230,Shaman,329,https://ia.media-imdb.com/images/I/71p+myYmYcL.png
nm3256676,ENT Doctor,182,https://ia.media-imdb.com/images/I/71Jd-BZekaL.png
