nconst,character,screentime,image
nm4449711,Abhinav 'Chintu' Tyagi,6703,https://m.media-amazon.com/images/M/MV5BODVjZDZlMDgtYWUyNS00MTY1LWFlZjMtZGM5NDJmY2JjM2I2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm6277267,Vedika Tripathi,4903,https://m.media-amazon.com/images/M/MV5BMjMzNTM5NTIyOV5BMl5BanBnXkFtZTgwMTQ2ODA0OTE@._V1_.jpg
nm6269780,Fahim Rizvi,4511,https://m.media-amazon.com/images/M/MV5BNDMwOGY1MjktM2RkYy00YTViLWFhODMtYzMyOGNlNmM0ODMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9203528,Tapasya Singh,4497,https://m.media-amazon.com/images/M/MV5BNjQ2MDU0ODEtNTk4Yi00OTk3LTg2OGItYTc5ZDA0MWIzZTMxXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1617256,Brijesh Pandey,2083,https://images-na.ssl-images-amazon.com/images/I/81NQ-hXv6YL.png
nm2194798,Doga,2004,https://m.media-amazon.com/images/M/MV5BZDRlNDNmMjEtNjQwOC00NGE2LWE2ZGYtMDcwZDI5ZTlkZDRhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1106067,Kusum Tyagi,1729,https://m.media-amazon.com/images/M/MV5BNTYxNTQxMDk4OV5BMl5BanBnXkFtZTgwMzcyNzIxNzE@._V1_.jpg
nm0788903,Prem Tripathi,1489,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0706953,Arvind Tyagi,1488,https://m.media-amazon.com/images/M/MV5BNjAwZmQ4ODMtMWU2OC00ZDg2LWEzNmUtYjMxNzkwNmM2ODY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3348178,Hemlata Tripathi,1488,https://images-na.ssl-images-amazon.com/images/I/71FNQdTBVpL.png
nm11184524,Rakes Yadav,1367,https://images-na.ssl-images-amazon.com/images/I/81DFGkoF5FL.png
nm11306918,Shambhu,1304,https://images-na.ssl-images-amazon.com/images/I/81jVw6VETxL.png
nm2286188,Mukhtar Singh,900,https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_.jpg
nm10196419,Bablu Paan Waala,728,https://images-na.ssl-images-amazon.com/images/I/81sbzullRHL.png
nm3002984,Sharma Ji,708,https://images-na.ssl-images-amazon.com/images/I/81K259f7F7L.png
nm11306915,Rakesh Yadav's Friend 1,482,https://images-na.ssl-images-amazon.com/images/I/81GAjKS0v1L.png
nm11306916,Rakesh Yadav's Friend 2,482,https://images-na.ssl-images-amazon.com/images/I/81GAjKS0v1L.png
nm11306913,Coaching Class Director,436,https://images-na.ssl-images-amazon.com/images/I/81wg-GpctCL.png
nm11306917,Overcharging Auto Guy,414,https://images-na.ssl-images-amazon.com/images/I/81-BbfjqWFL.png
nm10372658,Colleague With Fahim,333,https://images-na.ssl-images-amazon.com/images/I/81OsoJhbDjL.png
nm11306924,Kanupriya,314,https://images-na.ssl-images-amazon.com/images/I/81Ql5cKV-pL.png
nm11306914,Radheshyam Peon,298,https://images-na.ssl-images-amazon.com/images/I/71nBzbkqeLL.png
nm11306923,Tapasya's Ex-Boyfriend,288,https://images-na.ssl-images-amazon.com/images/I/710IDKu66qL.png
nm11306921,Auto Guy. Kusum Tyagi,277,https://images-na.ssl-images-amazon.com/images/I/81j2+IzPf5L.png
nm11306919,Kid At Swimming Pool,250,https://images-na.ssl-images-amazon.com/images/I/81OqGi3Z3+L.png
nm8694286,Salesman- -Rajratan,245,
nm6463418,Waiter(Lunch,229,https://images-na.ssl-images-amazon.com/images/I/81+G5xvv1qL.png
nm11306925,Cab Driver Vedika Tripathi,223,https://images-na.ssl-images-amazon.com/images/I/71FiLuTVOML.png
nm11306922,Salesman- Megamall (Raymond),173,https://images-na.ssl-images-amazon.com/images/I/81YZtI1S5fL.png
nm11306926,Receptionist,172,https://images-na.ssl-images-amazon.com/images/I/8157NKr63VL.png
nm9058562,Aditi,164,https://m.media-amazon.com/images/M/MV5BNDc0ZmJkNDUtZjA3Ni00ZjEzLThkMjctZGQwNjIyNzg1NmYzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm6486308,Tea Lady,143,https://images-na.ssl-images-amazon.com/images/I/81rCcgMP1WL.png
nm11306920,Auto Guy- Vedika Tripathi,129,https://images-na.ssl-images-amazon.com/images/I/71Sq357O52L.png
nm11306912,Brijesh Pandey's Wife,121,https://images-na.ssl-images-amazon.com/images/I/81Es-sKDPrL.png
nm11306929,Constable Being Slapped,93,https://images-na.ssl-images-amazon.com/images/I/815sCeYXecL.png
nm5305841,Neha Khanna,35,https://m.media-amazon.com/images/M/MV5BMjA0NzExMjA5OV5BMl5BanBnXkFtZTgwODc0NzA3MTE@._V1_.jpg
