nconst,character,screentime,image
nm1596350,Rafi,4745,https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_.jpg
nm7621667,Miloni,4269,https://m.media-amazon.com/images/M/MV5BMzUzNjQ4MTE2OF5BMl5BanBnXkFtZTgwNTk0NjcyNzM@._V1_.jpg
nm1585543,Dadi,1667,https://images-na.ssl-images-amazon.com/images/I/71X1lOCiF2L.png
nm4518724,Banke,1252,https://images-na.ssl-images-amazon.com/images/I/71gzpMex6GL.png
nm3891905,Sheilaben,1136,https://m.media-amazon.com/images/M/MV5BZjI0NGFjNTMtMDQyNy00ZGQ4LWJiODctYWZmNjdkNGQzOGU3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm0451561,Kanti Bhai,980,https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3453549,Rampyaari,888,https://m.media-amazon.com/images/M/MV5BMjM1NDk0NDkwMl5BMl5BanBnXkFtZTgwMzc3MzIwNjE@._V1_.jpg
nm10647391,Bilal,714,https://images-na.ssl-images-amazon.com/images/I/81wDlZTWVcL.png
nm5926431,Zakir Bhai,448,https://m.media-amazon.com/images/M/MV5BNTU4MGNiZjgtZDA1MC00NjRjLWFiMDMtOWY4ZTU1ZTFkMGVjXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7436747,Raghu,436,https://images-na.ssl-images-amazon.com/images/I/81wDlZTWVcL.png
nm10258882,Saloni,403,
nm6845061,Anmol Sir,374,https://m.media-amazon.com/images/M/MV5BNzczYmZiYTctYWRkYi00YTgzLWJhMWMtZGUxYTRkYWUzZWQzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10647388,Mohan,357,https://images-na.ssl-images-amazon.com/images/I/615qWXJrCRL.png
nm10345767,Taxi Driver 3,284,https://images-na.ssl-images-amazon.com/images/I/71JIUWexqxL.png
nm1982843,Gafoor,278,
nm9097171,Taxi Driver 1,251,https://images-na.ssl-images-amazon.com/images/I/61f1+KhTelL.png
nm2527212,Taxi Driver 2,250,https://images-na.ssl-images-amazon.com/images/I/71r6eloJxaL.png
nm10647390,Kulfiwallah,242,https://images-na.ssl-images-amazon.com/images/I/713rLvH4dtL.png
nm0768297,Soda Distributor (A Friendly Appearance),213,https://m.media-amazon.com/images/M/MV5BZGY2MjkyMzgtNTJiZS00MGM5LTg2YWMtNTUxY2IwYzMzZTVhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0704694/trivia,nt1409724,172,
nm4818712,Chintan,167,https://images-na.ssl-images-amazon.com/images/I/71WYjfvrj+L.png
nm0704694,Tiwari's Ghost (A Special Appearance),167,https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_.jpg
nm3483382,Himesh,158,https://images-na.ssl-images-amazon.com/images/I/71JvW8ATssL.png
nm1336722,Hasmukh Bhai,128,https://m.media-amazon.com/images/M/MV5BMTUyNjUzNzU2N15BMl5BanBnXkFtZTgwNTQ2ODQzMzE@._V1_.jpg
nm10647395,Mr. Sodabottlewallah,117,https://images-na.ssl-images-amazon.com/images/I/71A3Wb+nS9L.png
nm10647389,Teller,111,https://images-na.ssl-images-amazon.com/images/I/71I2TUXR0LL.png
nm10647392,Ruksana,100,https://images-na.ssl-images-amazon.com/images/I/71gnVQ5qDrL.png
nm10647393,Sonu,100,https://images-na.ssl-images-amazon.com/images/I/718RXtAZVqL.png
nm10647394,Monu,100,https://images-na.ssl-images-amazon.com/images/I/718RXtAZVqL.png
nm0219946,Dr. Kher,74,https://m.media-amazon.com/images/M/MV5BYmJjMjY5NzktODAyYS00MmE5LWIyYTUtMzgwODJiMzk0ZjVhXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg
nm1596350/trivia,nt1398862,44,
nm6422090,Fazlu Master,23,https://images-na.ssl-images-amazon.com/images/I/71-tlW+d3OL.png
nm4518724/trivia,nt0934600,23,
nm5131331,Gopal Taxi Driver,9,https://images-na.ssl-images-amazon.com/images/I/71ThPVmnzXL.png
