nconst,character,screentime,image
nm0004569,Baldev Pratap Singh,7768,https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_.jpg
nm3170495,Ayushmann Singh,7392,https://m.media-amazon.com/images/M/MV5BZGMxYWNhZjAtYmRmNC00M2MzLWI0YzQtNzllNGVjODZiYTQxXkEyXkFqcGdeQXVyMTYzNTg1Nzk@._V1_.jpg
nm0006763,Badshah Khan,5244,https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm8694410,Durga,5094,https://images-na.ssl-images-amazon.com/images/I/71zUYY8u7xL.png
nm0659233,Khatri,4744,https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_.jpg
nm0463539,Saroj Pratap Singh,4551,https://m.media-amazon.com/images/M/MV5BMjMwMDMxOTQ1OV5BMl5BanBnXkFtZTcwNzIyMjcwNQ@@._V1_.jpg
nm4289770,Joshi,4176,https://images-na.ssl-images-amazon.com/images/I/718ksxyqsmL.png
nm4469366,Vivan Singh,3910,https://images-na.ssl-images-amazon.com/images/I/71IQGrGGygL.png
nm8454637,Ashma,3756,https://images-na.ssl-images-amazon.com/images/I/71bD-8n2JNL.png
nm5711339,Shivi,3699,https://m.media-amazon.com/images/M/MV5BOTIzNTQ2NTgyNl5BMl5BanBnXkFtZTgwMTkxMzQyNTE@._V1_.jpg
nm1516058,SP Sarang,3343,https://m.media-amazon.com/images/M/MV5BODIzMTkwOGMtYjA2Yy00YjkyLWFhOGUtZjAwMTE3OTM5MjA0L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1664541,Majid Maqbool,3158,https://m.media-amazon.com/images/M/MV5BNWZjMTVmM2ItODY5OC00ODA1LWE1MmItNTkwNDk1MjA4MWMzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0706954,Jaiprakash Kedar,2230,https://m.media-amazon.com/images/M/MV5BMGY4MjFjNjgtNjU5Ni00MTgwLTg0ODgtOTVmNDBlNTExODBkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1883083,Palak,2160,https://images-na.ssl-images-amazon.com/images/I/61JypLxGosL.png
nm10475216,Raj,1343,https://images-na.ssl-images-amazon.com/images/I/61QwDSE-v-L.png
nm9847269,Shiv,1132,https://images-na.ssl-images-amazon.com/images/I/7116Lxj9lgL.png
nm7674770,Dancer in the song 'Dil Bevda',542,https://m.media-amazon.com/images/M/MV5BNDdiMWY5ZWMtY2I4ZS00MTc4LWFlZTUtYmE1YzBkMWVhNDgyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
