nconst,character,screentime,image
nm5305841,Saira,7389,https://m.media-amazon.com/images/M/MV5BMjA0NzExMjA5OV5BMl5BanBnXkFtZTgwODc0NzA3MTE@._V1_.jpg
nm3818286,Shiv,6779,https://m.media-amazon.com/images/M/MV5BZjA4ZjNmYzUtZDAwNS00MTk4LWIzYjEtYWFlZDJhYTk1MzcyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6845061,Zakir,3355,https://m.media-amazon.com/images/M/MV5BNzczYmZiYTctYWRkYi00YTgzLWJhMWMtZGUxYTRkYWUzZWQzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5607349,Radha,2082,https://m.media-amazon.com/images/M/MV5BNzUxZjBkOTgtMTM2Yi00ODU5LWI1NDctZDI5MWVhNTA4MzhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3822770,Muwaqqit,1312,https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm0508312,Zak's bodyquard,939,https://ia.media-imdb.com/images/I/71dyqiZBqSL.png
nm7918314,Maanav,477,
nm4250584,Maya,392,https://ia.media-imdb.com/images/I/81HGWrCvrqL.png
nm9143239,Gurmeet Kaur,356,https://ia.media-imdb.com/images/I/81H3m1LjhjL.png
nm2138653,Dancer,319,https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9143242,Melissa,288,https://ia.media-imdb.com/images/I/81q3vpCT8yL.png
nm9143240,Gurmeet Singh,245,https://ia.media-imdb.com/images/I/71rsTVmYzvL.png
nm9143241,News Reporter,179,https://ia.media-imdb.com/images/I/61d7ELQPyUL.png
nm7743863,Astrologer,163,https://ia.media-imdb.com/images/I/618HQJDyX+L.png
nm1224984,Saira's father in previous life,57,https://ia.media-imdb.com/images/I/81F0ZYSC4rL.png
