nconst,character,screentime,image
nm3713653,Shaina,6592,https://m.media-amazon.com/images/M/MV5BODY3MmFmMmQtYThhMi00YTk5LTg4YjQtNzhkYjU4YzQwZmE5XkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm7970128,Rehan,6294,https://m.media-amazon.com/images/M/MV5BYTNkY2FmNTctYjUxMy00ZjkzLWEyZmEtMzY4ZGJlZTdkOTVmXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm1431656,Aditya,3457,https://m.media-amazon.com/images/M/MV5BMjA4Nzk3MDU0OV5BMl5BanBnXkFtZTgwMTEyMDU0OTE@._V1_.jpg
nm4885900,Shreya,3038,https://ia.media-imdb.com/images/I/71YLH8nH1UL.png
nm8670785,Rehan's friend,2911,https://ia.media-imdb.com/images/I/71n5mkaWBRL.png
nm2586977,Trilok Shastry,2600,https://ia.media-imdb.com/images/I/81dUizAFdrL.png
nm2517959,Gipsy Woman,1069,https://ia.media-imdb.com/images/I/71KfadcTWiL.png
nm5727109,Anton,161,
nm7058295,Anton,161,
nm7136212,Rehan's Mother,116,https://ia.media-imdb.com/images/I/61HaUMaINtL.png
