nconst,character,screentime,image
nm1017633,Sehmat,6942,https://m.media-amazon.com/images/M/MV5BZDJhOWNkNjQtNWJlMC00MWM3LWJmYjktMTIyYWI4NGYxNTBkXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm0788918,Brigadier Parvez Syed,5612,https://m.media-amazon.com/images/M/MV5BNGNlZGM3YTMtOTc2Yi00YzVmLWFkMDAtYTQ3NTBjMDBiNTM2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm4188433,Khalid Mir,5412,https://m.media-amazon.com/images/M/MV5BMjIyNDM5NjkwNl5BMl5BanBnXkFtZTcwNjg3OTkxOA@@._V1_.jpg
nm9835580,Nikhil Bakshi (Younger),4846,https://ia.media-imdb.com/images/I/81ieXwLMEbL.png
nm5817249,Iqbal Syed,4824,https://m.media-amazon.com/images/M/MV5BMjIxMjMzNjQ0OF5BMl5BanBnXkFtZTgwODc4ODEzOTE@._V1_.jpg
nm3035081,Munira,3832,https://m.media-amazon.com/images/M/MV5BODc2ZmUwOTktN2Q2ZC00N2VhLTkxYjktOTAzZmU1OTFiY2QxXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_.jpg
nm2586977,Mehboob Syed,3166,https://ia.media-imdb.com/images/I/81QKNmUawKL.png
nm0952232,Abdul,2478,https://m.media-amazon.com/images/M/MV5BNDY4ZGE3NzktMmM3NS00NTBhLTgyYTgtMTYxZDMwZjc3ZTFiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0438496,Hidayat Khan,1777,https://m.media-amazon.com/images/M/MV5BZDhlNDEwMjgtMWY5NC00MGEyLThhODEtZjAyYzIyMmU1ZDUxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0713618,Teji,1757,https://m.media-amazon.com/images/M/MV5BNDM2NTIzZGItMzRlMy00NjQ5LThkNTEtYTcxZDFhNzExMTQ5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6931969,Saadiq,1528,https://ia.media-imdb.com/images/I/81VHxJzg6kL.png
nm1221483,Kabir Murtuza,1446,https://ia.media-imdb.com/images/I/81LzmItBlBL.png
nm1616785,Sarwar,1316,https://ia.media-imdb.com/images/I/81qEbUGgD+L.png
nm9909820,General Beig,936,https://ia.media-imdb.com/images/I/71xQytHAUTL.png
nm2160743,Suraiya Siddiqui,888,https://ia.media-imdb.com/images/I/61oOWJcvwqL.png
nm0839634,Samar Syed,802,https://m.media-amazon.com/images/M/MV5BYjJkMWM4OGQtODdhNC00ODcyLTgwM2MtN2E1NzRjZDBjMWVjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm1942776,Nikhil Bakshi (Older),802,https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6123790,Mitali,771,https://ia.media-imdb.com/images/I/81fNrZ7YPIL.png
nm9960886,Imtiyaz,745,https://ia.media-imdb.com/images/I/716Wj9eR82L.png
nm7464979,Driver Ismail,685,https://ia.media-imdb.com/images/I/6193BlH3+hL.png
nm8035588,Driver Wasim,685,https://ia.media-imdb.com/images/I/61I3gvFQIhL.png
nm9960903,Umbrella Seller,597,https://ia.media-imdb.com/images/I/81sLOsBNcTL.png
nm3619019,Pallavi Murtaza,395,https://ia.media-imdb.com/images/I/81S77DdExcL.png
nm9045629,Anwar Siddiqui,252,https://ia.media-imdb.com/images/I/719rinBWv4L.png
