nconst,character,screentime,image
nm0438463,Shamsher,7923,https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0768296,Raghu,7846,https://m.media-amazon.com/images/M/MV5BMTgwNzc3MTI3M15BMl5BanBnXkFtZTcwNTU0NTcyMQ@@._V1_.jpg
nm0006795,Sikander,7547,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm4669841,Suraj,7339,https://m.media-amazon.com/images/M/MV5BZDI1N2M0OWYtZDY2OS00ZDhkLTllNmEtNzlmYzQwY2ViNDk3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2207567,Sanjana,7284,https://m.media-amazon.com/images/M/MV5BODE5Mzg3MDg2Nl5BMl5BanBnXkFtZTgwMzMzMjgzOTE@._V1_.jpg
nm0219967,Yash,6623,https://m.media-amazon.com/images/M/MV5BODA2ODQ5ODI3Nl5BMl5BanBnXkFtZTgwMDYwMDMzOTE@._V1_.jpg
nm2596365,Jessica,5123,https://m.media-amazon.com/images/M/MV5BOTYwNTc1ODE0NF5BMl5BanBnXkFtZTgwNjU3OTA3MjI@._V1_.jpg
nm4687953,Rana,2727,https://m.media-amazon.com/images/M/MV5BZDI4NmZkOGQtNDc2OS00MmY2LThiNTUtMDJlMDQwM2EyZDIxL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1138572,Sumitra Ranchod Singh,1860,https://m.media-amazon.com/images/M/MV5BZTg0NTgyNjctYjg1Ny00Y2FmLTg0YzEtN2RjYmZhMDkxM2M4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9984764,Rana's Female Combatant #1,1776,https://ia.media-imdb.com/images/I/71UAsQIJOaL.png
nm9984765,Rana's Female Combatant #2,1771,https://ia.media-imdb.com/images/I/71PGvYq42pL.png
nm0788903,Brijesh,1701,https://m.media-amazon.com/images/M/MV5BZjdkODZkNjAtNzdiNi00YTFhLWEwYTktYmEyYTc3NzNmOTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9984754,Cambodian Banker,896,https://ia.media-imdb.com/images/I/61Ut8iYIq-L.png
nm0348004,Ranchod Singh,605,https://m.media-amazon.com/images/M/MV5BMmZkMjMzNTctNjVlNC00MTczLWE2YTUtMDZkYzNmN2NlZjc1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9984753,Young Sikander,565,https://ia.media-imdb.com/images/I/71NPwLCQc4L.png
nm2368423,Khanna,538,https://m.media-amazon.com/images/M/MV5BZDYwNGJiYzItOWZiMS00MzU4LTg5MzQtMDM2ZWUyMTRlNjk1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9091674,Balvinder,335,https://ia.media-imdb.com/images/I/712uiTu-v0L.png
nm9984766,Cyrus,335,https://ia.media-imdb.com/images/I/8149RgyFH-L.png
nm9984768,Hotel Manager,229,https://ia.media-imdb.com/images/I/71JrYAraHEL.png
