nconst,character,screentime,image
nm1633541,Harpreet Singh Bedi,8949,https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_.jpg
nm1247401,Koena Shaikh,5923,https://m.media-amazon.com/images/M/MV5BMWRmMjVkZGYtMmU1Zi00NTZlLTlmZjEtMGI3ZTk2NGQ1MzE5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3732824,Nitin Rathore,5617,https://ia.media-imdb.com/images/I/81O8ae4flOL.png
nm1201151,Chhotelal Mishra,5305,https://ia.media-imdb.com/images/I/81dH3hy5HfL.png
nm1430018,Girish Reddy,4865,https://ia.media-imdb.com/images/I/91soUUTLuHL.png
nm3778915,Rumaan - double 'A',4662,https://ia.media-imdb.com/images/I/815-nF8mmWL.png
nm9064470,Rajesh,4221,https://ia.media-imdb.com/images/I/81TrT+Jzb3L.png
nm9064471,Narayan,4044,https://ia.media-imdb.com/images/I/81m9z59NKAL.png
nm1472197,Sunil Puri,3562,https://m.media-amazon.com/images/M/MV5BM2M4ZDdjYTMtZGIyMi00ZDRiLWI5ODQtYTUxNzQ2MTlkMWRjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0159159,P.S. Bedi,3084,https://m.media-amazon.com/images/M/MV5BM2U2OTEzM2UtMjhlNC00NTYxLWI5MDItM2RjYzNhYmNhYWFmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4211760,Tanmay aka Taxi,2833,
nm3728294,Sai,2812,https://m.media-amazon.com/images/M/MV5BZGVhNjVmYWQtOGM1MC00YjdkLTlhN2EtZWI0OWFiOWJmZGE2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3724228,Sherena K.,2624,https://m.media-amazon.com/images/M/MV5BNTcwODgyNDMtOTQxNS00MTlhLTkxYmMtNDg1OWIzODEzZjgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1796211,Inamdar,2090,https://m.media-amazon.com/images/M/MV5BNDI0N2I0M2YtNGRiNC00MmNlLWI1ZWMtZGE5MzEyY2EwYjE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9064468,Aparna,2030,https://ia.media-imdb.com/images/I/81Jjfc49+EL.png
nm9002322,Sherena's Colleague,1274,https://ia.media-imdb.com/images/I/71tz8EuLKCL.png
nm9064478,Wajahat,960,https://ia.media-imdb.com/images/I/81yf1B9CfwL.png
nm1616785,Choudhary,724,https://ia.media-imdb.com/images/I/81hrOv+XaaL.png
nm0159159/trivia,nt0060077,705,
nm9064469,Bunty,533,https://ia.media-imdb.com/images/I/71mIGSvIqfL.png
nm1617256,Lalwani,490,https://ia.media-imdb.com/images/I/81sZ5EypCNL.png
nm1247401/trivia,nt0175501,389,
nm0324744,Guard,259,https://m.media-amazon.com/images/M/MV5BMmYyYTYyMzAtMjIyMi00MDI3LWJmMTUtOGRiN2Y0ZmYyYjUyXkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm7608458,Wintel Salesman,229,https://ia.media-imdb.com/images/I/81QUm5iBx7L.png
nm9064476,Sharma's Receptionist,203,https://ia.media-imdb.com/images/I/812fAqARkyL.png
nm2370798,Office Receptionist,183,https://ia.media-imdb.com/images/I/81jjH7JubBL.png
nm1633541/trivia,nt0485203,170,
nm1334958,Sharma,114,
nm3038391,Trainee,103,https://ia.media-imdb.com/images/I/81j1qAceUtL.png
